年份,规模以上工业企业固定资产原价合计,煤炭开采和洗选业规模以上工业企业固定资产原价合计,石油和天然气开采业规模以上工业企业固定资产原价合计,黑色金属矿采选业规模以上工业企业固定资产原价合计,有色金属矿采选业规模以上工业企业固定资产原价合计,非金属矿采选业规模以上工业企业固定资产原价合计,开采辅助活动规模以上工业企业固定资产原价合计,其他采矿业规模以上工业企业固定资产原价合计,农副食品加工业规模以上工业企业固定资产原价合计,食品制造业规模以上工业企业固定资产原价合计,酒、饮料和精制茶制造业规模以上工业企业固定资产原价合计,烟草制品业规模以上工业企业固定资产原价合计,纺织业规模以上工业企业固定资产原价合计,纺织服装、服饰业规模以上工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业固定资产原价合计,家具制造业规模以上工业企业固定资产原价合计,造纸和纸制品业规模以上工业企业固定资产原价合计,印刷和记录媒介复制业规模以上工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业规模以上工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业规模以上工业企业固定资产原价合计,化学原料和化学制品制造业规模以上工业企业固定资产原价合计,医药制造业规模以上工业企业固定资产原价合计,化学纤维制造业规模以上工业企业固定资产原价合计,橡胶和塑料制品业规模以上工业企业固定资产原价合计,非金属矿物制品业规模以上工业企业固定资产原价合计,黑色金属冶炼和压延加工业规模以上工业企业固定资产原价合计,有色金属冶炼和压延加工业规模以上工业企业固定资产原价合计,金属制品业规模以上工业企业固定资产原价合计,通用设备制造业规模以上工业企业固定资产原价合计,专用设备制造业规模以上工业企业固定资产原价合计,汽车制造业规模以上工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业固定资产原价合计,电气机械和器材制造业规模以上工业企业固定资产原价合计,计算机、通信和其他电子设备制造业规模以上工业企业固定资产原价合计,仪器仪表制造业规模以上工业企业固定资产原价合计,其他制造业规模以上工业企业固定资产原价合计,废弃资源综合利用业规模以上工业企业固定资产原价合计,金属制品、机械和设备修理业规模以上工业企业固定资产原价合计,电力、热力生产和供应业规模以上工业企业固定资产原价合计,燃气生产和供应业规模以上工业企业固定资产原价合计,水的生产和供应业规模以上工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,643861.14,26713.22,32030.51,3646.65,3101.74,1640.09,1970.76,12.38,17664.9,8268.91,7875.54,2924.07,14103.05,6032.74,3310.79,4068.23,2519.29,8810.48,3604.22,3755.22,19152.07,48691.55,12587.92,4585.48,12336.51,29921.92,41177.94,20211.78,12597.84,16573.39,13987.11,28455.68,8135.29,21319.62,37297.24,3049.79,1095.07,1003.88,741.82,145492.05,5425.59,7968.84
2016,650592.73,27025.96,30425.78,4527.54,3056.38,2070.33,2190.24,15.58,20975.05,9038.97,8254.61,2774.07,15587.06,7043.96,3674.35,4673.15,2700.18,8867.17,3684.37,4126.29,18735.31,49728.96,12046.95,4507.22,13099.3,31964.28,45216.82,20421.92,14186.85,18050.36,15143.27,27073.64,8853.95,23163.87,34025.69,3228.88,1169.31,1376.46,835.56,135044.34,4657.78,7350.96
2015,603273.76,26371.78,27528.72,4836.27,2843.66,2104.96,1919.62,8.62,20126.3,8353.27,7662.94,2651.26,14804.69,6427.93,3392.19,4412.05,2532.08,8548.98,3391.56,3631.27,17790.95,46977.46,11031.89,3935.58,12619.11,29845.9,44069.21,19070.77,13128.48,17639.91,14439.97,23974.99,8029.99,21054.64,28207.64,2914.23,1155.57,1175.58,570.69,123092.42,4342.45,6658.18
2014,563859.94,25861.12,28064.17,4588.11,2691.15,2125.97,2169.68,7.38,19300.46,7083.06,6891.35,2503.95,14006.97,5738.88,3125.61,4226.84,2324.22,8241.94,3136.94,3193.72,16796.97,43213.09,9689.21,3588.25,11648.73,27809.18,43760.54,17815.9,13386.67,16547.82,13601.26,20864.51,7624.07,19186.48,27211.55,2681.27,1031.7,940.93,513.89,111353.16,3516.67,5796.56
2013,499404.09,23770.06,21938.51,3872.39,2282.31,1701.03,1789.84,11.27,17510.58,6157.33,6086.44,2296.41,12770.92,5065.05,2701.53,3512.42,2062.61,7785.27,2723.61,2614.88,15122.87,38379.55,8218.48,3306.75,10485.57,24588.6,41721.4,15431.84,10682.01,14541.42,11772.78,17858.13,7104.81,17677.46,24678.34,2321.02,911.64,751.77,545.85,98642.02,2691.58,5317.75
2012,434474.274,20356.95531,20326.46357,3248.16148,1924.91081,1447.47571,1497.18844,13.98164,13741.64177,5149.06709,5244.09845,2122.95134,11528.44336,4266.81749,2319.25457,2866.13032,1593.02138,7485.46361,2195.20589,2090.17103,13467.2094,32008.80558,6487.01328,3052.45006,8721.96734,21376.19748,37357.93617,13325.42595,9155.64687,12307.87485,9905.02357,14893.11974,6688.9894,15348.28854,21352.732,1987.32719,804.72035,592.6318,527.46169,88523.38059,2423.32568,4749.34321
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
