年份,规模以上工业企业本年应交增值税,煤炭开采和洗选业规模以上工业企业本年应交增值税,石油和天然气开采业规模以上工业企业本年应交增值税,黑色金属矿采选业规模以上工业企业本年应交增值税,有色金属矿采选业规模以上工业企业本年应交增值税,非金属矿采选业规模以上工业企业本年应交增值税,开采辅助活动规模以上工业企业本年应交增值税,其他采矿业规模以上工业企业本年应交增值税,农副食品加工业规模以上工业企业本年应交增值税,食品制造业规模以上工业企业本年应交增值税,酒、饮料和精制茶制造业规模以上工业企业本年应交增值税,烟草制品业规模以上工业企业本年应交增值税,纺织业规模以上工业企业本年应交增值税,纺织服装、服饰业规模以上工业企业本年应交增值税,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业本年应交增值税,木材加工和木、竹、藤、棕、草制品业规模以上工业企业本年应交增值税,家具制造业规模以上工业企业本年应交增值税,造纸和纸制品业规模以上工业企业本年应交增值税,印刷和记录媒介复制业规模以上工业企业本年应交增值税,文教、工美、体育和娱乐用品制造业规模以上工业企业本年应交增值税,石油加工、炼焦和核燃料加工业规模以上工业企业本年应交增值税,化学原料和化学制品制造业规模以上工业企业本年应交增值税,医药制造业规模以上工业企业本年应交增值税,化学纤维制造业规模以上工业企业本年应交增值税,橡胶和塑料制品业规模以上工业企业本年应交增值税,非金属矿物制品业规模以上工业企业本年应交增值税,黑色金属冶炼和压延加工业规模以上工业企业本年应交增值税,有色金属冶炼和压延加工业规模以上工业企业本年应交增值税,金属制品业规模以上工业企业本年应交增值税,通用设备制造业规模以上工业企业本年应交增值税,专用设备制造业规模以上工业企业本年应交增值税,汽车制造业规模以上工业企业本年应交增值税,铁路、船舶、航空航天和其他运输设备规模以上工业企业本年应交增值税,电气机械和器材制造业规模以上工业企业本年应交增值税,计算机、通信和其他电子设备制造业规模以上工业企业本年应交增值税,仪器仪表制造业规模以上工业企业本年应交增值税,其他制造业规模以上工业企业本年应交增值税,废弃资源综合利用业规模以上工业企业本年应交增值税,金属制品、机械和设备修理业规模以上工业企业本年应交增值税,电力、热力生产和供应业规模以上工业企业本年应交增值税,燃气生产和供应业规模以上工业企业本年应交增值税,水的生产和供应业规模以上工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,33979.04,1748.98,1100.18,460.92,196.5,211.64,89.08,0.77,1204.37,660.78,635.14,1105.19,987.55,611.03,386.37,371.85,207.66,376.86,224.24,356.7,1529.25,2280.11,1109.17,157.96,745.3,1928.24,1469.33,1050.51,953.34,1348.55,991.88,2206.63,476.53,1858.38,1735.97,278.31,72.21,128.28,23.16,2533.54,110.92,55.66
2013,33460.27,2143.47,1048.67,519.44,206.78,209.1,90.48,0.86,1269.61,649.27,656.07,1031.0,947.13,581.02,361.72,350.29,193.51,374.2,196.61,321.7,1551.45,2123.19,990.29,153.33,724.38,1911.68,1622.8,1013.08,886.27,1295.75,987.74,1994.95,462.16,1717.68,1835.13,263.04,66.42,127.05,22.97,2397.34,99.03,63.61
2012,29566.64,2307.28234,1061.06451,443.48291,205.78013,181.01841,67.98083,0.82421,1054.2167,565.96383,600.0639,953.3023,828.16137,505.15979,314.09645,297.87215,164.9598,357.68418,149.52399,239.27628,1342.03331,1852.08019,822.53906,128.07406,600.0176,1603.2058,1563.32394,918.28895,756.60684,1131.01037,828.27112,1520.27699,436.42684,1462.2374,1562.41093,224.12709,55.58684,101.81418,23.64179,2198.63806,81.99568,56.32063
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
