年份,规模以上工业企业流动负债合计,煤炭开采和洗选业规模以上工业企业流动负债合计,石油和天然气开采业规模以上工业企业流动负债合计,黑色金属矿采选业规模以上工业企业流动负债合计,有色金属矿采选业规模以上工业企业流动负债合计,非金属矿采选业规模以上工业企业流动负债合计,开采辅助活动规模以上工业企业流动负债合计,其他采矿业规模以上工业企业流动负债合计,农副食品加工业规模以上工业企业流动负债合计,食品制造业规模以上工业企业流动负债合计,酒、饮料和精制茶制造业规模以上工业企业流动负债合计,烟草制品业规模以上工业企业流动负债合计,纺织业规模以上工业企业流动负债合计,纺织服装、服饰业规模以上工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业流动负债合计,家具制造业规模以上工业企业流动负债合计,造纸和纸制品业规模以上工业企业流动负债合计,印刷和记录媒介复制业规模以上工业企业流动负债合计,文教、工美、体育和娱乐用品制造业规模以上工业企业流动负债合计,石油加工、炼焦和核燃料加工业规模以上工业企业流动负债合计,化学原料和化学制品制造业规模以上工业企业流动负债合计,医药制造业规模以上工业企业流动负债合计,化学纤维制造业规模以上工业企业流动负债合计,橡胶和塑料制品业规模以上工业企业流动负债合计,非金属矿物制品业规模以上工业企业流动负债合计,黑色金属冶炼和压延加工业规模以上工业企业流动负债合计,有色金属冶炼和压延加工业规模以上工业企业流动负债合计,金属制品业规模以上工业企业流动负债合计,通用设备制造业规模以上工业企业流动负债合计,专用设备制造业规模以上工业企业流动负债合计,汽车制造业规模以上工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业流动负债合计,电气机械和器材制造业规模以上工业企业流动负债合计,计算机、通信和其他电子设备制造业规模以上工业企业流动负债合计,仪器仪表制造业规模以上工业企业流动负债合计,其他制造业规模以上工业企业流动负债合计,废弃资源综合利用业规模以上工业企业流动负债合计,金属制品、机械和设备修理业规模以上工业企业流动负债合计,电力、热力生产和供应业规模以上工业企业流动负债合计,燃气生产和供应业规模以上工业企业流动负债合计,水的生产和供应业规模以上工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,479115.25,23746.7,4372.6,3922.01,2323.39,1241.18,1197.5,6.34,13000.77,5919.24,6249.38,2448.53,9747.26,5020.67,2695.82,1986.78,2379.81,6461.57,2176.17,3646.01,13867.73,31702.41,9999.99,3599.09,9476.3,21702.08,34421.89,19765.53,11926.04,19069.64,17199.75,39241.67,11809.56,33389.27,44992.28,4116.65,1131.95,1286.94,719.18,43761.62,3849.11,3544.87
2016,456468.84,23896.02,4550.32,4052.13,2088.83,1297.44,1325.44,7.14,13138.32,5729.05,6164.64,2553.36,10258.93,5230.36,2829.9,2020.38,2312.49,6006.57,2154.16,3724.96,13092.25,31514.69,9209.07,3405.86,8827.6,20892.12,34857.32,19481.36,11322.14,18964.64,15609.27,34490.35,11794.63,30597.51,39614.07,3471.63,985.58,1098.14,1039.07,40414.38,3235.58,3211.15
2015,431884.87,23178.99,4887.62,4627.45,2278.65,1410.39,1378.79,2.88,13417.83,5457.4,5853.96,2298.57,10272.16,5093.28,2827.35,2043.27,2109.35,6177.85,2051.51,3594.99,12603.17,30730.13,8273.02,3387.57,8423.45,20449.59,35060.66,19036.08,11240.27,18549.23,15217.88,29401.19,11813.97,28237.49,33737.73,3218.41,1030.27,980.28,618.39,35250.32,2841.69,2821.78
2014,411634.66,22068.05,4707.11,4161.99,2027.67,1259.64,1347.94,3.46,13277.16,5111.27,5463.2,1802.12,10317.47,4964.95,2797.35,1935.67,1988.2,5822.58,1991.21,3583.95,12875.01,29953.29,7637.43,3350.68,8316.42,19842.65,35422.82,17809.6,11183.76,17926.62,14616.72,25804.56,11198.94,25905.46,31104.52,3062.96,998.33,970.38,515.3,33492.44,2515.76,2500.02
2013,380845.89,20404.7,4704.46,3665.13,1823.61,1134.67,1461.97,2.9,12321.73,4661.46,5360.1,1988.58,10295.62,4736.14,2631.88,1798.85,1852.87,5555.32,1896.53,2982.13,12353.12,27029.55,6529.79,3312.88,7898.65,17924.21,35768.71,15944.85,10065.41,16989.25,13958.46,22938.59,10856.31,23951.83,26538.52,2774.88,957.77,953.4,562.01,30035.06,2102.46,2121.52
2012,337526.51193,18139.27673,4450.58363,3003.86757,1587.71946,885.16856,1212.01211,3.58308,10567.59829,4029.25411,4575.78684,1722.84253,9575.5648,4352.59021,2369.8873,1571.90822,1611.81807,5216.70296,1555.12416,2351.55119,11101.00604,23095.65481,5577.99733,3057.32034,7099.03051,15221.4006,32150.35116,13710.84054,9070.76271,14945.65548,12344.08394,19262.66445,10268.81913,21405.51915,23968.10523,2508.72045,759.92926,820.37641,548.49476,28242.43579,1785.08373,1799.42029
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
