年份,规模以上工业企业集体资本金,煤炭开采和洗选业规模以上工业企业集体资本金,石油和天然气开采业规模以上工业企业集体资本金,黑色金属矿采选业规模以上工业企业集体资本金,有色金属矿采选业规模以上工业企业集体资本金,非金属矿采选业规模以上工业企业集体资本金,开采辅助活动规模以上工业企业集体资本金,其他采矿业规模以上工业企业集体资本金,农副食品加工业规模以上工业企业集体资本金,食品制造业规模以上工业企业集体资本金,酒、饮料和精制茶制造业规模以上工业企业集体资本金,烟草制品业规模以上工业企业集体资本金,纺织业规模以上工业企业集体资本金,纺织服装、服饰业规模以上工业企业集体资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业集体资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业集体资本金,家具制造业规模以上工业企业集体资本金,造纸和纸制品业规模以上工业企业集体资本金,印刷和记录媒介复制业规模以上工业企业集体资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业集体资本金,石油加工、炼焦和核燃料加工业规模以上工业企业集体资本金,化学原料和化学制品制造业规模以上工业企业集体资本金,医药制造业规模以上工业企业集体资本金,化学纤维制造业规模以上工业企业集体资本金,橡胶和塑料制品业规模以上工业企业集体资本金,非金属矿物制品业规模以上工业企业集体资本金,黑色金属冶炼和压延加工业规模以上工业企业集体资本金,有色金属冶炼和压延加工业规模以上工业企业集体资本金,金属制品业规模以上工业企业集体资本金,通用设备制造业规模以上工业企业集体资本金,专用设备制造业规模以上工业企业集体资本金,汽车制造业规模以上工业企业集体资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业集体资本金,电气机械和器材制造业规模以上工业企业集体资本金,计算机、通信和其他电子设备制造业规模以上工业企业集体资本金,仪器仪表制造业规模以上工业企业集体资本金,其他制造业规模以上工业企业集体资本金,废弃资源综合利用业规模以上工业企业集体资本金,金属制品、机械和设备修理业规模以上工业企业集体资本金,电力、热力生产和供应业规模以上工业企业集体资本金,燃气生产和供应业规模以上工业企业集体资本金,水的生产和供应业规模以上工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3716.62,169.77,0.5,14.82,62.61,14.1,2.6,0.06,141.73,69.38,66.94,1.9,54.21,30.32,13.04,26.02,13.36,44.95,19.07,13.56,45.36,332.03,157.27,10.93,81.0,281.81,212.94,205.33,104.08,114.01,141.73,153.83,34.94,368.76,154.68,40.98,23.24,30.94,25.7,370.09,36.03,32.03
2016,3970.2,111.93,1.17,24.64,74.63,21.46,3.51,0.32,177.27,87.76,71.93,14.89,116.58,21.4,13.58,17.32,13.27,48.89,29.88,16.47,58.94,475.51,101.11,14.32,87.6,279.42,480.56,161.83,109.51,98.32,123.84,142.93,26.3,331.55,154.35,28.23,2.19,13.29,3.89,334.55,49.78,25.23
2015,4101.08,130.42,0.97,30.69,80.06,23.94,3.73,0.26,427.76,82.6,67.71,14.65,64.33,25.01,10.47,13.7,9.95,46.51,21.36,18.79,85.24,468.71,90.66,10.9,58.78,251.84,529.67,110.95,102.98,116.35,99.28,168.35,36.88,216.89,327.4,20.12,5.51,15.43,9.19,236.88,37.52,28.64
2014,3360.39,182.76,0.53,20.43,92.52,27.27,14.23,0.06,119.18,71.58,49.1,4.18,49.42,23.14,11.26,12.23,9.79,61.31,20.46,22.14,93.92,281.15,81.9,15.63,98.01,274.07,449.9,94.37,121.89,126.04,149.64,115.9,33.82,195.22,88.02,22.95,3.15,28.0,10.07,225.48,35.17,24.5
2013,3383.92,240.1,0.85,23.21,87.39,22.62,14.4,0.06,113.14,48.61,256.03,2.29,54.85,22.6,18.22,14.31,9.35,74.96,19.22,13.26,58.47,287.33,108.8,8.32,65.02,219.05,447.59,67.37,80.02,131.04,84.03,157.04,46.96,202.73,67.08,11.3,3.85,9.55,9.74,219.92,26.77,36.46
2012,3118.12906,338.00248,0.77874,19.90215,95.3533,15.14791,14.40843,0.06394,91.33095,31.35526,44.62434,2.12664,55.72449,21.55466,12.25826,19.52642,7.21282,66.46664,19.70454,14.79987,33.31666,237.09186,92.15054,17.96293,348.86135,197.48866,415.18914,81.55769,49.64904,95.84685,49.29132,77.85284,36.60672,207.42293,72.50076,15.78036,2.55921,15.69035,8.52818,156.27954,15.39769,20.7626
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
