年份,工程招标代理机构企业单位数,工程招标代理机构期末企业人员,工程招标代理机构高、中级职称人员数,工程招标代理机构年末注册执业人数,工程招标代理机构注册造价工程师数,工程招标代理机构其他注册人员数,工程招标代理机构营业收入,工程招标代理机构工程招标代理收入,工程招标代理机构工程监理收入,工程招标代理机构工程造价咨询收入,工程招标代理机构工程项目管理与咨询服务收入,工程招标代理机构其他收入
2019,8832,627733,,177963,,,41104390.124,,,,,
2018,7717,617584,,140223,,,45203789.07,,,,,
2017,6209,604173,,134303,,,22770879.55,,,,,
2016,6495,581700,,130677,,,25441757.98,,,,,
2015,6102,549568,,112816,,,25627362.59,,,,,
2014,5950,535322,,104530,,,25305908.23,,,,,
2013,5731,485771,,93874,,,24366217.51,,,,,
2012,5522,445445,225681.0,86263,42831.0,,21733973.73,,,,,
2011,5113,388632,197592.0,76079,37656.0,38423.0,17120480.62,1520061.44,2301845.82,1288284.77,965815.61,11044472.98
2010,4799,328168,170167.0,66350,34160.0,32190.0,12677469.0,1408533.0,1683515.0,951216.0,784036.0,7850169.0
2009,4899,318093,168896.0,66013,33633.0,32380.0,9697076.0,1042173.0,1423661.0,786440.4,1446486.0,4998316.0
2008,4961,290251,157146.0,61490,31559.0,29931.0,9772209.82,851499.9,1116984.0,657220.45,1204507.4,5941997.97
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
