年份,负债合计,流动负债,非流动负债,所有者权益
2019,176472.89486,159024.95319,13190.21102,80154.78904
2018,159218.09563,141757.74955,11647.17383,74761.86724
2017,136900.6907,122841.24935,14059.44135,67726.45039
2016,121505.27937,109658.47806,11846.80131,60946.43791
2015,110114.37228,98744.24892,7007.55063,54195.92887
2014,100459.18004,90525.66266,7011.35495,47913.33985
2013,,,,
2012,75529.71696,68539.05628,,36123.45204
2011,63595.06712,58833.66012,,30264.78871
2010,50349.1708,47003.8686,,24872.5952
2009,40915.6885,38396.10956,,21248.69925
2008,34034.9799,32217.57528,,17676.93171
2007,28166.3663,26624.86593,,14862.90732
2006,23375.57509,22228.27199,,12633.18601
2005,20362.73962,19336.4293,,11122.53562
2004,,,,
2003,14992.4251,14181.2876,,8549.4793
2002,12985.6808,12323.7647,,7404.4267
2001,11333.83165,10743.90801,,5633.78262
2000,10345.21688,9802.14787,,4233.15169
