年份,建筑业总产值,建筑工程产值,安装工程产值,其他产值
2019,248443.27073,218660.65509,21353.81595,8428.79969
2018,225816.86,207586.45,19630.16,7868.91
2017,213943.55899,189164.62967,17882.02781,6896.90151
2016,193566.77736,171864.23055,15774.99997,5927.54684
2015,180757.47357,160267.90188,14991.79431,5497.77738
2014,176713.41618,157142.50559,14259.80144,5311.10914
2013,160366.06329,141146.83084,13355.19941,4810.92036
2012,137217.858,121719.92144,11316.59456,4181.34201
2011,116463.32067,103665.76683,9543.70867,3305.38576
2010,96031.1338,84753.1139,8512.2949,
2009,76807.74164,67208.41813,7319.14396,
2008,62036.80608,53831.60457,6241.73549,
2007,51043.71,44446.98971,5101.0725,
2006,41557.16,35864.6122,4333.13575,
2005,34552.1,29464.38398,3835.6612,
2004,29021.45,23292.924,3068.4664,
2003,23083.87,19508.7179,2576.402,
2002,18527.18,15710.3166,2173.5028,
2001,15361.56,13285.4425,1764.218,
2000,12497.6,10845.2657,1394.3775,
