年份,建筑业房屋施工面积,建筑业房屋竣工面积,国有建筑业房屋施工面积,国有建筑业房屋竣工面积,集体建筑业房屋施工面积,集体建筑业房屋竣工面积
2019,1441504.6663,402335.5289,158001.6816,26707.4782,24403.2887,10438.7189
2018,1371994.7,411498.0,146726.2,25789.1,26053.4,12383.9
2017,1318374.0585,419072.2935,132877.1155,25525.7933,29439.6714,14199.0734
2016,1264216.2687,422382.2705,134362.0049,26978.8503,31213.2487,15804.7428
2015,1239717.6443,420784.9409,120844.0463,24233.1378,32954.2655,16630.8083
2014,1249826.35,423357.3031,119295.1011,23870.5718,35788.891,17428.2288
2013,1132002.8605,401520.9277,107280.6141,25392.8176,36030.2989,17500.1766
2012,986427.4519,358736.2346,117123.5717,26763.3307,39208.9926,19810.7197
2011,851828.1156,316429.2755,106396.6555,25876.7055,38202.9794,19253.0823
2010,708023.5141,277450.2157,84452.8479,22076.1115,39232.1246,18375.0005
2009,588593.9096,245401.6392,72681.0014,21765.3565,36380.946,18783.1694
2008,530518.6276,223592.02,65633.7175,19853.244,39247.8219,19224.7564
2007,482005.5,203992.7,68768.4,20539.47,42119.61,21300.87
2006,410154.4,179673.0,62253.81,20014.35,40872.53,21019.33
2005,352744.7,159406.2,56308.81,20505.72,42257.41,21750.39
2004,310985.71,147364.04,52397.94,20552.46,42858.27,23393.34
2003,259377.13,122827.61,46803.66,18774.06,50488.91,26727.64
2002,215608.7,110217.1,44567.3,19628.2,52564.4,30071.3
2001,188328.7,97699.0,46627.5,20338.2,61239.24,36115.14
2000,160141.1,80714.9,46237.5,20145.0,68112.33,38515.52
