年份,建设工程监理企业从业人数,房屋建筑工程从业人数,冶炼工程从业人数,矿山工程从业人数,化工、石油工程从业人数,水利水电工程从业人数,电力工程从业人数,农林工程从业人数,铁路工程从业人数,公路工程从业人数,港口与航道工程从业人数,航天航空工程从业人数,通信工程从业人数,市政公用工程从业人数,机电安装工程从业人数,综合资质从业人数,事务所资质从业人数,建设工程监理企业高、中级职称人员数,房屋建筑工程高、中级职称人员数,冶炼工程高、中级职称人员数,矿山工程高、中级职称人员数,化工、石油工程高、中级职称人员数,水利水电工程高、中级职称人员数,电力工程高、中级职称人员数,农林工程高、中级职称人员数,铁路工程高、中级职称人员数,公路工程高、中级职称人员数,港口与航道工程高、中级职称人员数,航天航空工程高、中级职称人员数,通信工程高、中级职称人员数,市政公用工程高、中级职称人员数,机电安装工程高、中级职称人员数,综合资质高、中级职称人员数,事务所资质高、中级职称人员数
2019,1295721,789717,5368,13701,38105,34523,76249,997,26559,9183,1139,1519,19267,98094,638,180585,77,567725,335026,3392,3991,21305,18279,32361,548,16414,4518,629,705,4348,44028,339,81797,45
2018,1169275,721406,5886,11169,35741,36129,68554,912,25698,6861,802,1280,15748,82808,1167,154830,284,547718,335859,3381,3285,20449,17881,27836,502,15855,3063,527,606,3760,39668,365,74504,177
2017,1071780,675930,4603,6313,31061,25693,63237,881,30603,6821,1044,1344,13106,75820,1646,133605,73,536227,341139,2886,3516,18414,12318,27182,555,18820,3379,597,622,2679,37674,656,65747,43
2016,1000489,644336,4211,5522,32662,24844,57442,1023,31322,5502,1065,1412,6073,62572,1627,120714,162,501643,322362,2864,2993,19345,12650,23978,688,18881,3082,570,714,1238,31237,720,60253,68
2015,946466,629577,6003,6904,29916,16333,54878,1096,28940,6402,1216,1201,8087,52163,1388,101985,377,482056,323041,3500,3348,17600,8878,23387,747,17399,3210,630,725,1230,26529,711,50921,200
2014,941909,611981,5684,9421,33956,19919,54219,841,25632,9366,1360,974,10695,53667,1521,101476,1197,491519,325772,3186,5006,19406,10661,22239,637,16270,4985,656,525,1800,28118,623,50951,684
2013,890620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,822042,546393,8391,9448,29900,20702,47325,848,24883,7083,1474,1031,9402,43033,1983,70073,73,440339,298289,4864,5379,16818,11412,21580,593,15577,3649,660,354,1415,23587,779,35346,37
2011,763454,509328,8736,8326,26794,18738,43812,972,23880,7874,1399,1011,5390,40452,1969,62942,1831,415271,281323,5039,4938,15331,10057,20375,689,15178,3826,662,462,1225,21686,759,32774,947
2010,675397,455811,7979,7564,24746,14523,36503,1145,31482,7917,1492,705,3938,38097,1284,41502,709,372851,254390,4820,4671,14773,7975,17155,821,19484,3731,694,310,984,20481,606,21567,389
2009,581973,396710,6954,5414,21762,15963,33328,1233,24547,6546,1896,928,3539,30899,1256,30524,474,332218,228594,4232,3451,13051,8417,16544,671,15620,3277,909,427,961,16904,578,18323,259
2008,542526,387530,7049,5102,21254,15333,29068,2617,19233,7284,2815,490,4991,27411,1411,10914,24,317516,228466,4380,3314,12924,9009,15143,1609,12854,3498,1464,308,1329,15615,624,6967,12
2007,514549,372452,6443,4323,19490,26278,28152,2253,14746,8555,2701,560,2860,25036,700,,,303470,224297,4229,2922,11770,10682,15551,1337,10727,4077,1364,363,1174,14619,358,,
2006,483412,,,,,,,,,,,,,,,,,84223,,,,,,,,,,,,,,,,
2005,433193,,,,,,,,,,,,,,,,,263587,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
