年份,建设工程监理企业注册执业人数,房屋建筑工程年末注册执业人数,冶炼工程年末注册执业人数,矿山工程年末注册执业人数,化工、石油工程年末注册执业人数,水利水电工程年末注册执业人数,电力工程年末注册执业人数,农林工程年末注册执业人数,铁路工程年末注册执业人数,公路工程年末注册执业人数,港口与航道工程年末注册执业人数,航天航空工程年末注册执业人数,通信工程年末注册执业人数,市政公用工程年末注册执业人数,机电安装工程年末注册执业人数,综合资质年末注册执业人数,事务所资质年末注册执业人数,建设工程监理企业注册监理工程师,房屋建筑工程注册监理工程师,冶炼工程注册监理工程师,矿山工程注册监理工程师,化工、石油工程注册监理工程师,水利水电工程注册监理工程师,电力工程注册监理工程师,农林工程注册监理工程师,铁路工程注册监理工程师,公路工程注册监理工程师,港口与航道工程注册监理工程师,航天航空工程注册监理工程师,通信工程注册监理工程师,市政公用工程注册监理工程师,机电安装工程注册监理工程师,综合资质注册监理工程师,事务所资质注册监理工程师,建设工程监理企业其他注册执业人员,房屋建筑工程其他注册执业人员,冶炼工程其他注册执业人员,矿山工程其他注册执业人员,化工、石油工程其他注册执业人员,水利水电工程其他注册执业人员,电力工程其他注册执业人员,农林工程其他注册执业人员,铁路工程其他注册执业人员,公路工程其他注册执业人员,港口与航道工程其他注册执业人员,航天航空工程其他注册执业人员,通信工程其他注册执业人员,市政公用工程其他注册执业人员,机电安装工程其他注册执业人员,综合资质其他注册执业人员,事务所资质其他注册执业人员
2019,336959,212823,1350,2380,9807,9476,17377,268,4981,1760,405,439,1931,26902,258,46774,28,173317,112369,707,1188,3889,2094,6535,139,2961,960,263,265,1220,13286,78,27356,7,,,,,,,,,,,,,,,,,
2018,310670,210482,1415,1608,8747,6419,13558,242,4038,1062,318,309,1708,22274,70,38309,111,178173,120501,643,938,4171,2145,6853,178,2931,688,230,237,1194,12811,32,24556,65,,,,,,,,,,,,,,,,,
2017,286146,199779,1268,1596,7730,4704,12221,282,4450,681,344,328,1111,19788,191,31655,18,163944,114307,620,843,4061,1950,6128,188,3102,459,238,240,722,11423,51,19604,8,,,,,,,,,,,,,,,,,
2016,253674,181017,1117,1353,7376,3793,10212,260,4268,567,286,216,402,16559,202,26002,44,151301,107601,624,792,4306,1768,5597,174,2989,388,230,165,257,9944,65,16380,21,,,,,,,,,,,,,,,,,
2015,223346,160614,1642,1263,7537,2690,9178,245,3918,694,267,242,395,13149,242,21173,97,149327,108997,935,835,4364,1700,5505,187,2886,529,213,212,233,9087,61,13513,70,,,,,,,,,,,,,,,,,
2014,201863,142416,1460,1891,6687,2467,7758,149,3374,887,342,282,424,13022,164,20290,250,137407,98855,1041,1102,4361,1679,4844,111,2558,580,264,168,278,9043,55,12260,208,,,,,,,,,,,,,,,,,
2013,184982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,171902,124009,2045,1479,6014,2315,6992,115,3273,654,281,264,269,10446,163,13578,5,118352,86690,1493,821,3948,1579,4197,83,2636,466,231,174,198,7344,57,8430,5,,,,,,,,,,,,,,,,,
2011,158485,113989,1886,1331,5544,2333,6324,131,3137,911,266,249,223,9370,151,12223,417,111664,81425,1430,854,3810,1452,4033,97,2499,538,210,178,164,6830,52,7814,278,46821.0,32564.0,456.0,477.0,1734.0,881.0,2291.0,34.0,638.0,373.0,56.0,71.0,59.0,2540.0,99.0,4409.0,139.0
2010,141433,105427,1631,1159,4908,1782,5301,235,3289,660,314,190,147,8515,126,7606,143,99073,74313,1185,783,3390,1200,3449,158,2440,464,234,138,128,6131,45,4905,110,42360.0,31114.0,446.0,376.0,1518.0,582.0,1852.0,77.0,849.0,196.0,80.0,52.0,19.0,2384.0,81.0,2701.0,33.0
2009,130194,96202,1716,1043,5020,1960,5051,294,3017,562,539,258,188,7578,119,6531,116,97417,73003,1337,717,3723,1368,3622,226,2326,416,419,185,165,5614,53,4142,101,32777.0,23199.0,379.0,326.0,1297.0,592.0,1429.0,68.0,691.0,146.0,120.0,73.0,23.0,1964.0,66.0,2389.0,15.0
2008,122155,92019,1828,999,5160,2700,4514,411,2841,747,624,155,335,7115,136,2565,6,89277,68607,1395,724,3586,1488,3120,318,2189,485,309,133,210,5062,100,1547,4,32878.0,23412.0,433.0,275.0,1574.0,1212.0,1394.0,93.0,652.0,262.0,315.0,22.0,125.0,2053.0,36.0,1018.0,2.0
2007,99843,77061,1592,857,3916,2351,3581,357,2744,670,640,94,338,5597,45,,,71133,55845,1185,490,2797,1278,2545,274,1859,355,264,82,182,3949,28,,,28710.0,21216.0,407.0,367.0,1119.0,1073.0,1036.0,83.0,885.0,315.0,376.0,12.0,156.0,1648.0,17.0,,
2006,100167,,,,,,,,,,,,,,,,,81297,,,,,,,,,,,,,,,,,18870.0,,,,,,,,,,,,,,,,
2005,98683,,,,,,,,,,,,,,,,,81348,,,,,,,,,,,,,,,,,17335.0,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
