年份,建设工程监理其他收入,房屋建筑工程其他收入,冶炼工程其他收入,矿山工程其他收入,化工、石油工程其他收入,水利水电工程其他收入,电力工程其他收入,农林工程其他收入,铁路工程其他收入,公路工程其他收入,港口与航道工程其他收入,航天航空工程其他收入,通信工程其他收入,市政公用工程其他收入,机电安装工程其他收入,综合资质其他收入,事务所资质其他收入
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,5813686.24,1137657.55,507589.78,64236.1,1372851.8,316005.21,2073538.2,2192.15,28834.85,1497.52,239.25,,8097.6,125112.43,140918.03,33660.24,1255.53
2010,4861421.0,915131.0,392001.0,30965.0,1288283.0,110735.0,1873542.0,1629.0,8575.0,1793.0,317.0,134.0,9860.0,118122.0,87761.0,22562.0,10.0
2009,2483345.9,942977.07,455421.3,17436.48,608627.14,165970.09,159645.48,2.71,8139.2,771.34,108.78,160.64,86.2,28856.62,74076.79,21066.01,
2008,1883996.0,1075040.0,330145.0,10678.0,82618.0,152759.0,143589.0,166.0,4624.0,515.0,323.0,,192.0,30724.0,43060.0,9565.0,
2007,1908239.29,921118.34,280.46,2352.04,344871.0,526936.32,90670.51,542.8,522.92,685.0,278.67,245.6,72.8,19650.74,,,
2006,915939.01,509859.06,547.39,2189.36,224447.11,59102.64,92696.56,373.25,261.5,9147.21,225.08,245.6,10.0,16834.25,,,
2005,519614.31,338784.99,373.66,1235.04,15592.89,51508.06,86700.84,363.2,298.16,3561.19,116.24,1120.75,20.0,19939.29,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
