年份,建设工程监理营业收入,房屋建筑工程营业收入,冶炼工程营业收入,矿山工程营业收入,化工、石油工程营业收入,水利水电工程营业收入,电力工程营业收入,农林工程营业收入,铁路工程营业收入,公路工程营业收入,港口与航道工程营业收入,航天航空工程营业收入,通信工程营业收入,市政公用工程营业收入,机电安装工程营业收入,综合资质营业收入,事务所资质营业收入
2019,59944750.695,27207287.477,910783.529,348647.649,5046318.531,4881557.677,9450920.745,45590.796,1404880.6,410325.466,29392.851,34506.147,574701.023,4794800.762,128583.466,4674138.293,2315.683
2018,43144242.42,18651257.72,673307.7,261393.22,3899942.27,4223485.13,6292248.71,13241.44,1160237.0,161373.16,27926.9,31569.62,346933.34,3577552.96,355.52,3819385.86,4031.87
2017,32817217.77,14293452.52,404786.13,163950.07,1810962.57,3062075.71,5896423.03,13093.29,1163840.93,181660.47,31217.35,35228.94,368783.91,2461499.12,52833.52,2876697.11,713.1
2016,26955884.15,11428489.9,329455.22,161597.43,1873494.12,2320330.92,4747907.26,15362.66,1113020.46,113113.7,34746.76,31355.64,261956.2,2056845.62,103477.4,2363440.19,1290.68
2015,24749423.74,10332973.46,517653.21,215732.63,2919299.94,1459497.09,4673231.04,15393.94,924904.21,148676.07,36349.54,27740.21,170780.94,1358826.85,85415.96,1860127.1,2821.55
2014,22210825.52,9120581.5,379094.81,216232.25,3260664.91,971368.04,4317665.32,8224.98,439431.59,154974.48,45520.05,23035.92,220620.88,1166078.73,73579.88,1797495.85,16256.33
2013,20460377.73,,,,,,,,,,,,,,,,
2012,17173111.05,478653.94,221749.16,2221345.31,701525.65,3586209.06,8555.84,381617.12,120717.47,31035.38,17210.6,149977.56,724239.03,186797.82,1165184.59,7178019.22,273.3
2011,14925360.04,5975768.32,710330.33,170954.03,2009484.43,571048.74,3118157.38,7741.22,401644.01,103563.3,27767.95,15099.93,106865.67,583132.48,154335.74,949447.47,20019.04
2010,11961387.0,4752079.0,567335.0,107257.0,1763828.0,244770.0,2738802.0,9139.0,379463.0,85528.0,27834.0,8176.0,68559.0,525752.0,100485.0,577473.0,4907.0
2009,8545491.69,3814007.69,525201.98,76089.16,994671.83,358627.47,1580873.58,8705.55,253574.18,61917.77,29177.04,10836.14,52698.59,307588.95,75432.67,392000.28,4088.81
2008,6574397.0,3459553.0,419236.0,47868.0,701387.0,347690.0,785918.0,16185.0,174625.0,54380.0,36035.0,5513.0,67446.0,262407.0,48473.0,147635.0,45.0
2007,5267286.88,2934301.56,81140.8,27980.84,516314.22,709663.12,521534.59,12646.88,120042.76,56411.33,29479.42,5525.28,34931.59,213029.83,4284.66,,
2006,3765438.55,2214146.48,62665.98,21899.34,364851.61,211115.01,459886.79,13480.65,106384.85,64707.29,24186.02,4135.32,34198.95,180166.8,3613.46,,
2005,2796703.847244,1792560.297244,52684.86,14372.96,109755.98,141171.29,342843.63,12601.38,67354.01,58228.37,20847.19,4441.05,21017.54,156151.82,2673.47,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
