年份,国有建筑业企业单位数,国有建筑业企业从业人员,国有建筑业企业固定资产原价,国有建筑业企业固定资产净价,国有建筑业企业自有施工机械设备年末总台数,国有建筑业企业自有施工机械设备年末净值,国有建筑业企业自有施工机械设备年末总功率,国有建筑业企业建筑业总产值,国有建筑业企业本年固定资产折旧,国有建筑业企业应付职工薪酬,国有建筑业企业主营业务税金及附加,国有建筑业企业管理费用中的税金,国有建筑业企业房屋施工面积,国有建筑业企业房屋竣工面积,国有建筑业企业利润总额,国有建筑业企业税金总额,国有建筑业企业按总产值计算劳动生产率,国有建筑业企业技术装备率,国有建筑业企业动力装备率,国有建筑业企业房屋建筑面积竣工率,国有建筑业企业产值利润率,国有建筑业企业产值利税率
2019,3309,406.0812,3251.71,1713.9389,,,,30662.35253,,,,,158001.6816,26707.4782,907.8995,617.19069,587122.1128,,,16.9,2.96,4.974
2018,3358,438.51,3370.63,1784.64,,,,28273.22,,,,,146726.2,25789.1,813.46387,700.77255,531442.07,,,16.7,3.09721153491036,5.8
2017,3453,428.4259,3150.06,1618.63,,,,26414.37664,202.29951,2285.40926,,,132877.1155,25525.7933,713.43417,644.2882,484733.812004359,,,19.2,2.7,5.1
2016,3593,438.1,3044.58227,1569.01878,,,,23849.01755,180.73173,2264.19272,,,134362.0049,26978.8503,620.24574,665.6393,466055.998397561,,,20.0792257603474,2.60071820023463,5.39177363304008
2015,3603,417.565,2950.90329,1571.03067,,,,21767.07263,207.08453,2145.86844,637.76714,23.60405,120844.0463,24233.1378,633.30633,661.37119,445787.045492573,,,20.0532326928546,2.90946945767599,5.94787154895435
2014,3753,371.1511,2932.74182,1583.70381,,,,22069.4484,196.94918,2183.79148,619.90717,20.82461,119295.1011,23870.5718,564.81079,640.73178,413400.822813702,,,20.0096831972927,2.55924289435344,5.46249524750243
2013,3847,387.6584,,,,,,20739.01633,,,,,107280.6141,25392.8176,,,439212.06157677,,,21.2646838658828,,
2012,4602,457.7807,3144.39564,1759.14734,1260582.0,8146746.1,3738.897,22930.18531,228.92639,2056.1029,687.25843,25.42038,117123.5717,26763.3307,537.6582,712.67881,388406.19930582,17796.176422466,8.16744130978,22.9,2.3,5.5
2011,4642,444.9354,3065.88159,1790.54308,1246856.0,10074665.7,3694.4244,20436.8109700001,233.48425,1804.89938,652.55624,22.08108,106396.6555,25876.7055,473.00236,674.63732,339049.06241047,22642.985251342,8.3032826787889,24.3,2.31446266589409,5.61555167136723
2010,4810,576.8711,2799.72,1644.87,2244827.0,7219361.8,3207.1874,18148.58517,211.44,1458.27,612.34,22.75,84452.8479,22076.1115,444.4172,635.0844,271857.0,12515.0,5.6,26.1,2.4,5.9
2009,5009,518.9247,2804.44494,1701.60891,1387998.0,7927430.4,3620.358,15190.05043,189.36778,1323.3326,528.85596,23.24461,72681.0014,21765.3565,365.62468,552.10057,244192.693116554,15277.0,7.0,29.9464180194964,2.40700109380743,6.04162082429637
2008,5315,472.106,2539.32802,1513.79359,1339329.0,6846247.1,3511.8947,12231.65743,185.89578,1256.36471,451.8788,21.57976,65633.7175,19853.244,335.39612,473.45856,202553.474488841,14502.0,7.4,30.2485441267288,2.74203330104218,6.61279703612497
2007,5319,470.12,2364.22,1423.09,1365566.0,5826179.4,3292.09,10630.9,143.84,898.82,351.07,15.54,68768.4,20539.47,231.32623,366.61302,189149.816711062,12392.95,7.0,29.8675990716666,2.17597922045853,5.62453891673485
2006,5555,467.6,2363.43,1444.19,1360393.0,5781243.7,3217.39,9218.56,142.66,793.81,309.95,13.82,62253.81,20014.35,176.5849,323.77,170373.24,12363.26,6.88,32.1495985546909,1.92,5.43
2005,6007,480.0,2352.14,1428.84,1523411.0,6380890.9,3442.34,8432.03,144.44,762.59,282.71,12.96,56308.81,20505.72,141.42859,295.66,154435.59,13292.23,7.17,36.416539436724,1.68,5.18
2004,6513,467.36,,,1485122.0,6037889.7,3513.53,7325.61,,,,,52397.94,20552.46,,,,,,,,
2003,6638,524.32,,,1649774.0,6920800.0,3493.75,6060.23,,,,,46803.66,18774.06,54.0339,,100409.0,,,,,
2002,7536,543.75,,,1710768.0,6811241.0,3663.21,5582.86,,,,,44567.3,19628.2,45.5858,,92844.0,,,,,
2001,8264,590.65,,,1831423.0,5561988.0,4008.67,5362.81,,,,,46627.5,20338.2,32.7049,,82899.0,,,,,
2000,9030,635.6,,,1822716.0,5485356.0,4150.75,5053.79,,,,,46237.5,20145.0,21.5894,,73302.0,,,,,
