年份,港澳台商独资建筑业企业单位数,港澳台商独资建筑业企业从业人员,港澳台商独资建筑业企业固定资产原价,港澳台商独资建筑业企业固定资产净价,港澳台商独资建筑业企业自有施工机械设备年末总台数,港澳台商独资建筑业企业自有施工机械设备年末净值,港澳台商独资建筑业企业自有施工机械设备年末总功率,港澳台商独资建筑业企业建筑业总产值,港澳台商独资建筑业企业本年固定资产折旧,港澳台商独资建筑业企业应付职工薪酬,港澳台商独资建筑业企业主营业务税金及附加,港澳台商独资建筑业企业管理费用中的税金,港澳台商独资建筑业企业房屋施工面积,港澳台商独资建筑业企业房屋竣工面积,港澳台商独资建筑业企业利润总额,港澳台商独资建筑业企业税金总额,港澳台商独资建筑业企业按总产值计算劳动生产率,港澳台商独资建筑业企业技术装备率,港澳台商独资建筑业企业动力装备率,港澳台商独资建筑业企业房屋建筑面积竣工率,港澳台商独资建筑业企业产值利润率,港澳台商独资建筑业企业产值利税率
2019,77,2.9742,19.08,8.5422,,,,157.55931,,,,,317.07,148.2,13.90117,3.56789,495471.7,,,46.74,8.82,11.088
2018,83,3.6216,19.0,8.85,,,,197.02345,,,,,198.78,78.01,13.26328,3.84472,535899.5,,,39.2,6.73194599533042,8.7
2017,79,3.0299,83.74304,58.80508,,,,146.03202,4.70407,16.22704,,,192.7795,27.4669,7.95639,5.0642,442816.48371642,,,14.2,5.4,8.9
2016,79,2.5603,53.3957,32.76634,,,,127.11041,3.20363,15.75743,,,175.5328,63.039,10.19956,4.73683,452495.140792425,,,35.9129461844168,8.02417362983881,11.7507212823875
2015,78,4.2326,62.45464,44.5191,,,,128.88141,2.37611,10.65383,2.82976,0.55441,150.4997,25.2921,7.00922,3.38417,342523.746246047,,,16.8054155589679,5.43850350488872,8.06430500721555
2014,78,1.3236,41.43653,33.1392,,,,77.50869,1.71882,10.56824,2.34807,0.18872,206.6977,29.5058,4.54797,2.53679,409925.375502433,,,14.2748564691334,5.86769044864518,9.14060087972071
2013,88,1.5067,,,,,,76.39043,,,,,240.9976,29.6829,,,430271.65709136,,,12.3166786723187,,
2012,90,1.2357,8.08772,4.97552,3664.0,10119.3,4.9988,82.92891,0.42867,7.76653,2.36091,0.20683,230.2297,59.1043,8.00977,2.56774,524468.18871743,8189.1235736829,4.0453184429878,25.7,9.7,12.8
2011,91,2.5616,22.78149,15.15869,7224.0,30043.3,18.4156,136.16969,1.53489,9.91266,2.8099,0.16873,212.2202,11.7998,5.49685,2.97863,299669.21214789,11728.333853841,7.1891005621487,5.6,4.03676471614204,6.22420452011017
2010,99,1.646,11.11,6.92,7500.0,16500.0,7.24,78.1891,0.83,6.6,2.21,0.23,221.4,50.97,6.3565,2.4353,264438.0,10001.0,4.4,23.0,8.1,11.2
2009,111,2.2659,11.90917,7.71936,4686.0,25636.4,11.4265,68.6187,0.7768,7.47635,1.92249,0.15901,225.7072,47.8264,5.18349,2.0815,190925.70951586,11314.0,5.0,21.1895765841763,7.55404867769282,10.5874783404524
2008,109,1.5404,9.52271,6.43232,4374.0,17903.7,6.8599,78.31479,0.75295,6.46518,2.13443,0.08387,196.4913,31.4968,2.95926,2.2183,284532.735067577,11623.0,4.5,16.0296155605872,3.77867322379336,6.61121609340969
2007,89,1.4249,7.57,4.39,4100.0,15900.0,5.83,48.9881,0.49,4.56,1.35,0.09,284.85,56.33,1.33193,1.43778,192616.285927732,11135.8,4.09,19.7753203440407,2.71888479038787,5.65384246378202
2006,73,1.1739,5.85,3.94,3900.0,13100.0,5.81,35.11969,0.43,2.76,0.99,0.03,131.62,84.4,0.52322,1.02,186808.51,11153.85,4.95,64.123993314086,1.48,4.38
2005,70,1.17,5.73,4.23,2700.0,14300.0,5.7947,24.34,0.29,1.6,0.55,0.03,76.7,21.66,1.00141,0.58,204537.82,12241.25,4.96,28.2398956975228,4.11,6.49
2004,,,,,,,,,,,,,,,,,,,,,,
2003,46,0.3626,,,,,,3.8991,,,,,,,0.1617,,,,,,,
2002,74,0.46,,,,,,6.4731,,,,,,,-0.167,,,,,,,
2001,74,0.5427,,,,,,4.34578,,,,,,,0.3489,,,,,,,
2000,76,0.58,,,,,,7.0774,,,,,,,0.2702,,,,,,,
