年份,建筑业企业总收入,内资建筑业企业总收入,国有建筑业企业总收入,集体建筑业企业总收入,港澳台商投资建筑业企业总收入,港澳台商独资建筑业企业总收入,外商投资建筑业企业总收入,外商独资建筑业企业总收入
2019,232616.2361,231003.39296,31677.62975,3221.59355,807.93835,209.92426,804.90479,534.16279
2018,211991.70415,210457.32447,28653.73287,3368.61599,752.55744,200.23335,781.82224,493.53997
2017,194164.58296,192723.61066,26421.88432,3689.44031,876.79618,191.44392,564.17612,329.24353
2016,181770.75039,180436.46288,24909.86764,3913.48036,806.12069,187.35941,528.16682,288.92155
2015,170705.38965,169268.46952,23352.0981,3754.64193,840.57351,183.86136,596.34662,319.24017
2014,165675.24609,164167.94974,22443.93951,4003.38091,815.66355,110.38903,691.6328,359.2032
2013,,,,,,,,
2012,130182.93133,128948.17109,23656.71018,4391.21648,688.92098,104.54828,545.83926,268.56694
2011,112002.78653,110596.951,21941.14307,3853.25296,653.59466,151.24622,752.24087,238.0564
2010,93636.5784,92626.8768,19093.2815,3351.9478,503.1915,94.1147,506.5102,192.8375
2009,75478.19811,74637.70662,16382.57126,3025.31167,376.15332,79.86023,464.33817,132.62354
2008,60736.44292,59925.10461,13211.57048,2910.10656,363.08314,88.20731,448.25517,167.21301
2007,49414.75466,48675.63925,11263.25481,2777.99767,276.63187,51.91935,462.48354,158.21857
2006,40155.0152,39595.04221,9801.43565,2527.07801,242.9577,37.73986,317.01521,110.94713
2005,33198.49127,32716.98882,8985.33073,2490.17176,187.83362,29.14847,293.66883,56.83038
2004,,,,,,,,
2003,22037.2689,21770.7103,6410.6255,2874.777,131.511,3.8026,135.0476,3.7512
2002,17744.7777,17530.0232,5961.6444,2941.3338,124.7421,10.1887,90.0124,4.1309
2001,14574.3354,14394.5746,5548.5224,2916.7335,112.6768,7.9124,67.084,2.2638
2000,11506.8245,11352.3486,5096.4245,3040.3571,94.1052,6.2312,60.3707,2.1323
