年份,建筑业企业负债,内资建筑业企业负债,国有建筑业企业负债,集体建筑业企业负债,港澳台商投资建筑业企业负债,港澳台商独资建筑业企业负债,外商投资建筑业企业负债,外商独资建筑业企业负债
2019,176472.89486,174536.84277,34578.26036,1393.19804,890.76691,263.65517,1045.28518,799.46629
2018,159218.09563,157430.00623,30534.91323,1416.98313,924.37283,281.20884,863.71657,611.21356
2017,136900.6907,135091.33424,27880.471,1582.92303,1129.85099,279.63965,679.50547,492.36215
2016,121505.27937,119996.77269,24300.93758,1671.95647,875.42798,250.00548,633.0787,443.26129
2015,110114.37228,108691.90601,21650.11168,1632.25401,853.49954,226.8465,568.96673,386.57619
2014,100459.18004,99093.38548,19400.52176,1659.94398,762.47198,156.80077,603.32258,391.59253
2013,,,,,,,,
2012,75529.71696,74606.02593,17782.4578,1956.4215,515.40437,76.01683,408.28666,0.58254
2011,63595.06712,62591.89114,15115.56614,1713.18152,462.90594,109.49932,540.27004,2.39196
2010,50349.1708,49718.723,12374.2748,1489.6366,322.7131,48.3518,307.7347,4.5836
2009,40915.6885,40370.46449,11063.30957,1405.20259,254.44068,48.87552,290.78333,5.28772
2008,34034.9799,33530.48657,9481.74495,1386.36808,212.08089,49.4251,292.41244,6.50102
2007,28166.3663,27729.41362,7970.46621,1403.17646,170.30615,38.18579,266.64653,96.69562
2006,23375.57509,23013.73134,6943.2846,1414.59322,164.5059,21.53529,197.33785,76.94555
2005,20362.73962,20060.74442,6685.45606,1452.0948,124.37131,12.4873,177.62389,40.22465
2004,,,,,,,,
2003,14992.4251,14809.5208,5477.7766,1765.9802,96.5534,5.0558,86.3509,3.0005
2002,12985.6808,12823.833,5287.7122,1966.1683,103.116,16.045,58.7318,2.2189
2001,11333.83165,11185.5257,5314.6391,1896.2359,98.1245,15.1196,50.1815,1.8458
2000,10345.21688,10201.5196,5305.3525,2316.9121,93.7263,12.2613,49.971,3.0074
