年份,总承包建筑业企业利润总额,特级总承包建筑业企业利润总额,一级总承包建筑业企业利润总额,二级总承包建筑业企业利润总额,三级及以下总承包建筑业企业利润总额
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,40787598.9,7813643.0,14672278.9,10895249.5,7406427.5
2011,35428431.9,6683772.5,12506979.4,9429352.5,6808327.5
2010,28608532.0,5258491.0,9834941.0,7785849.0,5729251.0
2009,22690336.0,4340277.9,7450068.7,6155428.5,4744560.9
2008,18032977.3,2615930.4,5946788.0,5204716.9,4265542.0
2007,12789248.8,2570364.6,3728969.9,3681700.9,2808213.4
2006,9620634.9,1698874.7,2873176.5,2866701.7,2181882.0
2005,7109477.4,1079283.2,2113299.2,2075420.7,1841474.3
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
