年份,亿元以上商品交易市场摊位数,综合市场摊位数,生产资料综合市场摊位数,工业消费品综合市场摊位数,农产品综合市场摊位数,其他综合市场摊位数,专业市场摊位数,生产资料市场摊位数,农业生产用具市场摊位数,农用生产资料市场摊位数,煤炭市场摊位数,木材市场摊位数,建材市场摊位数,化工材料及制品市场摊位数,金属材料市场摊位数,机械设备市场摊位数,其他生产资料市场摊位数,农产品市场摊位数,粮油市场摊位数,肉禽蛋市场摊位数,水产品市场摊位数,蔬菜市场摊位数,干鲜果品市场摊位数,棉麻土畜、烟叶市场摊位数,其他农产品市场摊位数,食品、饮料及烟酒市场摊位数,食品饮料市场摊位数,茶叶市场摊位数,烟酒市场摊位数,其他食品饮料及烟酒市场摊位数,纺织、服装、鞋帽市场摊位数,布料及纺织品市场摊位数,服装市场摊位数,鞋帽市场摊位数,其他纺织服装鞋帽市场摊位数,日用品及文化用品市场摊位数,小商品市场摊位数,箱包市场摊位数,玩具市场摊位数,文具市场摊位数,图书、报刊杂志市场摊位数,音像制品及电子出版物市场摊位数,体育用品市场摊位数,其他日用品及文化用品市场摊位数,黄金、珠宝、玉器等首饰市场摊位数,电器、通讯器材、电子设备市场摊位数,家电市场摊位数,通讯器材市场摊位数,照相、摄像器材市场摊位数,计算机及辅助设备市场摊位数,其他电器、通讯器材、电子设备市场摊位数,医药、医疗用品及器材市场摊位数,中药材市场摊位数,其他医药、医疗用品及器材市场摊位数,家具、五金及装饰材料市场摊位数,家具市场摊位数,装饰材料市场摊位数,灯具市场摊位数,厨具、盥洗设备市场摊位数,五金材料市场摊位数,其他装修市场摊位数,汽车、摩托车及零配件市场摊位数,汽车市场摊位数,摩托车市场摊位数,机动车零配件市场摊位数,花、鸟、鱼、虫市场摊位数,花卉市场摊位数,鸟市场摊位数,观赏鱼市场摊位数,其他花鸟鱼虫市场摊位数,旧货市场摊位数,古玩、古董、字画市场摊位数,邮票、硬币市场摊位数,其他旧货市场摊位数,其他专业市场摊位数
2019,3045931,1118787,54824,370927,369241,323795,1927144,250752,3986,2912,2748,10818,106206,14787,71422,20898,16975,470632,22327,39955,65105,172658,62521,18112,89954,48021,13716,12684,2310,19311,591446,98056,374842,19646,98902,58521,25728,11354,1350,638,696,101,275,18379,22017,44653,10149,8975,406,21081,4042,47388,47388,,267390,78304,101730,6530,1222,42748,36856,74373,45156,3080,26137,20946,19932,,,1014,5188,300,,4888,25817
2018,3178423,1183218,55271,394672,389193,344082,1995205,263071,4703,3309,3318,12232,111232,17082,71624,24314,15257,469951,20534,40328,65341,169181,62156,17419,94992,49913,14209,12706,2653,20345,626179,101411,387457,23536,113775,58119,28227,9388,1459,640,1130,427,275,16573,15937,47824,10438,9200,407,23716,4063,50577,50577,,280395,79650,104308,6652,3245,47009,39531,77078,46881,3092,27105,21358,19685,,,1673,5297,305,,4992,29506
2017,3347936,1254329,54861,462256,393923,343289,2093607,271210,5038,5107,3346,13414,111218,17507,75558,24317,15705,507207,28544,41729,69077,182064,67448,17270,101075,61089,21936,12418,2872,23863,659568,107392,404441,25170,122565,51774,26994,4986,1699,987,1174,609,260,15065,15038,51019,10781,10026,972,24275,4965,42416,42416,,294399,85677,108397,6899,2997,49582,40847,77339,45263,3489,28587,22236,20716,,,1520,6461,690,,5771,33851
2016,3457899,1294553,54972,485872,426604,327105,2163346,288206,5686,6428,3407,16583,111227,22603,81253,24964,16055,522891,29932,41934,67230,203548,66886,17577,95784,69639,25248,13059,4092,27240,680422,108749,416724,24758,130191,55421,29904,5312,1050,1762,1428,608,230,15127,14339,51436,10148,9673,1012,26208,4395,49010,49010,,296510,85067,109875,6922,2346,47230,45070,73761,41178,3502,29081,19594,18075,,,1519,6658,858,,5800,35459
2015,3468638,1280282,60523,492143,417141,310475,2188356,296824,5419,6617,3492,18181,109456,23267,87192,25930,17270,558530,31824,44735,86884,214680,73395,17271,89741,69545,26725,12489,4374,25957,677759,106335,418407,24764,128253,60501,34153,5053,1055,2037,1385,678,,16140,16624,55155,11069,10183,461,29254,4188,26436,26436,,285297,70450,114910,7960,2165,47074,42738,76971,41234,3624,32113,19608,18065,,,1543,8195,868,,7327,36911
2014,3534757,1279354,63984,487781,423859,303730,2255403,293442,5744,6303,1905,19442,102101,21896,93639,26289,16123,565365,33430,44873,98509,212648,68118,14725,93062,72041,28388,11474,4844,27335,706812,110983,416727,25200,153902,67747,40587,5557,1063,1427,1566,473,,17074,16933,60317,11354,11278,490,32743,4452,47178,47178,,280793,67975,112641,8476,1997,47163,42541,79728,38628,3606,37494,19820,18279,,,1541,9106,848,,8258,36121
2013,3488170,1218441,58074,483884,422586,253897,2269729,281283,6173,6554,2322,19551,86695,18863,98431,25644,17050,576657,33762,44177,100190,223435,69192,14505,91396,78505,35877,12384,4938,25306,713873,109793,415212,26670,162198,68318,39811,5567,1124,1093,1652,495,80,18496,16427,67267,13369,15772,485,33219,4422,46854,46854,,275246,65917,110641,7143,1399,49967,40179,82883,38404,3786,40693,20206,19240,,,966,7823,848,,6975,34387
2012,3494122,1208959,55635,495431,423936,233957,2285163,276403,6162,5657,2144,20682,80499,18748,100564,25673,16274,596542,45036,38238,105609,234367,65915,14281,93096,86377,33566,13268,4834,34709,713557,102420,436863,24692,149582,67924,38630,5125,1126,1614,1722,988,80,18639,16592,78616,15197,20120,532,36460,6307,25531,25348,183.0,280991,72048,107328,6551,1306,51232,42526,79701,38782,4225,36694,20642,19688,,,954,9864,1831,707.0,7326,32423
2011,3334787,1173555,54428,439732,429245,250150,2161232,285028,5216,6353,2353,18897,91258,18760,95844,25895,20452,563645,41288,30009,99622,228107,65041,21297,78281,84576,29945,11437,4728,38466,680641,110007,405727,25427,139480,69469,38885,5123,1124,1329,1753,950,80,20225,12276,69732,12867,17567,455,31928,6915,25501,25329,172.0,248949,59890,91116,6569,1250,46496,43628,72488,34763,4221,33504,19654,17502,,1000.0,1152,8161,1102,,7059,21112
2010,3193365,1167981,59080,445954,427746,235201,2025384,265613,4855,6188,2111,17612,83541,19810,85637,23436,22423,536794,31978,38070,88346,220055,76665,11672,70008,76755,38811,10227,4085,23632,629757,102865,379172,23040,124680,71284,36962,5627,432,1661,1777,969,80,23776,10150,68824,12782,14950,449,29357,11286,22026,21048,978.0,218743,59143,73012,5996,1169,48239,31184,76187,42206,4853,29128,16812,15766,,,1046,8155,1102,,7053,24284
2009,2994781,1086242,53386,396749,396452,239655,1908539,239943,4562,5973,1698,16977,80016,12527,78940,17099,22151,520888,25452,34507,84564,223538,62622,18742,71463,67206,32655,8978,3440,22133,603438,100854,358604,24477,119503,77400,39741,5672,115,579,1811,924,80,28478,6934,63164,16816,10982,150,26339,8877,21756,20968,788.0,195537,54350,65468,5404,1120,41532,27663,63686,33818,4837,25031,17761,15277,,1000.0,1484,8564,630,,7934,22262
2008,2839070,1041339,46339,388032,372615,234353,1797731,221901,5906,5537,1410,15577,73818,13174,75443,13219,17817,485533,29052,31063,68440,195753,59948,11489,89788,84071,40208,11604,7947,24312,565341,88247,325872,24722,126500,64307,34873,5130,100,663,2028,496,80,20937,6688,56413,11175,9066,210,28858,7104,19465,18703,762.0,178703,43568,57471,4978,1290,38858,32538,59174,32058,4164,22952,17763,17400,,,363,8739,630,,8109,29633
2007,2681630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2527987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2248803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2229818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2148866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2190814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2200662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2115115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
