年份,综合零售门店总数,食品、饮料及烟草制品专门零售门店总数,纺织、服装及日用品专门零售门店总数,文化、体育用品及器材专门零售门店总数,医药及医疗器材专门零售门店总数,汽车、摩托车、燃料及零配件专门零售门店总数,家用电器及电子产品专门零售门店总数,五金、家具及室内装修材料专门零售门店总数,无店铺及其他零售门店总数
2019,68452,20216,19993,3227,82642,17030,5878,471,866
2018,64899,23306,19539,1790,73632,16770,8299,447,784
2017,67642,22393,18302,1811,63153,15442,7640,383,706
2016,70169,23180,14609,1957,51266,13901,7401,220,662
2015,68534,13236,9699,2181,45063,13783,6897,201,650
2014,67090,12747,11737,1660,41570,13344,6997,185,120
2013,65022,11865,11858,1651,39319,12792,6982,163,184
2012,62948,9047,10507,1732,35835,11999,6886,147,132
2011,63493,7516,18185,1643,32486,13711,5144,147,287
2010,62657,8553,12184,2018,31049,16428,3165,116,458
2009,56568,9105,11192,2093,30543,19583,2949,147,822
2008,52761,4773,13821,1562,30844,7707,4060,177,189
2007,48020,4201,12544,1554,26412,7193,3428,153,176
2006,39688,4998,9660,2905,21090,8962,2829,129,243
2005,33347,3127,3107,3117,18449,12114,2392,96,136
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
