年份,农、林、牧产品批发主营业务收入,食品、饮料及烟草制品批发主营业务收入,米、面制品及食用油批发主营业务收入,烟草制品批发主营业务收入,纺织、服装及日用品批发主营业务收入,服装批发主营业务收入,文化、体育用品及器材批发主营业务收入,医药及医疗器材批发主营业务收入,矿产品、建材及化工产品批发主营业务收入,煤炭及制品批发主营业务收入,石油及制品批发主营业务收入,金属及金属矿批发主营业务收入,建材批发主营业务收入,化肥批发主营业务收入,机械设备、五金交电及电子产品批发主营业务收入,汽车、摩托车及零配件批发主营业务收入,日用家电批发主营业务收入,计算机、软件及辅助设备批发主营业务收入,贸易经纪与代理主营业务收入,其他批发主营业务收入
2019,,,,,,,,,,,,,,,,,,,,
2018,10049.1,41961.6,6392.2,15828.5,42068.9,7914.2,10129.2,26108.7,279889.4,28982.1,69315.0,117458.5,15524.6,4486.7,76772.4,29995.3,10476.4,6834.9,4511.5,7878.6
2017,8644.599,39675.229,5992.833,15134.756,36590.23,7345.193,8889.188,23791.328,247376.215,25614.487,61622.921,103285.96,12736.17,4320.633,67942.584,24378.095,12001.153,5650.129,5296.805,7587.466
2016,8346.6605,39614.1765,5538.667,14806.8304,32257.8186,7062.5074,7824.0259,20595.7094,202760.4132,23044.5185,50757.6482,80948.2564,11588.3697,4349.3925,60119.2414,21998.229,9540.308,4686.0403,5436.5559,7626.3811
2015,8032.0847,37309.2417,5076.1167,15316.7618,31748.2598,7956.2469,7191.5974,18146.1599,191489.5422,23597.191,49712.6433,73305.1815,10755.3963,5590.3368,51714.8491,18249.7303,8365.7918,4137.9508,5196.2627,7653.3022
2014,7918.67458,34647.77751,4925.11856,15080.23624,31554.87826,7905.47473,6438.94139,15927.05155,228143.255,28536.50345,64317.06455,84442.31608,11298.4033,6468.96683,49407.76169,17429.78618,8595.68442,4135.06488,4843.90086,8443.10203
2013,7613.73792,30856.59125,4442.64733,13935.75175,28631.60326,7305.96971,5863.05984,13498.71412,215010.73403,29831.55029,64099.48487,76716.14649,10572.94489,5078.02654,43692.80124,15389.51618,8441.05394,3884.09888,4487.33362,8007.18989
2012,5658.79386,24596.96862,3314.77827,12636.98387,23199.72925,6102.84774,4686.83338,10772.63594,175700.85648,24561.69359,55579.62051,61232.85245,8994.02552,4663.33337,37211.21924,13326.37421,6845.59646,3652.09286,3741.16829,6615.38029
2011,4710.4062,20951.4369,2581.0617,10937.8464,14550.1394,5293.7147,3184.7713,9334.0753,154810.9416,20453.7807,48773.2452,57748.1801,7987.8694,3408.9612,39959.9688,12841.2228,6528.4768,4228.7951,3837.8334,6550.2768
2010,3749.8,17034.8,1959.7,9370.3,11379.9,3935.8,2400.1,7202.8,116099.3,15335.5,36247.7,43893.2,5443.4,2379.4,31537.8,10334.2,5380.3,2808.2,3238.5,5115.9
2009,2853.03396,13940.40887,1390.3047,8403.61469,9049.5224,3326.23175,1784.97015,6129.11278,79996.11823,9579.22938,26733.2643,29240.08532,4037.0026,2147.99299,22910.06406,6774.94364,3855.92422,2265.14856,2736.06654,3554.719
2008,2742.9812,12944.1279,1360.9836,7577.0553,9578.4526,3495.8921,2019.3448,5273.0377,89797.3555,9761.2589,28093.8831,36092.8563,4050.4479,2362.1179,23569.8162,7266.0324,3147.0581,2095.0396,3445.1004,5100.3731
2007,1920.58627,9786.48443,751.6,6418.4512,7001.34265,2752.05985,1176.03279,3775.02286,52120.28726,4028.74063,21660.94922,17696.58029,2362.12584,1428.26669,14496.41662,3350.3453,2484.72062,1339.43469,1677.62803,3486.98411
2006,1798.3389,8793.0901,645.8452,5944.474,6069.3535,2407.526,1038.8038,3182.1526,40962.6646,2820.6655,17609.9058,13569.2506,1618.8913,1179.8246,11663.3831,2317.8201,1888.1955,1076.7238,1413.4306,2803.2595
2005,1719.01257,8262.6096,642.95161,5797.22461,5080.69024,1911.91365,962.865,2930.72611,34529.83979,2630.30673,14806.21629,10829.76772,1363.8426,1056.69784,10432.80123,2966.683,1571.37445,984.10186,683.8867,3098.83452
2004,1750.22828,7986.00046,818.24396,5322.73963,4991.43611,1870.72177,965.78553,2704.58033,32024.98305,2288.78739,13405.68268,10383.94254,1353.26405,940.30702,11804.12714,3493.30735,1525.5066,1113.97995,602.47594,2144.03972
2003,1288.77699,5905.14279,634.55149,4228.27918,3265.7676,,583.66378,1752.55502,13857.89318,772.34839,6629.22204,3924.76863,458.02757,677.64549,5314.1518,2032.30826,551.1727,265.43586,730.43791,991.47927
2002,,5602.2855,932.7521,3589.113,,,,1415.0572,,597.1066,6138.1274,,218.5861,,,1688.8397,,,,
2001,,5502.5188,852.1469,3528.9929,,,,1205.0446,,548.5633,5747.3857,,160.7433,,,1246.399,,,,
2000,,5863.6778,838.2658,3867.9048,,,,1002.2832,,462.9385,5209.4932,,143.7037,,1214.2852,1121.8149,,,,729.1445
