年份,批发业主营业务成本,内资批发业企业主营业务成本,国有批发业企业主营业务成本,集体批发业企业主营业务成本,股份合作批发业企业主营业务成本,联营批发业企业主营业务成本,国有联营批发业企业主营业务成本,集体联营批发业企业主营业务成本,国有与集体联营批发业企业主营业务成本,其他联营批发业企业主营业务成本,有限责任公司批发业企业主营业务成本,国有独资公司批发业企业主营业务成本,其他有限责任公司批发业企业主营业务成本,股份有限公司批发业企业主营业务成本,私营批发业企业主营业务成本,私营独资批发业企业主营业务成本,私营合伙批发业企业主营业务成本,私营有限责任公司批发业企业主营业务成本,私营股份有限公司批发业企业主营业务成本,其他批发业企业主营业务成本,港澳台商投资批发业企业主营业务成本,港澳台商合资经营批发业企业主营业务成本,港澳台商合作经营批发业企业主营业务成本,港澳台商独资经营批发业企业主营业务成本,港澳台商投资股份有限公司批发业企业主营业务成本,其他港澳台商投资批发业企业主营业务成本,外商投资批发业企业主营业务成本,中外合资经营批发业企业主营业务成本,中外合作经营批发业企业主营业务成本,外资批发业企业主营业务成本,外商投资股份有限公司批发业企业主营业务成本,其他外商投资批发业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,466270.0,398147.1,12576.4,609.8,276.2,24.5,3.3,16.4,,,198602.4,33803.2,164799.2,40181.7,145569.5,312.6,42.7,142080.8,3133.4,306.7,20637.4,3531.0,201.0,16391.6,317.6,196.1,47485.6,14716.4,42.5,28781.9,363.6,3581.2
2017,416935.3313,358916.286,15609.477,700.578,211.199,24.199,4.346,5.167,13.469,1.217,187278.745,36939.524,150339.222,35784.776,118666.574,333.444,36.106,115502.702,2794.322,640.737,19616.803,3449.577,118.65,15671.49,134.132,242.953,38402.244,12460.344,47.589,24908.035,347.804,638.472
2016,357285.4067,308236.7933,16032.1797,933.9151,189.4504,30.9106,4.9445,6.0596,17.5865,2.3199,161481.0418,31075.8556,130405.1859,31226.13,97633.6945,438.939,60.484,94587.6945,2546.5775,709.4721,16998.1888,3237.2909,159.8522,13055.0132,426.4663,119.5664,32050.4254,9937.7484,36.3226,21271.1134,278.7739,526.4672
2015,333978.081,289307.0894,21216.8383,1139.2883,280.5596,50.1949,8.5236,5.8854,24.3832,11.4027,146112.0409,29289.3458,116822.6953,32655.3663,87064.17,579.4051,113.2278,84108.7593,2262.7783,788.6323,15045.6151,3288.0353,149.7871,11144.486,407.1271,56.1796,29625.3768,9106.1482,56.8808,19867.1057,278.5992,316.6433
2014,363114.4297,317911.74251,24627.28083,1196.59644,267.22981,64.0399,8.30544,6.09894,41.72888,7.90664,158996.54232,35118.44131,123878.10101,37745.37518,94350.71527,535.6359,95.92122,91147.4012,2571.75695,663.96276,13890.13545,3377.19887,131.28766,10023.13963,344.62928,13.88001,31312.5517,8836.82613,557.68713,21250.32657,288.708,379.00387
2013,333731.7086,295635.68772,33102.29137,1268.25447,398.6536,195.73191,134.41931,16.62832,38.73144,5.95284,140269.30291,26986.76575,113282.53716,36747.49041,82537.60937,536.6594,108.5838,79311.51025,2580.85592,1116.35368,10342.89883,1466.45954,92.96477,8571.2231,205.73685,6.51457,27753.12205,7844.26065,641.185,18667.23689,280.59339,319.84612
2012,273618.42,242030.50405,54925.35008,1743.9463,677.56422,675.60635,351.342,40.19838,194.18112,89.88485,89569.55653,10011.95259,79557.60394,28973.23909,62035.49083,2340.69813,793.53961,56961.23633,1940.01676,3429.75065,8171.26185,1271.53883,81.93063,6681.20863,129.71597,6.86779,23416.65412,6692.85817,686.09672,15761.36498,259.61367,16.72058
2011,240818.0195,212141.517,46930.5702,1777.2063,727.7107,549.1339,240.1126,35.3325,166.8161,106.8727,73240.8914,7935.3963,65305.4951,28525.6267,57901.5531,2036.4816,729.4548,53093.4862,2042.1305,2488.8247,7386.771,1191.2755,89.0648,5976.6226,124.2015,5.6067,21289.7316,5366.1777,897.3625,14925.1009,97.0442,4.0462
2010,183482.2585,163741.2,36770.1,2099.9,691.2,534.3,271.7,37.1,104.4,121.1,52654.0,7083.5,45570.4,23490.6,46635.3,1825.8,526.2,42636.0,1647.3,865.8,4416.0,972.0,64.2,3180.2,199.5,,15325.1,4503.1,723.8,10052.3,45.8,
2009,131930.67653,119125.09741,26823.25791,2390.21976,531.74656,376.01901,183.46534,13.82722,114.66021,64.06624,36750.05247,4477.00381,32273.04866,19042.85062,32603.81232,1408.65322,359.24793,29636.77441,1199.13676,607.13876,3077.76257,844.30137,46.58162,2053.25169,133.62789,,9727.81655,2811.29691,30.46091,6834.16331,51.89542,
2008,142384.8631,128406.5102,26719.0864,2189.7596,708.9442,579.2641,356.9613,47.4573,104.3271,70.5184,39483.3291,6522.9314,32960.3977,19220.7915,38908.1348,1836.5055,574.7722,34751.7174,1745.1397,597.2008,3177.1757,891.4662,98.0427,2091.9597,95.7071,,10801.1771,2605.8317,856.1686,7244.8873,94.2895,
2007,88081.71642,81268.08014,21255.22871,1508.3528,392.33786,536.23414,323.61908,23.68339,92.5973,96.33437,25316.24896,3575.56569,21740.68327,13860.41241,18115.76161,424.1815,107.87904,16774.191,809.51007,283.50365,1172.93932,253.086,64.36537,841.60347,13.88448,,5640.69696,1648.70749,20.18891,3675.30969,296.49087,
2006,72392.8023,67503.6592,18349.2071,1454.6804,471.3439,505.3241,319.6137,24.9213,63.9916,96.7975,19527.407,1663.1815,17864.2255,12551.3752,14472.9666,178.6629,92.1269,13630.1603,572.0165,171.3549,816.3789,182.158,46.9541,572.1328,15.1339,,4072.7642,917.5594,18.7375,3083.5185,52.9489,
2005,62047.91081,57528.76977,16491.46249,1406.78693,527.25192,371.00732,259.05412,12.19822,46.06604,53.68894,17242.41452,1992.849,15249.56552,10375.61244,11021.64721,176.40825,73.3035,10420.423,351.51256,92.58694,786.37841,141.95231,37.34975,594.82678,12.24957,,3732.76253,735.55894,453.48868,2537.27748,6.43743,
2004,60149.67096,55690.51538,15117.84872,1387.91672,551.435,470.12937,297.68397,31.01667,97.23431,44.19442,16942.72646,2078.7985,14863.92796,9722.28624,11457.05051,226.3849,122.58836,10709.52642,398.55083,41.12236,629.54169,184.44055,33.31349,395.99405,15.7936,0.0,3829.61389,1088.54335,468.52294,2175.23306,97.31454,0.0
2003,31211.0314,29421.87088,11575.87093,1189.88271,301.44,312.60033,200.11676,15.07865,43.69233,53.71259,7865.97892,1201.64362,6664.3353,5626.55809,2527.19347,122.82972,27.95896,2276.51568,99.88911,22.34643,417.32095,81.07761,60.41681,264.83203,10.9945,,1371.83958,671.53742,11.45548,688.18998,0.6567,
2002,26598.1592,25237.5827,12155.1087,1134.9232,348.983,225.9404,141.9385,8.9494,41.1211,33.9519,5753.2283,1030.3225,4722.9058,4097.8908,1509.4359,33.8773,21.2949,1363.8478,90.4158,12.0725,361.8411,62.5583,19.3734,272.3405,7.5689,,998.7354,517.4123,4.0232,470.4161,6.8837,
2001,23293.2959,22618.1081,12406.2616,1383.215,300.08,206.3432,126.9548,6.681,41.616,31.0913,4055.407,624.8028,3430.6041,3306.4903,945.961,24.2044,16.5482,849.0337,56.1747,14.35,108.3226,35.0616,19.5522,47.5694,6.1395,,566.8652,456.4836,2.5889,102.7758,5.0169,
2000,22364.9603,22034.3756,14494.8995,1909.3888,256.8639,180.1339,89.9001,15.7235,54.3481,20.1623,2720.2551,682.2204,2038.0347,2096.6343,368.9764,21.0315,12.7665,313.4308,21.7476,7.2235,49.7585,28.3997,8.1936,13.0309,0.1343,,280.8263,230.5332,1.9019,35.8153,12.5758,
