年份,批发业主营业务税金及附加,内资批发业企业主营业务税金及附加,国有批发业企业主营业务税金及附加,集体批发业企业主营业务税金及附加,股份合作批发业企业主营业务税金及附加,联营批发业企业主营业务税金及附加,国有联营批发业企业主营业务税金及附加,集体联营批发业企业主营业务税金及附加,国有与集体联营批发业企业主营业务税金及附加,其他联营批发业企业主营业务税金及附加,有限责任公司批发业企业主营业务税金及附加,国有独资公司批发业企业主营业务税金及附加,其他有限责任公司批发业企业主营业务税金及附加,股份有限公司批发业企业主营业务税金及附加,私营批发业企业主营业务税金及附加,私营独资批发业企业主营业务税金及附加,私营合伙批发业企业主营业务税金及附加,私营有限责任公司批发业企业主营业务税金及附加,私营股份有限公司批发业企业主营业务税金及附加,其他批发业企业主营业务税金及附加,港澳台商投资批发业企业主营业务税金及附加,港澳台商合资经营批发业企业主营业务税金及附加,港澳台商合作经营批发业企业主营业务税金及附加,港澳台商独资经营批发业企业主营业务税金及附加,港澳台商投资股份有限公司批发业企业主营业务税金及附加,其他港澳台商投资批发业企业主营业务税金及附加,外商投资批发业企业主营业务税金及附加,中外合资经营批发业企业主营业务税金及附加,中外合作经营批发业企业主营业务税金及附加,外资批发业企业主营业务税金及附加,外商投资股份有限公司批发业企业主营业务税金及附加,其他外商投资批发业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2540.4,2376.9,1523.1,2.0,0.3,,,,,,567.8,180.8,387.0,51.2,230.5,2.0,0.2,221.3,7.0,2.0,48.3,5.1,0.2,41.5,1.1,0.3,115.3,22.7,0.1,89.7,1.2,1.6
2017,2453.3889,2298.066,1474.769,2.3871,0.3971,0.0702,,,,,564.8354,185.261,379.5742,61.2953,189.2433,2.4113,0.2996,178.4526,8.0793,5.0687,46.5144,8.3051,0.2401,37.0021,0.395,0.5725,108.809,20.8092,0.0738,85.9868,1.0233,0.9163
2016,2450.4338,2293.1768,1393.0871,5.2203,0.3676,0.07,,,,,589.3489,177.5413,411.8072,49.0592,243.2863,6.9949,0.4936,224.7316,11.0666,12.7382,38.0744,5.4307,0.2497,31.8062,0.2821,0.3065,119.1833,14.9191,0.0801,102.8536,0.5151,0.8156
2015,2127.1002,1959.0565,1148.4819,5.4699,0.4744,0.0947,0.0215,0.0262,0.034,0.013,482.1777,118.9245,363.2535,48.2554,265.2636,10.2624,0.9528,241.4998,12.5487,8.8401,40.9966,10.2931,0.2248,30.1256,0.2249,0.1284,127.0476,20.3963,0.1779,105.1696,0.6857,0.618
2014,1496.7186,1305.33521,637.56943,6.77107,0.70739,0.17033,0.01969,0.0444,0.07746,0.02878,345.93002,74.7135,271.21652,45.59579,259.31802,9.05432,0.80946,237.42528,12.02896,9.27316,31.49227,3.8365,0.2453,26.96883,0.41682,0.02482,159.89116,9.9799,2.27273,146.32851,0.6678,0.64222
2013,1489.8461,1300.34904,639.7628,5.99105,0.87896,0.26241,0.10461,0.0552,0.07605,,338.2494,56.91817,281.33123,51.04062,253.90292,7.83973,0.78287,229.81959,15.46073,10.26088,27.47986,2.03702,0.18388,24.50297,0.73774,,162.01718,10.23125,0.25407,150.57946,0.62816,0.32424
2012,1132.92498,1007.9401,611.94028,5.33048,2.42142,0.95167,0.58105,0.05205,0.11516,0.20341,181.00574,31.05908,149.94666,39.84143,155.59493,17.37315,1.5402,130.98429,5.69729,10.85415,19.30219,3.14479,0.13849,15.56122,0.42526,,105.68269,6.7763,0.27833,98.18971,0.36558,0.07277
2011,1024.9407,891.2723,539.1595,5.9472,2.0766,0.8699,0.4486,,0.1593,0.2325,170.6712,29.6942,140.977,45.2121,115.7238,14.7132,2.1436,92.3407,6.5262,11.6123,16.5714,3.0656,0.3706,12.8277,0.3015,,117.0969,6.5276,0.2441,110.0365,0.2845,
2010,788.7,768.3,448.8,9.6,1.5,2.1,1.8,0.1,0.1,0.2,142.9,24.7,118.2,38.1,121.6,17.5,2.2,96.0,5.8,3.7,4.1,0.5,0.3,3.2,0.2,,16.3,1.9,0.1,14.3,,
