年份,批发业企业商品出口额,内资企业批发业企业商品出口额,国有企业批发业企业商品出口额,集体企业批发业企业商品出口额,股份合作企业批发业企业商品出口额,联营企业批发业企业商品出口额,国有联营企业批发业企业商品出口额,集体联营企业批发业企业商品出口额,国有与集体联营企业批发业企业商品出口额,其他联营企业批发业企业商品出口额,有限责任公司批发业企业商品出口额,国有独资公司批发业企业商品出口额,其他有限责任公司批发业企业商品出口额,股份有限公司批发业企业商品出口额,私营企业批发业企业商品出口额,私营独资企业批发业企业商品出口额,私营合伙企业批发业企业商品出口额,私营有限责任公司批发业企业商品出口额,私营股份有限公司批发业企业商品出口额,其他企业批发业企业商品出口额,港澳台商投资企业批发业企业商品出口额,港澳台商合资经营企业批发业企业商品出口额,港澳台商合作经营企业批发业企业商品出口额,港澳台商独资经营企业批发业企业商品出口额,港澳台商投资股份有限公司批发业企业商品出口额,其他港澳台商投资企业批发业企业商品出口额,外商投资企业批发业企业商品出口额,中外合资经营企业批发业企业商品出口额,中外合作经营企业批发业企业商品出口额,外资企业批发业企业商品出口额,外商投资股份有限公司批发业企业商品出口额,其他外商投资企业批发业企业商品出口额
2019,27346.3435,21176.5913,128.6262,10.3544,6.5568,1.0437,,,1.0437,,8413.8807,1221.7516,7192.1288,1437.2738,11178.0973,2.0893,,10962.1638,213.844,0.7587,801.7257,154.2573,1.11,642.5875,2.2763,1.4944,5368.0268,570.5989,9.7439,4667.3351,19.165,101.184
2018,26158.0,20432.5,235.3,12.8,0.4,0.8,,,,,9402.3,1039.5,8362.8,1594.7,9185.0,1.8,,8984.6,198.5,1.2,612.8,38.1,0.1,567.2,5.0,2.4,5112.7,671.3,4.2,4424.9,8.3,4.0
2017,23544.6,19429.087,518.805,12.147,1.276,0.974,,,0.974,,8224.688,893.948,7330.74,2079.171,8590.862,1.501,,8442.331,147.03,1.164,675.737,30.443,10.633,623.1,5.1,6.462,3439.776,188.284,,3161.139,5.115,85.209
2016,21808.8,18160.6803,714.5949,45.4954,5.2039,0.8099,,,0.8099,,8222.3018,907.5548,7314.7472,1615.6254,7555.8308,1.3483,,7416.0547,138.4281,0.8184,657.4361,48.0444,1.8793,597.6661,2.9959,6.8506,2990.7034,596.4881,,2274.1953,6.6924,113.3279
2015,22631.4,18978.9595,935.3459,46.1964,9.6793,0.6772,,,0.6772,,8659.0728,820.9318,7838.141,1990.0127,7321.1484,6.5179,1.5798,7203.9649,109.0859,16.8275,762.9645,46.1545,12.5834,694.3734,5.5889,4.2648,2889.4503,744.5004,0.3793,2137.1556,7.0243,0.3911
2014,22909.4,19488.36447,977.30507,39.24768,9.4841,1.03715,,0.31394,0.72321,,8777.68699,903.02833,7874.65866,2443.40516,7223.70408,5.88909,5.84241,7043.85388,168.1187,16.49424,1507.11724,118.33862,12.26621,1375.04628,1.46613,,1913.91518,248.24937,0.51578,1661.32112,3.07675,0.75216
2013,22402.8,19058.24687,1368.57425,101.8166,3.8911,3.59991,2.80851,0.41776,0.37364,,8571.28711,770.01592,7801.27119,2165.63602,6825.44971,11.16911,4.64903,6626.16492,183.46665,17.99217,1156.64973,53.78238,1.55493,1100.20295,1.10947,,2187.89517,198.99001,0.41413,1984.15539,4.33564,
2012,19939.8,17049.01347,2876.83183,99.60739,18.0139,35.49567,23.39079,5.13722,4.25589,2.71177,6613.54888,544.54115,6069.00773,1520.73042,5768.98594,137.41414,48.05896,5439.26903,144.24381,115.79944,924.07447,44.88374,0.78979,876.62717,1.77377,,1966.75028,191.61104,0.06883,1739.86163,34.12409,1.08469
2011,17740.9164,15155.0888,2216.5893,122.6745,30.8877,45.7383,16.6371,7.0484,7.367,14.6858,6009.5006,494.5503,5514.9504,1373.3195,5238.8943,117.2463,49.7037,4886.6279,185.3164,117.4845,720.8942,31.1142,1.4861,686.6089,1.685,,1864.9334,304.2428,0.4492,1530.3485,29.8691,
2010,14380.3,12470.39623,1918.90442,181.09033,13.15121,50.3531,25.66383,4.84352,10.13177,9.71398,4890.80512,379.33444,4511.47068,1172.01122,4207.85708,106.35846,50.75249,3898.9116,151.83453,36.22375,408.34785,29.48746,,376.83978,2.02061,,1501.5633,195.19711,1.04431,1300.34114,4.98074,
2009,11152.0,9978.32329,1654.0632,145.21931,21.29115,44.82048,18.95818,3.38716,10.13623,12.33891,3893.17589,343.25241,3549.92348,977.09435,3195.46551,102.53828,48.29447,2917.11492,127.51784,47.1934,150.42263,20.58646,0.59518,129.10584,0.13515,,1023.23605,129.39155,0.70681,887.23064,5.90705,
2008,13819.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,11100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
