年份,批发业企业商品购进额,内资企业批发业企业商品购进额,国有企业批发业企业商品购进额,集体企业批发业企业商品购进额,股份合作企业批发业企业商品购进额,联营企业批发业企业商品购进额,国有联营企业批发业企业商品购进额,集体联营企业批发业企业商品购进额,国有与集体联营企业批发业企业商品购进额,其他联营企业批发业企业商品购进额,有限责任公司批发业企业商品购进额,国有独资公司批发业企业商品购进额,其他有限责任公司批发业企业商品购进额,股份有限公司批发业企业商品购进额,私营企业批发业企业商品购进额,私营独资企业批发业企业商品购进额,私营合伙企业批发业企业商品购进额,私营有限责任公司批发业企业商品购进额,私营股份有限公司批发业企业商品购进额,其他企业批发业企业商品购进额,港澳台商投资企业批发业企业商品购进额,港澳台商合资经营企业批发业企业商品购进额,港澳台商合作经营企业批发业企业商品购进额,港澳台商独资经营企业批发业企业商品购进额,港澳台商投资股份有限公司批发业企业商品购进额,其他港澳台商投资企业批发业企业商品购进额,外商投资企业批发业企业商品购进额,中外合资经营企业批发业企业商品购进额,中外合作经营企业批发业企业商品购进额,外资企业批发业企业商品购进额,外商投资股份有限公司批发业企业商品购进额,其他外商投资企业批发业企业商品购进额
2019,601908.7621,517880.9006,13193.4525,590.8608,284.3725,16.8767,2.5911,11.6806,2.1253,0.4796,253642.9769,44773.7844,208869.1926,44823.1953,204948.5155,389.7404,81.7644,200911.8751,3565.1356,380.6512,26900.2409,4623.8178,221.3348,21650.8714,229.707,174.5101,57127.6209,20322.3819,45.0958,34661.7801,1280.9939,817.3687
2018,516111.6,441009.4,13224.9,617.0,324.3,25.3,3.0,16.5,,,221488.8,37165.7,184323.1,46979.7,158046.0,330.0,38.9,154123.9,3553.2,303.4,23225.0,3944.0,216.3,18499.9,353.6,211.2,51877.2,16270.5,41.5,31149.2,408.7,4007.3
2017,468165.4,403011.064,16955.365,750.712,244.696,27.682,4.406,5.35,16.706,1.221,211113.839,41716.415,169397.424,41290.509,131956.061,375.705,29.681,128497.377,3053.297,672.201,21967.389,3949.346,115.886,17501.724,138.222,262.211,43186.937,14354.128,44.012,27734.724,384.478,669.596
2016,397418.9,342363.8542,17982.3768,1038.5704,209.0747,33.8747,5.2448,6.4242,19.843,2.3627,179935.2923,34274.0707,145661.2218,35333.723,107050.6191,509.0339,64.758,103723.9626,2752.865,780.3234,18877.4281,3824.3277,177.7114,14265.6179,494.0966,115.6746,36177.651,11343.7072,37.8607,23993.765,327.4491,474.8687
2015,369538.9,320686.6314,23845.0814,1158.5362,316.2561,64.4008,8.5622,7.3307,36.5735,11.9345,162677.0541,31909.3982,130767.6557,37747.301,94090.2564,672.2883,124.7215,90911.3422,2381.9045,787.7466,16676.3519,3750.1963,168.9157,12245.1481,465.165,46.927,32175.9582,10414.4773,59.5386,21059.0035,311.6728,331.2666
2014,397152.2,347829.2454,27060.75783,1257.40645,293.30708,49.58641,8.23596,7.2907,27.85909,6.20066,175627.43397,38857.64062,136769.79335,42369.42509,100441.79967,608.93885,99.54056,97064.16172,2669.15854,729.5289,14983.97255,3713.21468,147.72631,10734.84589,384.694,3.49167,34338.93563,9697.32641,651.90152,23255.74346,349.11641,384.84783
2013,365250.5,325668.63035,36601.01736,1287.62331,447.13309,225.36453,156.80917,17.88412,42.86353,7.80771,156197.72313,30973.53275,125224.19038,39575.28591,90154.03146,642.43626,131.66932,86632.41593,2747.50995,1180.45156,11183.69242,1592.78585,113.67593,9223.42825,245.77591,8.02648,28398.13372,7017.92046,757.14513,19917.58961,388.43874,317.03978
2012,304286.9,270892.02116,61357.3804,1884.99202,782.74414,742.13802,385.89498,39.07038,213.08983,104.08283,100792.71261,11658.98635,89133.72626,33016.63317,68604.73253,2654.48664,858.69809,63000.51237,2091.03543,3710.68827,8909.20879,1527.46879,103.2123,7107.14755,163.13125,8.2489,24485.63862,6068.42336,813.11881,17280.8617,304.48343,18.75132
2011,266077.1635,234632.1332,52367.0734,1955.3043,809.3914,528.0586,217.2652,30.8628,179.4601,100.4705,81473.4498,9864.1586,71609.2911,31969.6805,62902.1692,2251.1012,781.5785,57626.9144,2242.5751,2627.006,8195.5476,1476.0132,109.2452,6458.5714,145.1774,6.5404,23249.4828,5776.8364,1027.1578,16355.8404,86.2126,3.4356
2010,199150.1,178106.1,39983.2,2084.2,775.5,552.5,289.3,22.9,115.8,124.4,58173.0,8415.7,49757.3,25228.0,50472.3,1942.3,583.3,46184.0,1762.7,837.3,4729.6,1133.4,63.6,3348.0,184.5,,16314.4,4686.7,844.2,10738.6,44.9,
2009,143008.7,129270.48299,29272.88249,2589.5419,539.82722,413.15351,201.41177,15.44462,129.1954,67.10172,39873.06751,5166.91396,34706.15355,20305.03831,35631.1747,1510.7825,380.48943,32463.59089,1276.31188,645.79735,3388.21364,906.60047,47.68144,2258.26142,175.67031,,10350.00078,2973.04237,33.62371,7287.27851,56.05619,
2008,152557.5,137798.8116,28715.1257,2424.1952,622.5645,613.512,406.7937,44.5089,81.6895,80.52,42412.4021,7526.798,34885.6041,20935.9648,41389.9067,1874.1655,596.5659,37150.0827,1769.0926,685.1406,3395.7889,817.741,119.7356,2325.2793,133.033,,11362.8596,2578.1328,863.8892,7819.177,101.6606,
2007,104832.5,96313.46556,23977.32808,1612.44519,443.68386,553.33596,304.00521,21.16619,122.25152,105.91304,28478.69108,4133.02307,24345.66801,17680.53298,23259.78792,520.26326,120.45604,21597.68595,1021.38267,307.66049,1400.41736,299.85985,81.38482,983.04293,36.12976,,7118.58426,1946.9003,32.33217,4742.26226,397.08953,
2006,83379.9,77736.76595,22215.42597,1553.99158,539.30584,475.03492,280.47517,22.70134,71.70523,100.15318,21114.86744,1880.40077,19234.46667,15245.86261,16390.64157,191.70964,99.38068,15400.94637,698.60488,201.63602,989.85815,265.05074,49.60242,645.38174,29.82325,,4653.23199,1039.66588,36.4497,3448.91714,128.19927,
2005,71650.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,36696.3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,30010.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,27044.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,24979.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
