年份,农、林、牧产品批发所有者权益合计,食品、饮料及烟草制品批发所有者权益合计,米、面制品及食用油批发所有者权益合计,烟草制品批发所有者权益合计,纺织、服装及日用品批发所有者权益合计,服装批发所有者权益合计,文化、体育用品及器材批发所有者权益合计,医药及医疗器材批发所有者权益合计,矿产品、建材及化工产品批发所有者权益合计,煤炭及制品批发所有者权益合计,石油及制品批发所有者权益合计,金属及金属矿批发所有者权益合计,建材批发所有者权益合计,化肥批发所有者权益合计,机械设备、五金交电及电子产品批发所有者权益合计,汽车、摩托车及零配件批发所有者权益合计,日用家电批发所有者权益合计,计算机、软件及辅助设备批发所有者权益合计,贸易经纪与代理所有者权益合计,其他批发所有者权益合计
2019,3056.3856,11429.924,901.0742,5635.0083,7329.3128,1920.2319,2579.7355,5916.2301,34574.7324,6312.5146,7058.3803,11481.0288,3271.6438,777.4631,12644.159,3399.8038,1247.7832,721.6718,1130.6446,1247.855
2018,2733.0,10607.3,853.2,5579.1,5942.8,1925.2,2089.2,4849.0,28353.9,4296.0,6701.8,9445.6,2672.1,654.9,10751.5,3058.3,813.6,594.8,867.9,1280.2
2017,2615.774,10325.67,745.797,5275.489,5039.277,1722.312,1988.814,4123.55,24942.488,4133.02,5989.549,7649.83,2095.739,634.539,9395.324,2128.28,975.385,558.338,1009.083,1009.821
2016,2514.6492,9669.2667,680.1211,5009.1606,4760.8522,1709.8415,1726.4537,3221.8444,24159.3793,3599.9223,5317.9438,6999.3726,2079.6822,768.6995,8508.875,1856.7492,902.6218,524.4212,723.4205,969.3019
2015,2048.864,9591.1313,571.1849,5075.8578,4454.4525,1747.4171,1518.947,2576.5473,19892.7133,3352.2358,4914.0765,6209.4892,1645.1575,736.4235,7489.4695,1746.3289,788.8522,412.1334,666.6143,952.5954
2014,1852.52779,7944.06833,510.00759,5022.11735,3979.85375,1321.51547,1289.68077,2130.1109,20461.06648,3678.95189,4799.42223,6314.10422,1606.95978,1172.82419,6921.17464,1653.85642,885.45432,480.47762,679.42026,959.58646
2013,1625.68398,7356.93776,449.03422,4567.23721,3721.90096,1245.327,1107.99842,1682.52791,17973.10477,3444.45804,4658.04425,5556.1251,1336.39138,580.31411,5959.76782,1449.07403,912.7777,378.87009,642.88941,909.26086
2012,1192.8243,6224.70791,355.54398,4105.05145,2676.55311,878.30719,950.58212,1337.24782,14848.11261,3115.92791,3717.97334,4777.46637,1028.87467,528.58562,5111.01787,1199.69589,542.28823,344.80951,578.85288,769.0404
2011,1032.0802,4985.3573,294.153,3619.0505,1903.7311,766.5252,648.5748,1170.8745,12692.797,2325.3447,3610.6468,4291.9403,761.5803,365.3412,4940.2723,1329.5268,497.4813,375.0753,596.5607,684.4547
2010,938.5,4313.0,236.1,3147.7,1482.8,578.4,521.1,999.7,10242.6,1762.4,3247.3,3304.3,567.9,296.1,3910.2,905.3,400.6,236.5,596.1,496.6
2009,931.35778,3556.7998,187.7406,2744.31824,1280.03364,432.685,416.49388,791.26842,8566.53652,1513.05603,2742.03986,2596.98801,556.5115,333.13504,2957.54013,680.17589,322.34809,178.05363,507.70695,438.04577
2008,825.7442,3327.2688,180.1047,2500.12,1116.9928,427.1868,412.728,564.6439,8258.5607,1374.4874,2546.0571,2768.4526,461.1785,269.2529,2582.9382,633.116,233.6238,159.8845,423.1579,437.7669
2007,589.95873,2602.00921,108.11363,2118.21784,728.42358,272.93107,264.70602,365.64324,4562.84096,399.71256,1574.61467,1607.50644,304.69885,191.04258,1479.17649,280.41691,181.58923,105.13351,212.14904,434.45318
2006,534.0202,2206.7032,154.6314,1718.6677,668.3596,293.7368,242.9616,314.1458,3503.8336,304.2641,1339.5425,1118.3386,202.4906,133.7515,1254.8929,231.4505,152.7802,89.0701,216.6248,327.3498
2005,185.95897,1878.17973,117.957,1463.93363,543.4406,199.38425,201.6275,272.81192,3305.24004,292.58343,1252.55315,1082.17784,178.54924,107.89104,1117.90289,216.91783,124.08038,88.3809,62.15966,339.57979
2004,,,,,,,,,,,,,,,,,,,,
2003,80.0996,1188.48502,98.59917,866.12745,388.42826,167.40602,149.09594,209.12071,1636.23139,112.04234,804.36059,451.49906,69.62888,65.16073,539.1882,139.71439,28.052,41.34838,82.59399,102.11336
2002,,1037.0091,100.2551,693.1262,,,,189.9382,,98.4835,600.52,,43.6288,,,125.27,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
