年份,批发业固定资产合计,内资企业批发业固定资产合计,国有企业批发业固定资产合计,集体企业批发业固定资产合计,股份合作企业批发业固定资产合计,联营企业批发业固定资产合计,国有联营企业批发业固定资产合计,集体联营企业批发业固定资产合计,国有与集体联营企业批发业固定资产合计,其他联营企业批发业固定资产合计,有限责任公司批发业固定资产合计,国有独资公司批发业固定资产合计,其他有限责任公司批发业固定资产合计,股份有限公司批发业固定资产合计,私营企业批发业固定资产合计,私营独资企业批发业固定资产合计,私营合伙企业批发业固定资产合计,私营有限责任公司批发业固定资产合计,私营股份有限公司批发业固定资产合计,其他企业批发业固定资产合计,港澳台商投资企业批发业固定资产合计,港澳台商合资经营企业批发业固定资产合计,港澳台商合作经营企业批发业固定资产合计,港澳台商独资经营企业批发业固定资产合计,港澳台商投资股份有限公司批发业固定资产合计,其他港澳台商投资企业批发业固定资产合计,外商投资企业批发业固定资产合计,中外合资经营企业批发业固定资产合计,中外合作经营企业批发业固定资产合计,外资企业批发业固定资产合计,外商投资股份有限公司批发业固定资产合计,其他外商投资企业批发业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,8381.5,7534.3,686.0,27.0,3.9,1.5,0.1,1.4,,,3327.7,909.6,2418.1,1190.4,2277.1,9.4,0.8,2156.2,110.7,20.6,327.2,59.3,0.9,250.1,11.1,5.8,520.0,107.5,0.9,327.3,25.7,58.6
2017,9165.4201,8357.513,877.178,37.585,6.77,1.124,0.156,0.957,,,3729.95,1099.854,2630.096,1373.726,2293.916,25.376,0.935,2166.512,101.094,37.266,352.565,58.103,4.557,266.805,15.963,7.138,455.341,98.255,1.644,336.457,11.929,7.057
2016,8672.376,7947.6331,842.3604,50.5013,7.3531,1.8476,0.3602,1.3861,,0.0924,3412.9621,932.8065,2480.1559,1342.1987,2234.2196,29.624,1.4365,2102.3581,100.8014,56.1912,352.6,46.9934,5.3598,286.7235,10.2205,3.3029,372.1433,75.0311,1.0825,280.0706,10.5383,5.4207
2015,8322.0516,7624.6164,1036.8442,51.2982,7.569,3.0451,0.3937,1.3875,0.4002,0.8637,3036.3753,713.1909,2323.1844,1392.3296,2036.3261,44.4088,2.51,1903.9719,85.4353,60.8308,317.024,50.8457,2.7689,255.4086,7.1743,0.8265,380.4111,92.8719,1.7585,266.1718,13.4303,6.1792
2014,8552.5156,7944.91964,1135.51504,55.60013,11.63576,9.99223,0.88429,1.39741,7.04527,0.66526,2869.6649,652.67409,2216.99081,1359.02856,2440.91258,37.34257,2.24004,2313.49813,87.83184,62.57044,256.89432,42.17438,2.95824,201.7206,9.27395,0.76715,350.70166,64.33386,1.85488,266.52112,14.83971,3.15209
2013,7880.6134,7336.83019,1243.14157,59.07119,12.38425,4.45475,1.61117,1.269,0.5919,0.98268,2548.29049,519.81521,2028.47528,1275.03041,2112.55434,42.7581,2.86323,1980.87664,86.05637,81.90319,215.76665,36.33357,2.19907,169.691,7.5086,,328.01656,61.11195,1.81584,249.03837,13.08124,2.96916
2012,6212.32473,5755.20397,1528.58099,71.88971,19.36999,14.45522,6.25756,1.16395,4.0499,2.98381,1428.89164,228.86239,1200.02925,941.14381,1639.67383,106.47007,9.20289,1459.79964,64.20123,111.19878,156.15824,27.93395,0.64434,120.67764,6.83224,0.07007,300.96252,47.51647,3.23052,236.90824,12.87255,0.43474
2011,5406.1343,5020.3538,1437.1149,86.643,23.9822,9.1419,3.7585,0.8821,2.4331,2.0682,1316.3492,198.0645,1118.2847,918.6646,1143.0706,75.4153,11.0868,994.1307,62.4378,85.3875,117.1116,23.7495,0.7401,88.0202,4.6016,,268.6688,57.4331,1.9909,194.4056,14.8292,
2010,4849.2,4565.71614,1518.9598,104.58905,20.0673,9.12997,3.79741,0.27887,1.61507,3.43862,1092.8807,177.9394,914.9413,814.95628,973.8115,86.54603,12.10275,814.46943,60.69329,31.32154,90.23049,28.13218,1.97058,55.08249,5.04524,,193.28083,47.90623,1.33016,143.31461,0.72983,
2009,4291.1,4035.33661,1379.27438,107.07264,21.76401,7.4482,3.6127,0.12585,1.48374,2.22591,898.19331,145.98275,752.21056,827.88039,772.36119,67.23812,7.96119,647.58019,49.58169,21.34249,63.35228,18.50378,1.82065,31.67525,11.3526,,192.39269,47.14222,3.43732,129.7843,12.02885,
2008,5832.2,5428.5693,1836.3329,123.6811,39.6437,21.6138,17.5908,0.3399,2.191,1.492,1162.0955,176.2271,985.8684,1092.3758,1121.8179,93.2428,23.5214,950.3113,54.7424,31.0087,103.4609,36.2422,0.5122,56.5263,10.1803,,300.1546,63.9711,6.5903,213.4786,16.1146,
2007,4504.07645,4290.96095,1615.77163,101.1015,27.8068,25.03827,17.37113,0.69454,2.60036,4.37224,979.56715,222.17353,757.39362,969.0053,549.25759,76.40345,4.77301,450.79988,17.28125,23.41271,34.9494,16.52541,0.87209,14.96991,2.58199,,178.1661,63.63621,3.53456,107.83756,3.15777,
2006,4013.2256,3862.949,1491.4197,110.0088,23.967,22.5878,16.5674,0.9757,2.3701,2.6747,825.623,147.0887,678.5343,991.1721,385.0223,10.4189,2.1286,351.3719,21.1029,13.1483,22.4341,8.0598,0.8394,10.9575,2.5774,,127.8425,39.5687,3.5681,83.1143,1.5914,
2005,2658.5,2580.43107,969.06903,86.68334,20.1745,13.51397,10.40902,0.39515,0.9599,1.7499,554.25277,117.19206,437.06061,680.44642,252.75836,8.15246,1.68105,233.46651,9.45844,3.53268,8.5441,2.13344,0.23601,4.96216,1.21249,,69.53785,24.02955,1.18462,42.75791,1.56577,
2004,2639.0,3457.24571,1390.55151,132.2934,29.25876,26.85129,17.54314,2.59421,2.83966,3.87428,743.61355,184.35334,559.26021,843.01779,289.78215,11.67589,1.94317,264.28444,11.87865,1.87726,19.03997,6.98921,0.78697,8.79401,2.46978,0.0,157.37868,74.66402,3.90882,69.56436,9.24148,0.0
2003,2385.79184,2341.88014,1167.39454,105.1269,19.00542,10.23388,4.85809,0.37721,2.01338,2.9852,414.22725,101.32145,312.9058,542.87258,82.28765,4.26566,0.72338,73.16272,4.13589,0.73192,16.46394,8.10435,2.06064,3.16445,3.1345,,27.44776,12.75443,0.55884,14.13119,,
2002,2397.9911,2363.0692,1351.1305,129.3131,26.0278,17.057,9.0022,0.3928,4.0309,3.6355,376.6511,110.2905,266.3605,411.9741,50.4919,1.7214,0.5252,44.6673,3.5779,0.4238,11.1479,4.1591,0.2692,3.3921,3.3275,,23.774,15.628,0.6977,7.3748,0.0736,
2001,2279.2036,2256.2,1376.6432,166.0705,28.5909,18.7282,10.0749,0.4294,5.7376,2.4863,285.2123,83.7227,201.4896,352.6607,27.8754,1.0457,0.5279,24.5943,1.7075,0.4655,6.2157,2.29,0.6028,1.3848,1.9382,,16.7413,14.6952,0.8706,0.9245,0.251,
2000,2303.2712,2281.7284,1556.5236,197.8423,25.6949,21.2365,9.815,2.6956,7.2018,1.5242,254.4136,75.9924,178.4212,212.2414,13.6094,1.0978,0.4586,11.1255,0.9275,0.1667,5.7471,4.6607,0.4864,0.6,,,15.7957,12.8843,0.03,0.9507,1.9338,
