年份,综合零售主营业务收入,百货零售主营业务收入,超级市场零售主营业务收入,食品、饮料及烟草制品专门零售主营业务收入,纺织、服装及日用品专门零售主营业务收入,服装零售主营业务收入,文化、体育用品及器材专门零售主营业务收入,体育用品零售主营业务收入,图书零售主营业务收入,医药及医疗器材专门零售主营业务收入,西药零售主营业务收入,汽车、摩托车、燃料及零配件专门零售主营业务收入,汽车新车零售主营业务收入,机动车燃料零售主营业务收入,家用电器及电子产品专门零售主营业务收入,日用家电零售主营业务收入,计算机、软件及辅助设备零售主营业务收入,通信设备零售主营业务收入,五金、家具及室内装修材料专门零售主营业务收入,无店铺及其他零售主营业务收入,邮购及电子销售主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,
2018,19567.9936,10238.2918,8528.3899,3579.1666,5310.6897,3214.4147,2982.8074,246.2237,1174.6218,4281.084,3825.74,51052.6205,35274.9082,14211.1728,8503.5893,3440.4168,2210.9607,1158.187,2400.7646,10635.1522,9541.9893
2017,20295.935,10526.903,8779.513,3820.982,5075.975,3119.006,3056.382,241.227,1073.238,4979.786,4728.771,49941.78,36976.135,11963.521,8818.175,3459.514,2286.867,1052.949,2933.026,8093.796,6658.925
2016,22648.5346,11946.4312,9474.6759,3892.3059,5014.1414,3077.7779,3081.3382,185.8105,1088.9362,6291.7515,5992.9862,50123.6624,37175.6897,11901.3633,9064.7259,3537.3227,2145.4176,1116.3374,3524.0752,6787.5655,5199.1785
2015,22393.8489,12033.3169,9166.2582,3432.2069,4502.1837,2669.5497,2799.0036,161.5259,1009.126,5304.5971,5025.1837,44516.9972,32188.841,11348.7712,8817.1821,3169.2075,2020.8217,1688.5249,3103.3703,4583.2161,2903.296
2014,21687.96214,11732.28129,8826.044,3085.44724,4055.57735,2449.19577,3054.49935,136.27753,977.76735,4927.19563,4555.90897,45124.59141,31130.96012,13038.76832,7866.09145,3115.78201,2237.50922,807.4461,2744.47013,4342.72341,2528.33599
2013,20603.5197,11209.69399,8357.99088,2528.56162,3624.82885,2329.04468,2712.03695,179.37416,864.98311,4188.68018,3878.09549,40036.00509,27220.48704,11960.81488,6877.38334,2928.31173,1758.78878,738.03385,2511.9186,3141.85723,1381.01234
2012,18283.69331,9923.97189,7506.11567,2209.83541,2945.45032,1923.15805,1879.18038,133.61071,754.4229,3344.64252,3115.06665,33977.4038,22746.76311,10517.43945,5838.38871,2910.99055,1403.52201,652.81274,1731.62697,2508.12687,963.2
2011,16383.3582,8897.3589,6637.8339,1707.0112,2294.7657,1488.9266,1459.7655,84.2402,587.4558,2517.1654,2365.4085,30253.1317,19864.3053,9741.758,5332.7771,3672.8942,1061.6898,472.1478,1466.5252,1624.4124,471.5653
2010,14037.6,7379.8,5977.1,981.7,1753.3,1172.3,1177.2,69.1,537.4,2041.7,1941.4,24755.2,17004.4,7247.0,4166.7,2955.0,759.0,350.5,1129.8,1072.3,284.8
2009,11337.06178,5898.47574,4956.39233,679.48034,1415.95265,876.55944,982.38523,57.69741,466.67648,1544.57261,1467.67685,17971.84557,12021.41305,5548.2119,3247.67002,2220.15955,624.69762,318.47533,760.90128,660.13066,129.95012
2008,10250.3918,5284.1918,4496.9543,585.2423,1181.8056,738.7098,852.5818,36.1217,415.252,1286.6942,1223.6684,14656.9278,8852.581,5493.9561,3204.1476,2165.2041,633.5443,335.7602,576.4642,591.9276,75.9948
2007,8390.31032,4293.85347,3760.05342,416.72742,579.42807,386.11623,626.47971,53.61683,331.26883,844.26073,791.08033,8862.05278,6172.788,2482.54252,2508.53306,1690.80537,494.57972,252.79429,393.04187,330.46855,21.88159
2006,7019.5024,3565.1444,3185.3003,340.2412,397.0027,253.7956,533.6811,29.7678,329.1575,718.7289,654.9875,7001.5142,4622.7806,2193.7705,2086.4108,1395.3589,385.2088,246.754,278.1584,295.5757,26.0948
2005,5788.3,2889.54389,2692.51624,266.91978,333.03887,205.06732,485.56045,14.84857,319.32409,665.57699,613.79816,5463.74884,3539.73159,1781.45576,1742.53006,1162.30843,312.3603,215.45051,239.48963,205.69198,9.41984
2004,4861.96326,2503.08411,2167.69778,305.24997,334.62511,199.23365,427.45224,14.91567,300.16881,657.55552,591.15428,4490.41662,3098.21416,1221.83068,1572.91125,1040.63016,252.30704,227.14941,232.5714,203.27149,8.19278
2003,4102.79083,2399.95133,1571.68758,221.49592,184.58062,94.01541,324.75836,6.0004,227.18665,355.29208,337.31964,1838.8802,1302.54956,412.16874,928.3657,686.14613,140.89423,89.97994,154.64279,88.56256,4.5756
2002,,3140.6975,,389.2005,96.3269,,16.2501,,226.8613,342.431,,811.0361,,,,,139.5927,,,,
2001,,2806.1197,,394.4402,94.9913,,17.9727,,216.4035,263.1353,,359.6226,,,,,93.3607,,,,
2000,,2359.6483,,529.2554,93.4,,14.1949,,201.3649,197.9904,,208.4049,,,,,45.4059,,,,
