年份,综合零售商品出口额,百货零售商品出口额,超级市场零售商品出口额,食品、饮料及烟草制品专门零售商品出口额,纺织、服装及日用品专门零售商品出口额,服装零售商品出口额,文化、体育用品及器材专门零售商品出口额,体育用品零售商品出口额,图书零售商品出口额,医药及医疗器材专门零售商品出口额,西药零售商品出口额,汽车、摩托车、燃料及零配件专门零售商品出口额,汽车新车零售商品出口额,机动车燃料零售商品出口额,家用电器及电子产品专门零售商品出口额,日用家电零售商品出口额,计算机、软件及辅助设备零售商品出口额,通信设备零售商品出口额,五金、家具及室内装修材料专门零售商品出口额,无店铺及其他零售商品出口额,邮购及电子出口商品出口额
2019,14.8417,1.8069,12.7903,5.5493,15.9141,6.4591,5.112,0.2111,1.5977,2.8514,2.2979,13.8951,11.6149,0.5792,2.2137,0.8367,0.229,0.5369,4.5587,24.858,9.5906
2018,6.4391,0.8503,5.5826,2.6996,11.2695,3.4649,3.7995,0.0558,1.7121,0.0843,,4.0908,3.3957,0.2793,27.8891,0.8496,8.3044,17.854,2.7211,21.6299,21.2024
2017,3.062,0.778,2.274,3.405,7.885,4.492,15.758,0.334,1.666,0.526,0.202,13.82,7.906,4.884,2.468,,0.318,0.106,10.351,15.224,8.616
2016,7.0136,4.4691,2.4274,2.422,11.2521,4.199,6.1279,0.4297,0.9778,1.0343,1.0223,8.7647,6.1016,1.486,8.8626,0.3984,0.3495,0.252,6.6083,63.7801,55.3233
2015,6.384,3.4632,2.4505,8.2478,8.8824,2.9396,4.9188,0.541,0.5696,0.7157,0.478,13.2082,10.805,0.7228,34.974,1.0504,0.0473,32.3849,6.4177,4.3466,2.3143
2014,4.79064,2.70352,1.69636,23.53315,8.45094,2.54694,5.74729,0.10423,0.83439,1.61702,1.1893,16.86212,14.59682,0.1895,2.71283,1.8653,0.01009,0.14201,6.0628,34.73899,29.58283
2013,3.78481,0.89718,2.54186,6.69356,7.056,2.2879,4.21019,0.19466,0.81915,0.97995,0.94709,19.97264,16.83045,0.18913,0.59196,0.06732,0.45497,,2.88119,3.63688,1.44826
2012,5.46985,4.08428,0.70427,5.58274,16.67196,10.25799,4.24405,0.27576,0.69931,0.27717,0.05659,17.53176,13.13547,1.00471,5.89405,1.83433,0.28065,0.64759,4.53652,4.78911,0.2
2011,7.3439,6.6548,,2.1039,10.0441,3.9195,3.965,0.7755,0.2046,0.0786,0.067,19.8107,17.0036,0.5552,3.3922,1.6497,1.1303,0.5334,2.7269,4.6449,
2010,6.58861,6.25453,,9.39269,3.43903,2.28969,2.41519,,0.24347,0.06195,,16.72543,16.0708,,0.93244,0.59395,0.2182,,1.87934,3.07929,0.33964
2009,4.7598,4.61732,,1.1299,1.25454,0.3966,1.7517,,0.20691,0.44058,0.30001,9.51161,8.29413,0.76051,1.82432,0.96547,0.46145,,1.22039,0.24532,0.0907
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
