年份,综合零售商品购进额,百货零售商品购进额,超级市场零售商品购进额,食品、饮料及烟草制品专门零售商品购进额,纺织、服装及日用品专门零售商品购进额,服装零售商品购进额,文化、体育用品及器材专门零售商品购进额,体育用品零售商品购进额,图书零售商品购进额,医药及医疗器材专门零售商品购进额,西药零售商品购进额,汽车、摩托车、燃料及零配件专门零售商品购进额,汽车新车零售商品购进额,机动车燃料零售商品购进额,家用电器及电子产品专门零售商品购进额,日用家电零售商品购进额,计算机、软件及辅助设备零售商品购进额,通信设备零售商品购进额,五金、家具及室内装修材料专门零售商品购进额,无店铺及其他零售商品购进额,邮购及电子销售商品购进额
2019,18528.433,8669.0104,8961.0535,3225.1061,4466.513,2586.2853,2725.1228,189.2632,1079.4806,3713.047,3255.3806,50367.9579,36935.8004,11696.0599,7850.9928,4056.5329,1092.3868,1175.7486,1903.6877,14815.694,13799.1019
2018,17939.1195,8915.4816,8285.6964,3095.5036,4025.6471,2323.912,2618.0781,185.3165,1070.715,4018.1866,3631.1607,48665.512,35802.1654,11369.1277,8464.1351,3418.5584,2237.0102,1105.7064,2047.8224,9565.8194,8645.1265
2017,19457.587,9656.061,8866.012,3345.67,4001.318,2446.767,2803.874,181.507,1013.709,4901.809,4685.737,50133.225,38518.132,10709.57,8894.057,3554.564,2360.532,1007.295,2765.221,7819.659,6529.609
2016,22193.6855,11302.1693,9717.8752,3523.28,4046.633,2468.6624,2933.5923,153.3333,1051.8806,6315.6257,6047.4221,49335.3393,37682.1786,10611.1433,10133.1898,4298.9086,2592.3413,1098.1766,3368.9104,7040.2438,5604.0744
2015,21842.4127,11530.0002,9162.991,3155.7797,3748.9353,2228.5859,2742.3915,128.9593,1040.4998,5421.9728,5173.5138,44988.0417,32990.7822,11037.6775,9104.193,3318.8931,2111.8725,1738.6365,2886.0742,4642.9223,3132.5351
2014,21327.54744,11324.26374,8905.68933,2858.88506,3464.94547,2111.96126,2960.82441,97.6217,974.31534,4942.08874,4610.70132,45768.04632,32608.20313,12146.36632,7927.83827,3179.67939,2172.31749,816.37276,2570.71711,4690.90356,3041.76786
2013,20366.50322,10671.1326,8680.54127,2354.56544,3074.93923,1984.40257,2689.15023,174.28997,878.17312,4238.51257,3954.86738,40588.23122,28968.5178,10794.41431,7173.96478,3049.83132,1862.48656,781.56671,2435.16884,3093.57863,1480.44813
2012,18510.63314,10034.48438,7619.83113,2180.81118,2683.53654,1804.78874,1930.31998,152.33198,805.40321,3532.14191,3314.93691,34736.9683,24249.19104,9761.53513,6190.91651,3068.63694,1524.13834,683.23259,1799.92562,2462.70822,925.9
2011,15973.5136,8393.9049,6715.6469,1651.2857,2094.8013,1389.4768,1554.0843,76.95,738.8807,2558.0924,2419.0955,29859.2089,20538.6948,8674.945,5496.1395,3747.418,1138.0317,473.3956,1396.0943,1499.8739,489.3141
2010,13133.5,6706.1,5673.1,870.5,1493.7,1023.7,1138.3,67.5,588.8,2281.1,2186.7,23648.2,17245.0,5911.7,4258.9,3067.8,757.2,335.7,1049.7,1017.0,281.5
2009,10673.62993,5430.51327,4786.50836,611.59337,1162.23792,744.94161,1011.45814,47.98896,523.69741,1573.47736,1499.57531,16611.78899,11895.94835,4326.17361,3269.18509,2247.06449,628.11476,308.86618,709.09186,571.76717,111.00488
2008,9534.3744,4908.6885,4182.8081,528.864,1058.4977,660.7818,904.9999,33.1747,475.1895,1302.6229,1244.8181,13820.2085,8839.3795,4680.1777,3276.6613,2214.3347,656.1974,339.9132,526.7939,528.8591,68.4559
2007,8718.91477,4199.10316,4142.53997,468.00457,584.99024,368.10387,691.22506,49.03968,394.29179,841.87957,794.34202,9418.22147,6343.51197,2853.34368,2610.36994,1764.79092,507.17618,263.11279,403.01218,343.45483,16.80428
2006,7130.06609,3567.55301,3267.44499,372.3342,458.22014,281.17063,646.5317,30.29892,444.7032,732.84272,672.60981,7599.782,4767.53378,2658.18721,2228.39735,1498.39526,406.0578,262.75298,296.14017,294.8129,12.55527
2005,5959.66077,3008.91334,2614.93884,311.45202,350.98794,200.5091,518.39763,14.90751,378.23661,704.32229,655.08879,5755.72043,3521.38716,2084.39533,1833.42769,1252.35123,298.20591,229.80723,233.37771,212.94277,7.83205
2004,,,,,,,,,,,,,,,,,,,,,
2003,4211.69372,2544.38367,1517.21615,233.04203,218.25846,101.73852,386.1826,5.75171,281.73446,403.04529,385.50507,2014.12146,1401.45561,482.01042,976.2274,732.79756,139.02139,91.62155,159.65204,85.24863,1.0732
2002,,3262.35902,,391.42719,98.83939,,16.51384,,278.95692,424.93998,,859.66628,,,,,141.29453,,,,
2001,,2896.8696,,416.6455,103.3895,,16.1544,,249.4322,247.5459,,411.4142,,,,,101.7733,,,,
2000,,2515.5409,,607.8299,103.6002,,15.6654,,235.76,199.3922,,212.9944,,,,,47.965,,,,
