年份,综合零售商品进口额,百货零售商品进口额,超级市场零售商品进口额,食品、饮料及烟草制品专门零售商品进口额,纺织、服装及日用品专门零售商品进口额,服装零售商品进口额,文化、体育用品及器材专门零售商品进口额,体育用品零售商品进口额,图书零售商品进口额,医药及医疗器材专门零售商品进口额,西药零售商品进口额,汽车、摩托车、燃料及零配件专门零售商品进口额,汽车新车零售商品进口额,机动车燃料零售商品进口额,家用电器及电子产品专门零售商品进口额,日用家电零售商品进口额,计算机、软件及辅助设备零售商品进口额,通信设备零售商品进口额,五金、家具及室内装修材料专门零售商品进口额,无店铺及其他零售商品进口额,邮购及电子销售商品进口额
2019,356.6331,286.7278,62.6174,46.8437,272.118,211.9509,121.2961,0.8997,62.4844,28.1692,16.0182,2132.7577,2078.0656,22.4736,36.8095,16.3888,7.2832,1.0406,15.8938,163.0577,112.1119
2018,191.1505,164.8341,17.5019,47.7006,284.9182,178.1229,129.572,0.7163,55.2803,17.5822,10.4431,2056.9241,2023.7453,14.0345,48.3384,7.6731,26.9975,5.4088,31.0808,94.8846,79.253
2017,187.448,130.426,39.072,26.762,294.78,221.47,106.208,0.906,54.732,16.31,4.733,2206.622,2176.266,18.0,47.317,7.144,22.926,5.734,28.24,76.117,60.073
2016,151.1515,127.6185,11.7641,29.3025,255.3024,199.8187,52.644,0.5097,38.9821,19.1388,5.886,2587.0468,2557.6872,2.8862,29.8783,4.5587,0.5311,7.8111,14.7897,110.4624,84.3796
2015,133.7151,94.8009,23.2035,39.7262,226.5842,138.6569,47.082,0.6719,35.233,34.3913,17.1905,2134.375,2112.5401,10.5178,26.818,3.124,3.105,11.1218,11.7948,39.5503,16.9971
2014,180.47559,137.26068,25.47016,34.45035,148.96215,93.12416,51.45209,0.15267,31.33444,45.6832,17.0522,2579.98317,2558.02482,12.6241,24.87819,7.43069,2.91839,3.16494,16.17299,34.26036,4.01705
2013,95.93565,74.05523,17.80394,26.05149,158.30574,116.40528,82.75139,,29.20538,26.39733,1.58919,2098.09582,2085.70796,5.18183,17.6786,6.24134,2.05161,2.74276,9.24744,31.39837,2.32767
2012,142.10342,93.0859,46.969,11.62959,130.00629,91.07331,81.46526,,25.63858,27.26603,3.1854,1722.7256,1695.60504,10.16394,35.33115,4.9352,12.66309,9.75446,8.09327,77.38347,36.3
2011,119.6723,84.0582,31.9283,13.2346,91.1259,62.6164,78.2382,0.3718,13.6967,21.1193,3.0864,1427.9724,1392.4385,16.5457,41.5217,4.8536,4.2107,1.6911,10.5019,43.4602,0.3274
2010,52.94526,42.41115,7.77294,14.45746,59.58054,48.67234,32.23871,2.00846,11.4375,14.3299,0.56405,907.5282,892.84205,2.16448,21.15501,7.18964,3.60495,4.28576,10.3079,29.10667,1.93901
2009,26.96195,19.15156,5.37237,11.36677,50.3236,42.72673,22.04611,1.11807,4.42541,9.55514,1.37872,446.53108,441.23781,3.34291,8.78721,1.98569,2.87954,1.54793,4.12795,29.14055,0.61093
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
