年份,综合零售法人企业数,百货零售法人企业数,超级市场零售法人企业数,食品、饮料及烟草制品专门零售法人企业数,纺织、服装及日用品专门零售法人企业数,服装零售法人企业数,文化、体育用品及器材专门零售法人企业数,体育用品零售法人企业数,图书零售法人企业数,医药及医疗器材专门零售法人企业数,西药零售法人企业数,汽车、摩托车、燃料及零配件专门零售法人企业数,汽车新车零售法人企业数,机动车燃料零售法人企业数,家用电器及电子产品专门零售法人企业数,日用家电零售法人企业数,计算机、软件及辅助设备零售法人企业数,通信设备零售法人企业数,五金、家具及室内装修材料专门零售法人企业数,无店铺及其他零售法人企业数,邮购及电子销售法人企业数
2019,12490,5908,5215,9035,5337,2603,4478,220,1231,5227,4255,39931,28371,8535,11542,4491,2808,1563,5581,8848,6404
2018,12418,5910,5269,8728,5127,2497,4311,204,1180,4746,3791,38391,27755,7692,11074,4209,2800,1348,5688,7336,4872
2017,12998,6311,5335,9319,5443,2657,4475,204,1323,4958,4372,37496,27493,7732,11352,4120,2999,1309,6203,6938,4061
2016,13936,6851,5517,9359,5706,2818,4548,205,1366,5041,4365,35340,25632,7216,11501,4172,3031,1198,6538,6336,3162
2015,13306,6532,5281,8380,5565,2787,4246,176,1364,4593,3980,33189,23991,6699,11166,4132,2906,1130,6071,4742,1464
2014,12859,6232,5165,7524,5415,2761,4202,160,1469,4770,3827,31782,22802,6404,11249,4249,2945,1087,5855,3996,555
2013,12180,5838,4881,6657,5046,2592,3914,147,1439,4391,3573,28717,20345,5831,10609,4146,2824,946,5301,3551,253
2012,10726,4933,4482,4374,3779,1994,3155,117,1437,3762,3165,24396,17365,4815,9127,4012,2545,829,3660,2942,148
2011,10559,4759,4340,3226,3232,1741,2943,96,1487,3352,2881,21131,14479,4528,8189,4731,2312,752,3132,2707,106
2010,10418,4708,4139,2639,2932,1587,2887,83,1553,3039,2634,18255,12262,4083,7068,3882,2079,732,2712,2356,73
2009,9214,4077,3766,1858,2481,1362,2656,79,1528,2484,2186,14531,9712,3317,5536,2708,1800,668,1964,1891,58
2008,9198,3972,3761,1743,2487,1366,2627,83,1480,2411,2139,13791,9082,3287,5355,2470,1794,731,1921,1970,54
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
