年份,零售业法人企业单位数,内资零售业法人企业数,国有零售业法人企业数,集体零售业法人企业数,股份合作零售业法人企业数,联营零售业法人企业数,国有联营零售业法人企业数,集体联营零售业法人企业数,国有与集体联营零售业法人企业数,其他联营零售业法人企业数,有限责任公司零售业法人企业数,国有独资公司零售业法人企业数,其他有限责任公司零售业法人企业数,股份有限公司零售业法人企业数,私营零售业法人企业数,私营独资零售业法人企业数,私营合伙零售业法人企业数,私营有限责任公司零售业法人企业数,私营股份有限公司零售业法人企业数,其他零售业法人企业数,港澳台商投资零售业法人企业数,港澳台商合资经营零售业法人企业数,港澳台商合作经营零售业法人企业数,港澳台商独资经营零售业法人企业数,港澳台商投资股份有限公司零售业法人企业数,其他港澳台商投资零售业法人企业数,外商投资零售业法人企业数,中外合资经营零售业法人企业数,中外合作经营零售业法人企业数,外资零售业法人企业数,外商投资股份有限公司零售业法人企业数,其他外商投资零售业法人企业数
2019,102469,99894,738,832,262,84,17,20,24,23,25840,876,24964,1952,69850,5035,604,62940,1271,336,1458,275,32,1084,33,34,1117,271,17,709,60,60
2018,97819,95563,839,1002,248,88,16,24,24,24,26321,838,25483,2118,64537,4881,534,57845,1277,410,1328,265,27,963,41,32,928,221,15,586,44,62
2017,99182,96810,1119,1241,267,102,18,30,27,27,32572,797,31775,2337,58217,4875,473,51205,1664,955,1448,336,31,978,50,53,924,242,21,570,43,48
2016,98305,95909,1383,1707,294,128,19,48,33,28,33317,759,32558,2504,55494,5021,476,48259,1738,1082,1409,337,29,967,44,32,987,273,22,606,48,38
2015,91258,88977,1614,1826,320,140,24,49,35,32,30874,670,30204,2310,50733,5047,473,43569,1644,1160,1269,294,26,892,40,17,1012,289,28,619,49,27
2014,87652,85414,1826,1961,345,144,28,48,40,28,28841,667,28174,2385,48802,5037,488,41601,1676,1110,1193,278,25,845,36,9,1045,315,32,635,43,20
2013,80366,78329,1979,2048,357,165,36,56,42,31,25531,635,24896,2381,44705,5093,485,37442,1685,1163,1053,248,30,732,35,8,984,291,36,611,37,9
2012,65921,64086,2887,2180,589,239,72,58,55,54,19152,264,18888,1951,34411,6114,856,26139,1302,2677,915,225,34,616,29,11,920,296,41,542,30,11
2011,58471,56779,3010,2493,589,240,79,61,53,47,16210,236,15974,1991,30122,5870,874,22032,1346,2124,791,203,36,520,26,6,901,293,50,531,21,6
2010,52306,50820,3046,2820,545,235,75,59,51,50,13235,224,13011,1948,28201,6008,908,19828,1457,790,650,165,32,429,24,,836,280,45,479,32,
2009,42615,41313,2834,2547,503,209,74,48,52,35,10678,198,10480,1702,22301,4636,734,15795,1136,539,509,128,22,337,22,,793,277,47,436,33,
2008,41503,40362,2887,2535,563,273,88,51,96,38,10138,197,9941,1782,21641,4591,759,15261,1030,543,438,118,26,273,21,,703,259,46,360,38,
2007,26691,26028,2626,2180,531,193,62,44,46,41,6898,152,6746,1104,12238,1715,343,9507,673,258,241,100,24,112,5,,422,192,49,171,10,
2006,23663,23129,2642,2000,482,191,66,37,50,38,6224,151,6073,1086,10350,1029,270,8446,605,154,183,86,25,70,2,,351,174,53,114,10,
2005,20735,20346,2798,1799,487,145,57,32,26,30,5561,152,5409,1068,8377,641,199,7036,501,111,134,72,25,33,4,,255,146,50,55,4,
2004,21692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,12403,12149,3166,1632,412,114,48,10,30,26,2925,98,2827,968,2903,266,94,2344,199,29,107,58,21,27,1,,147,85,33,26,3,
2002,11343,11088,3586,1814,441,131,59,13,31,28,2264,107,2157,849,1987,182,53,1600,152,16,115,67,24,21,3,,140,76,43,19,2,
2001,10285,10075,3839,2041,449,139,60,17,40,22,1691,100,1591,742,1161,112,31,928,90,13,100,59,24,15,2,,110,65,35,10,,
2000,10174,9984,4616,2505,437,123,53,17,35,18,1059,73,986,651,588,61,23,454,50,5,101,55,27,16,3,,89,57,26,4,2,
