年份,综合零售流动资产合计,百货零售流动资产合计,超级市场零售流动资产合计,食品、饮料及烟草制品专门零售流动资产合计,纺织、服装及日用品专门零售流动资产合计,服装零售流动资产合计,文化、体育用品及器材专门零售流动资产合计,体育用品零售流动资产合计,图书零售流动资产合计,医药及医疗器材专门零售流动资产合计,西药零售流动资产合计,汽车、摩托车、燃料及零配件专门零售流动资产合计,汽车新车零售流动资产合计,机动车燃料零售流动资产合计,家用电器及电子产品专门零售流动资产合计,日用家电零售流动资产合计,计算机、软件及辅助设备零售流动资产合计,通信设备零售流动资产合计,五金、家具及室内装修材料专门零售流动资产合计,无店铺及其他零售流动资产合计,邮购及电子销售流动资产合计
2019,9857.1052,6074.1305,3366.736,1591.1908,3075.7598,1927.1171,2201.9025,100.4604,1052.2645,2116.0585,1805.4224,17631.5919,12134.589,4826.3367,3858.1692,2322.096,466.5188,425.5706,864.5214,3792.8118,3079.1119
2018,9110.8917,5634.4831,3134.2378,1684.6239,2704.9935,1771.2165,2090.1817,133.8237,964.9532,2367.8713,2127.4378,17364.6075,12267.4026,4522.9777,4170.4113,2385.3807,640.5375,463.8281,940.895,2848.8223,2329.4506
2017,8693.49,5426.822,3038.055,1488.194,2646.083,1760.181,1836.831,98.065,775.196,2701.271,2548.483,16661.479,12320.257,3924.897,3931.429,2220.416,632.061,374.877,980.21,2779.693,2172.039
2016,8802.8212,5408.4526,3166.9728,1227.3681,2334.3731,1536.4509,1735.6038,84.3684,801.8154,3100.0669,2921.8351,15960.9157,12047.3492,3514.1331,4273.411,2693.5944,494.232,352.8703,1070.7965,1996.0307,1290.2167
2015,8640.5641,5274.3478,3133.1759,1207.3678,2016.708,1271.6619,1604.3292,72.205,713.535,2691.7078,2541.6764,14503.1351,11115.2662,2958.8699,3039.2582,1569.9906,451.2263,405.0856,933.38,1240.3126,630.9923
2014,8645.98343,5197.79466,3232.91179,1320.38054,1831.37665,1144.54413,1552.01794,64.45165,644.27125,2461.83755,2234.68725,13077.72911,10998.4761,1795.44405,2874.82674,1525.04079,487.56851,272.37454,858.9044,1413.04469,666.35562
2013,8148.67996,4779.74448,3155.43855,860.47463,1649.61435,1072.80645,1323.99127,82.07251,562.86582,1973.10271,1800.41665,11113.03136,9365.73915,1497.02652,2638.13948,1433.28269,449.45219,240.41574,774.47264,1042.28825,390.99036
2012,7342.2095,4364.10666,2800.23232,816.49656,1305.85923,877.05978,1105.88955,75.89894,476.27315,1550.17379,1422.67301,9485.01033,7820.97408,1423.54359,2915.02752,1906.17994,375.98012,215.72149,552.97098,907.433,266.6
2011,6308.6511,3740.1487,2375.2996,541.149,1016.6076,715.506,824.722,53.7401,373.8644,1139.3466,1056.768,7744.0172,6485.0753,1058.9112,2181.1116,1643.0019,315.4075,174.4977,506.2895,540.8394,145.8488
2010,5269.9,2934.8,2154.6,334.8,693.8,483.9,635.1,36.1,336.8,884.9,832.0,5973.7,4939.4,880.2,1916.9,1496.0,258.7,122.0,372.5,401.5,111.6
2009,4083.31872,2284.61983,1681.19428,252.1752,608.31549,390.25777,550.11145,24.97944,308.07625,646.80016,611.29076,4562.77943,3585.48828,841.04407,1574.59214,1241.14695,191.05804,102.94117,289.40906,289.66726,61.01389
2008,3509.6599,1983.7669,1423.6126,213.3905,536.5213,371.1318,484.0653,15.6522,270.2484,521.1481,492.8092,3538.95,2774.7201,652.0984,1216.6369,937.2818,160.9731,94.1633,230.9386,237.2263,56.7544
2007,2844.08308,1605.45629,1106.17383,151.22406,258.78936,179.9836,336.6013,20.89748,184.82173,387.43954,356.53249,2360.9731,1999.45342,285.56939,922.11538,679.28065,139.74392,76.42644,165.07064,134.51332,21.48392
2006,2407.8238,1338.9442,937.2432,150.6956,187.6319,119.8601,296.6221,14.0623,187.416,321.7481,282.0131,1898.5173,1510.3211,326.6082,701.4147,493.7638,114.5883,68.8689,122.1106,107.967,12.6483
2005,1945.62831,1077.65215,792.64129,114.45212,151.34685,89.54539,260.03203,7.40763,169.85011,311.97399,281.03333,1469.41572,1160.42169,250.64416,656.00282,466.30574,104.5089,62.23599,112.42171,92.44426,3.81659
2004,1665.13558,966.40712,637.64726,132.38196,153.19083,91.15,235.92582,7.73898,159.06339,301.32974,249.14299,1230.82536,1057.90819,114.56079,561.66059,400.37141,80.54824,62.34875,126.34983,88.86542,7.31025
2003,1541.25605,971.16359,512.33372,123.91511,87.30715,41.68671,160.82866,3.57901,119.57749,161.8386,152.13846,519.16026,421.08083,54.49119,358.56451,281.84857,40.35285,31.60888,63.33911,39.28434,1.7129
2002,,1176.3303,,204.6376,56.8856,,9.5813,,112.8187,145.0341,,224.1756,,,,,46.7308,,,,
2001,,1070.6685,,207.1399,51.5058,,9.8009,,98.7614,114.1891,,102.2427,,,,,30.4974,,,,
2000,,986.0,,273.9121,53.4,,9.3,,88.9465,85.6104,,70.0738,,,,,12.1654,,,,
