年份,民办高等教育学校数,民办高校学校数,民办独立学院学校数,民办其他高等教育机构学校数,民办中等教育学校数,民办高中阶段教育学校数,民办普通高中学校数,民办中等职业教育学校数,民办初中阶段教育学校数,民办普通初中学校数,民办职业初中学校数,民办普通小学学校数,民办幼儿园学校数,民办培训机构学校数
2019,,756,257,782,,,3427,,,,2,6228,173236,33099
2018,,749,265,784,,,3216,,,,2,6179,165779,25064
2017,,747,,800,,,3002,2069.0,5277.0,5276.0,,6107,160372,21234
2016,,741,266,813,,,2787,,,,1,5975,154203,19501
2015,,734,275,813,,4810.0,2585,2225.0,4876.0,4875.0,,5859,146376,20089
2014,,728,283,799,,4785.0,2442,2343.0,4744.0,4743.0,,5681,139282,20001
2013,,718,292,802,,4857.0,2375,2482.0,4535.0,4535.0,,5407,133451,20104
2012,,707,303,823,,5020.0,2371,2649.0,4333.0,4333.0,,5213,124638,20155
2011,,698,309,830,,5250.0,2394,2856.0,4282.0,4282.0,,5186,115404,21403
2010,,676,323,836,,5622.0,2499,3123.0,4259.0,4259.0,,5351,102289,18341
2009,,658,322,812,,5868.0,2670,3198.0,4335.0,4331.0,4,5496,89304,19395
2008,,,,866,,,,,,,,,,
2007,,,,906,,,,,,,,,,
2006,,,,994,,,,,,,,,,
2005,,,,1077,,,,,,,,,,
2004,,,,1187,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
