年份,图书、期刊、报纸出口种数,图书出口种数,哲学、社会科学图书出口种数,文化、教育图书出口种数,文学、艺术图书出口种数,自然、科学技术图书出口种数,少儿读物出口种数,综合性图书出口种数,期刊出口种数,报纸出口种数,图书、期刊、报纸出口数量,图书出口数量,哲学、社会科学图书出口数量,文化、教育图书出口数量,文学、艺术图书出口数量,自然、科学技术图书出口数量,少儿读物出口数量,综合性图书出口数量,期刊出口数量,报纸出口数量,图书、期刊、报纸出口金额,图书出口金额,哲学、社会科学图书出口金额,文化、教育图书出口金额,文学、艺术图书出口金额,自然、科学技术图书出口金额,少儿读物出口金额,综合性图书出口金额,期刊出口金额,报纸出口金额,图书、期刊、报纸进口种数,图书进口种数,哲学、社会科学图书进口种数,文化、教育图书进口种数,文学、艺术图书进口种数,自然、科学技术图书进口种数,少儿读物进口种数,综合性图书进口种数,期刊进口种数,报纸进口种数,图书、期刊、报纸进口数量,图书进口数量,哲学、社会科学图书进口数量,文化、教育图书进口数量,文学、艺术图书进口数量,自然、科学技术图书进口数量,少儿读物进口数量,综合性图书进口数量,期刊进口数量,报纸进口数量,图书、期刊、报纸进口金额,图书进口金额,哲学、社会科学图书进口金额,文化、教育图书进口金额,文学、艺术图书进口金额,自然、科学技术图书进口金额,少儿读物进口金额,综合性图书进口金额,期刊进口金额,报纸进口金额
2019,,,,,,,,,,,1472.85,1134.37,176.72,123.99,107.82,39.19,480.95,205.7,294.87,43.61,6079.69,5521.35,1566.51,851.82,841.12,366.34,652.08,1243.48,516.34,42,,,,,,,,,,,4206.5,3139.18,185.01,753.45,507.58,81.28,1156.84,455.02,295.34,771.98,38560.51,24147.74,3327.95,6239.37,4444.72,2691.9,3841.71,3602.09,13365.54,1047.23
2018,,,,,,,,,,,1478.09,1067.17,94.45,124.37,140.85,50.25,481.36,175.89,325.23,85.69,5723.0,5084.06,1010.38,828.9,920.46,364.62,846.47,1113.23,595.54,43.4,,,,,,,,,,,4088.02,2995.39,195.19,777.0,400.54,84.0,981.84,556.82,305.84,786.79,36202.19,21577.06,2947.44,5390.23,3218.94,2712.1,3089.47,4218.88,13526.85,1098.28
2017,,,,,,,,,,,1870.72,1232.71,177.09,144.32,198.92,46.81,539.7,125.87,335.19,302.82,6024.66,5460.53,1438.03,1001.7,1102.92,291.03,802.35,824.5,504.37,59.76,,,,,,,,,,,3255.6,2033.59,86.39,436.38,265.11,66.38,690.59,488.74,311.74,910.27,31978.76,17036.94,2549.01,3903.7,2108.04,2368.56,2371.98,3735.65,13595.01,1346.81
2016,,,,,,,,,,,1765.52,1450.28,146.0,158.03,189.19,49.36,729.87,177.83,265.69,49.55,5886.67,5407.37,1826.43,763.35,960.36,296.58,653.26,907.39,443.78,35.52,,,,,,,,,,,3108.18,1551.63,61.7,296.78,170.95,56.3,510.4,455.5,338.37,1218.18,30051.73,14421.6,1828.11,3035.78,1745.86,2336.71,1671.76,3803.38,14137.21,1492.92
2015,,,,,,,,,,,1552.63,1278.75,129.06,172.72,162.81,48.85,556.11,209.2,240.35,33.53,5726.74,5221.67,1589.45,798.88,939.98,317.32,482.41,1093.63,461.64,43.43,,,,,,,,,,,2811.75,1418.78,52.2,229.66,180.92,47.47,487.48,421.05,357.66,1035.31,30557.53,14499.25,1849.17,3017.71,2147.42,2238.68,1614.04,3632.23,14323.1,1735.18
2014,,,,,,,,,,,1689.41922,1465.74692,111.6503,216.2219,143.8745,41.5253,807.07952,145.3954,188.0722,35.6001,5649.66128006,5060.58663606,1677.82855723,940.68407079,918.84224164,302.77243902,547.67891838,672.780409,544.347844,44.7268,,,,,,,,,,,2538.85045,977.80515,69.0944,202.6951,127.666,47.1199,172.4499,358.77985,396.6827,1164.3626,28381.5725812081,12588.3750212081,1937.54034,2211.278531,1431.674971,2716.901026,689.5297446339,3601.4504085742,14232.06666,1561.1309
2013,,,,,,,,,,,1992.85568397436,1737.58438397436,159.543783974359,386.2728,203.5165,62.2612,724.3856,201.6045,215.6813,39.59,6012.404192,5216.384724,1750.249233,1029.521148,891.950259,383.843837,447.311731,713.508516,744.853468,51.166,,,,,,,,,,,2361.53561,857.8878,57.2309,152.2344,176.1353,123.1971,106.8843,242.2058,397.13831,1106.5095,28048.6295050168,12054.6555360168,1632.33039691839,1998.76666417,1998.97220531504,3250.18496660801,476.912375,2697.4889280054,14620.058871,1373.915098
2012,,,,,,,,,,,2061.77001,1677.17,173.435421,350.600935,233.41124,85.49447,538.23395,295.994984,291.33361,93.2664,7282.57956618112,6582.77864281217,1222.08695007774,1494.56709371538,1269.97210120178,428.578562850413,632.492965457932,1535.08056950893,642.74092336895,57.06,,,,,,,,,,,3138.07,743.51,45.93,138.78,165.18,107.74,76.14,209.74,490.33,1904.23,30121.65,13707.99,1861.68,2420.4,1861.16,3593.28,440.31,3531.16,14120.03,2293.63
2011,914726.0,878174.0,201653.0,181888.0,208855.0,89654.0,64657.0,131466.997349,36018.0,534.0,1144.1752,855.7634,101.52477284,158.08142656,144.66235734,57.9894871,205.23285408,188.27250208,252.8944,35.5174,3905.506907,3276.608107,752.504197,571.182751,650.661303,345.883995,280.607403,675.768458,573.4363,55.4625,1119975.0,1042288.0,276618.0,165089.0,168122.0,252027.0,63665.0,116767.0,76337.0,1350.0,2979.88,754.85,117.99,180.2499,138.23,134.63,78.66,105.09,439.9288,1785.1045,28373.26,11666.91,2476.69,2037.88,1690.11,3414.3,629.25,1418.68,13906.17,2800.18
2010,954954.0,913328.0,198094.0,170183.0,206848.0,100387.0,70337.0,167479.0,41065.0,561.0,945.6351,707.2322,105.3226,124.2408,129.7037,59.8592,140.4724,147.6371,194.7929,43.61,3710.9989,3232.1139,826.1764,552.6131,601.5098,345.9297,264.8579,641.027,423.972,54.913,879714.0,806076.0,177503.0,142811.0,132207.0,219256.0,42123.0,92175.65,72056.0,1582.0,2881.87479335312,568.57,61.1123,126.28,90.23,107.59,39.4736,143.8811,420.65548,1892.6508,26008.5847498933,9402.00733,1606.473135,1745.8597,1271.2978,3478.76559,375.303885,924.31142,13828.9639,2777.61351989327
