年份,图书出版印张数,使用“中国标准书号”部分图书出版印张数,马列主义、毛泽东思想图书出版印张数,哲学图书出版印张数,社会科学总论图书出版印张数,政治、法律图书出版印张数,军事图书出版印张数,经济图书出版印张数,文化、科学、教育、体育图书出版印张数,语言、文字图书出版印张数,文学图书出版印张数,艺术图书出版印张数,历史、地理图书出版印张数,自然科学总论图书出版印张数,数理科学、化学图书出版印张数,天文学、地球科学图书出版印张数,生物科学图书出版印张数,医学、卫生图书出版印张数,农业科学图书出版印张数,工业技术图书出版印张数,交通运输图书出版印张数,航空、航天图书出版印张数,环境科学图书出版印张数,综合性图书出版图书出版印张数,不使用“中国标准书号”部分图书出版印张数,图片出版印张数,国标(GB)、部标(BB)等标准类文件印品出版印张数,活页文选、活页歌篇、小件印品等出版印张数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,712.58143,711.15034,2.58784,7.07561,4.75262,21.76822,1.36176,24.7199,447.92997,44.26106,55.99793,13.96195,15.10386,0.60952,6.57308,1.26398,2.06686,17.74656,2.37767,32.80858,4.19855,0.23359,0.98884,2.76239,1.43109,0.16818,1.07297,0.18994
2012,666.99442,664.82327,2.16972,8.40613,5.17049,19.88298,1.29515,25.82612,410.77233,33.19899,55.17309,15.21605,14.92909,0.69844,6.84962,1.34489,1.86112,17.88489,3.3895,33.06328,3.52218,0.25344,1.00547,2.9103,2.17115,0.21914,1.56117,0.39084
2011,634.51289,632.87867,2.79634,9.03294,5.40512,19.30263,1.41684,27.63968,388.86613,32.44175,43.81331,12.54779,14.05607,0.76957,6.69626,1.10365,1.82891,17.51178,4.679,34.73871,3.34312,0.19683,1.0448,3.64744,1.63422,0.26252,0.71545,0.65625
2010,606.3317,604.50103,3.06415,7.78053,6.05462,17.32522,1.11133,26.76238,359.24318,31.08708,42.22487,9.88489,16.16533,1.38488,6.89448,1.06347,1.67994,17.53177,4.19399,43.38502,3.09626,0.16192,1.41155,2.99417,1.83067,0.23527,0.94168,0.65372
2009,565.50271,563.81725,1.37213,7.76395,4.27242,20.42712,0.90575,25.59192,345.85687,28.2985,32.85112,9.60446,16.19602,0.8979,5.90508,1.00964,1.28422,16.32983,3.98899,34.41338,2.99844,0.15615,1.37979,2.31357,1.68546,0.27747,0.81433,0.59366
2008,561.1,558.98463,2.91712,6.0546,3.63886,18.1285,0.75172,25.02376,341.90504,30.78095,30.93643,9.91317,16.12482,1.09326,6.63457,0.90532,1.53246,16.14064,3.61854,35.85322,2.60165,0.18111,1.37654,2.87235,1.74547,0.56006,0.92852,0.25689
2007,486.50689,484.69886,2.12603,5.65244,3.43988,17.2325,0.73554,24.8589,298.15139,24.94094,20.68252,8.83189,15.73639,1.17315,5.72282,0.61374,1.27935,12.40725,2.11907,33.41573,2.39365,0.11514,1.08651,1.98403,1.80803,0.64019,0.69475,0.47309
2006,511.95776,510.42867,0.90625,4.95278,3.14793,17.75622,0.65279,22.18432,324.56421,26.83028,20.506,9.86852,15.00679,1.7409,6.48662,0.59955,1.22043,13.16053,1.95915,33.03697,2.28129,0.1021,0.88674,2.5783,1.52909,0.4432,0.85121,0.23468
2005,493.29119,491.56871,0.93708,4.45533,3.04955,14.84954,0.70111,21.27093,312.38319,25.90649,17.11974,9.40943,18.668,2.14868,6.83236,0.48593,1.30411,11.38234,1.82772,32.86998,2.18739,0.07046,1.52938,2.17997,0.43328,,,
2004,465.58511,464.17879,1.95295,3.33899,2.23361,12.04802,0.54233,18.82263,301.67903,23.34893,15.90654,10.16052,15.89121,1.52343,6.63282,0.37634,0.99174,10.08921,1.85252,31.78763,1.80659,0.06032,0.84045,2.29298,0.72295,,,
2003,462.22401,460.12398,1.27711,2.50701,2.09615,11.98205,0.52414,17.34366,319.76461,19.92237,15.81246,10.27502,6.99482,1.67377,5.75273,0.2679,0.84562,9.00703,2.03938,27.10545,1.59861,0.09843,0.56034,2.67532,1.06054,,,
2002,456.44889,454.15114,0.70344,2.07858,2.02809,11.67071,0.48062,15.72725,323.16095,19.73023,14.19922,10.1892,5.45452,1.72505,5.3151,0.20535,0.6737,9.60916,1.79305,23.80967,1.91845,0.04804,0.48974,3.14102,1.14314,,,
2001,406.08276,404.25736,0.37762,1.51749,1.64882,10.43832,0.31567,12.17107,290.31505,16.64315,14.32723,9.49533,4.55945,1.5834,4.08122,0.17934,0.49788,8.45448,1.74678,20.84135,1.56192,0.05305,0.31263,3.13611,1.21021,,,
2000,376.2144,374.48385,0.53747,1.40523,1.58815,8.598,0.35666,11.16981,275.29245,14.00103,12.90704,5.53507,4.04239,2.00574,3.45437,0.20847,0.41728,7.23488,2.22177,18.58094,1.43705,0.0534,0.23725,3.1994,1.18004,,,
