年份,中、短波转播发射台数,中波发射机数,短波发射机数,调频转播发射台数,调频发射机数,电视转播发射台数,电视发射机数,微波实有站数
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,862.0,2567.0,696.0,14531.0,18461.0,,25266.0,1988.0
2015,860.0,2502.0,636.0,14941.0,18390.0,,22421.0,2121.0
2014,856.0,2451.0,628.0,9259.0,17918.0,11254.0,24397.0,2302.0
2013,850.0,2397.0,622.0,10334.0,19077.0,13365.0,26840.0,2207.0
2012,849.0,2373.0,621.0,11396.0,19808.0,14843.0,29427.0,2421.0
2011,827.0,2300.0,411.0,11403.0,19491.0,15397.0,30082.0,2497.0
2010,822.0,2252.0,448.0,11604.0,19315.0,15965.0,30770.0,2376.0
2009,809.0,,,12100.0,,17700.0,,2591.0
2008,808.0,,,12087.0,,18490.0,,2674.0
2007,802.0,,,10582.0,,18249.0,,2745.0
2006,800.0,,,16657.0,,27163.0,,
2005,,,,,,,,
2004,,,,,,,,
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
