年份,公共广播节目套数,全年公共广播节目播出时间,全年制作广播节目时间
2019,2914,15533983.0,8018667
2018,2900,15267407.0,8017573
2017,2825,14918800.0,7888253.93
2016,2741,14565000.0,7820296
2015,2782,14218252.9833333,7718163
2014,2686,14058328.0,7647267
2013,2637,13795460.52,7391245
2012,2627,13383650.9666667,7188245.06666667
2011,2587,13057495.95,6936959.8
2010,2549,12660313.88,6814226
2009,2520,12265513.2166667,6716500
2008,2436,11629729.1166667,6494035
2007,2432,11272365.0,6332506
2006,2365,10780486.0,6192339
2005,,,6139227
2004,,,5267457
2003,,,5023387
2002,,,4414043
2001,,,4159478
2000,,,4043046
