年份,引进图书版权总数,从美国引进图书版权总数,从英国引进图书版权总数,从德国引进图书版权总数,从法国引进图书版权总数,从俄罗斯引进图书版权总数,从加拿大引进图书版权总数,从新加坡引进图书版权总数,从日本引进图书版权总数,从韩国引进图书版权总数,从香港地区引进图书版权总数,从澳门地区引进图书版权总数,从台湾地区引进图书版权总数,从其他地区引进图书版权总数
2019,15684,4234,3409,1225,1046,75,103,236,2162,404,203,3,797,1787
2018,16071,4833,3317,844,970,78,117,222,1993,120,236,1,798,2542
2017,17154,6217,2835,933,1133,90,156,249,2101,168,139,,917,2216
2016,16587,5201,2873,888,1069,101,142,260,1911,1024,208,1,949,1960
2015,15458,4840,2677,783,959,86,151,240,1724,826,159,1,1052,1960
2014,15542,4840,2655,807,754,97,160,211,1736,1160,181,8,1171,1762
2013,16625,5489,2521,707,772,84,111,310,1852,1472,354,7,1100,1846
2012,16115,4944,2581,874,835,48,122,265,2006,1209,413,5,1424,1389
2011,14708,4553,2256,881,706,55,133,200,1982,1047,345,1,1295,1254
2010,13724,4549,1770,726,595,57,104,319,1620,916,424,,1460,1184
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
