年份,引进版权总数,从美国引进版权总数,从英国引进版权总数,从德国引进版权总数,从法国引进版权总数,从俄罗斯引进版权总数,从加拿大引进版权总数,从新加坡引进版权总数,从日本引进版权总数,从韩国引进版权总数,从香港地区引进版权总数,从澳门地区引进版权总数,从台湾地区引进版权总数,从其他地区引进版权总数
2019,16140,4346,3467,1234,1065,83,110,271,2260,408,218,3,826,1849
2018,16829,5047,3496,881,1024,83,127,228,2075,124,266,1,824,2653
2017,18120,6645,2991,951,1164,93,170,259,2232,183,165,,946,2321
2016,17252,5461,2966,895,1100,104,152,262,1952,1067,248,1,979,2065
2015,16467,5251,2802,815,999,87,153,242,1771,883,333,1,1117,2013
2014,16695,5451,2842,841,779,98,165,213,1783,1216,229,8,1270,1800
2013,18167,6210,2698,763,787,84,114,330,1905,1619,509,7,1215,1926
2012,17589,5606,2739,941,846,61,138,293,2079,1232,590,5,1558,1501
2011,16639,5182,2595,895,720,57,140,265,2161,1098,658,1,1497,1370
2010,16602,5284,2429,739,737,58,111,335,1766,1027,877,24,1747,1468
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
