年份,输出软件版权总数,向美国输出软件版权总数,向英国输出软件版权总数,向德国输出软件版权总数,向法国输出软件版权总数,向俄罗斯输出软件版权总数,向加拿大输出软件版权总数,向新加坡输出软件版权总数,向日本输出软件版权总数,向韩国输出软件版权总数,向香港地区输出软件版权总数,向澳门地区输出软件版权总数,向台湾地区输出软件版权总数,向其他地区输出软件版权总数
2019,,,,,,,,,,,,,,
2018,19.0,,,,,,,,,,1.0,1.0,1.0,16.0
2017,8.0,,1.0,,,,,1.0,,,,,,6.0
2016,,,,,,,,,,,,,,
2015,2.0,,,,1.0,,,,,,1.0,,,
2014,5.0,5.0,,,,,,,,,,,,
2013,20.0,,20.0,,,,,,,,,,,
2012,2.0,,,,,,,,,,,,,2.0
2011,5.0,,5.0,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
