年份,文物业举办陈列展览,文物科研机构文物陈列展览,文物保护管理机构文物陈列展览,博物馆文物陈列展览,文物商店举办陈列展览,其他文物机构文物陈列展览,中央文物业举办陈列展览,省、市、区文物业举办陈列展览,地、市文物业举办陈列展览,县、市文物业举办陈列展览,文物部门文物事业举办陈列展览,其他部门文物事业举办陈列展览
2019,30702,28,1973,28701,,,178,1592,9431,19501,23053,7667
2018,27925,127,1452,26346,,,314,1548,7918,18145,21452,6473
2017,26045,40,1394,24611,,,206,1487,7603,16749,19993,6052
2016,24621,49,1463,23109,,,141,1439,7229,15812,19329,5292
2015,22664,44,1466,21154,,,184,1507,6780,14193,18847,3817
2014,21170,39,1566,19565,,,180,1522,6390,13078,17937,3233
2013,8392,10,732,7650,,,30,422,2067,5873,6810,1582
2012,22279,36,2128,20115,,,172,1581,6023,14503,19679,2600
2011,19190,26,2243,16921,,,140,1412,5360,12278,17963,1227
2010,30156,33,3419,26704,,,116,1360,4896,23784,28028,2128
2009,16520,14,2449,14057,,,105,1376,4590,10449,15497,1023
2008,10487,17,2106,8364,,,78,1271,3433,5705,,
2007,,19,2992,7689,,,,,,,,
2006,,,1987,5879,,,,,,,,
2005,,,2034,5929,,,,,,,,
2004,,,1828,5090,,,,,,,,
2003,,,4153,5809,,,,,,,,
2002,,,5976,8111,,,,,,,,
2001,,,3463,8644,,,,,,,,
2000,,,,17752,,,,,,,,
