年份,文物业机构从有关部门接收文物数,文物科研机构从有关部门接收文物数,文物保护管理机构从有关部门接收文物数,本年博物馆从有关部门接收文物数,文物商店从有关部门接收文物数,其他文物机构从有关部门接收文物数,中央文物业机构从有关部门接收文物数,省、市、区文物业机构从有关部门接收文物数,地、市文物业机构从有关部门接收文物数,县、市文物业机构从有关部门接收文物数,文物部门文物业机构从有关部门接收文物数,其他部门文物业机构从有关部门接收文物数
2019,81498,5136,5361,70779,,222,1010,3643,59927,16918,79485,2013
2018,209517,452,18468,188377,,2220,1628,124262,44273,39354,207695,1822
2017,44418,,6593,33780,,4045,1179,4670,16847,21722,39802,4616
2016,99675,,5029,87483,,7163,398,5886,44977,48414,88830,10845
2015,55962,202,3945,50137,,1678,532,3308,24549,27573,54439,1523
2014,189515,310,2966,186236,,3,904,3302,9525,175784,27138,162377
2013,127264,46,14144,113070,,4,11312,4514,31673,79765,78312,48952
2012,48855,1,1487,47314,,53,3871,3763,12770,28451,30774,18081
2011,447827,11,5265,434695,,7856,413802,2042,15753,16230,446895,932
2010,38600,171,3702,20900,,13827,,2466,24749,11385,37315,1285
2009,49127,225,4682,44211,,9,4005,9459,8076,27587,47964,1163
2008,45300,647,3607,41046,,,141,17781,9731,17647,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
