年份,文物业资产,文物科研机构资产,文物保护管理机构资产,博物馆资产,文物商店资产,其他文物机构资产,中央文物业资产,省、市、区文物业资产,地、市文物业资产,县、市文物业资产,文物部门文物业资产,其他部门文物业资产
2019,19075886.7,520336.2,2120066.1,14476465.9,243386,1715632.3,693512,3776071,5921022,8685282,13053457.4,6022429
2018,18660546.0,527096.0,2470391.0,13383485.0,219965,2059609.0,858248,3675638,5870176,8256485,14112361.0,4548185
2017,17597798.1,474623.3,2279656.4,13275699.5,218409.7,1349409.2,785917.4,3467667.8,4752421.3,8591791.6,12552576.9,5045221.2
2016,13684976.6,557325.0,1943186.1,9956369.9,232075.3,996020.3,700461.3,3235669.4,3881891.3,5866954.6,10395895.5,3289081.1
2015,11313815.4,459021.4,1679090.3,7957798.4,226377.3,991528.0,692583.7,2570894.3,3474730,4575607.4,9019876.0,2293939.4
2014,10177757.3,409354.5,1551191.7,7089757.0,232257.6,895196.5,655444,2415410.4,2835107.1,4271795.8,7943570.0,2234187.3
2013,7674904.0,323566.0,1031355.0,5485990.0,217327,616666.0,611066,1926941,2252594,2884303,5848663.0,1826241
2012,5971229.3,259667.6,854227.0,4076383.4,203774.2,577177.1,307764.2,1554266.7,1695201.5,2413996.9,4792713.9,1178515.4
2011,4627565.3,231270.1,783487.3,2977045.1,211326.3,424436.5,300231.1,1262936.8,1470348.9,1594048.5,4047741.4,579823.9
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
