年份,群众文化服务业机构数,群众文化服务业从业人员数,群众文化机构组织文艺活动,群众文化机构参加文艺活动人次,群众文化机构举办训练班班次,群众文化机构参加培训人次,群众文化机构举办展览,群众文化机构参观展览人次,群众文化机构组织各类理论研讨和讲座次数,群众文化机构参加研讨和讲座人次,群众文化机构藏书,群众文化机构拥有计算机台数,群众文化机构收入,群众文化机构支出,群众文化机构馆办文艺团体数,群众文化机构馆办文艺团体演出场次,群众文化机构馆办老年大学数,群众业余文艺团体数
2019,44073,190068,135.9,60137,88.9,5404,16.4,12465,38411,710,,40.1,299.9,309.5,8094,17.6,769,442000
2018,44464,185636,123.1,53950,76.9,4961,15.9,11041,35791,618,,40.2,295.50185,305.75765,7990,16.3,798,426000
2017,44521,180911,111.4,48183.368,67.6,4494.45,15.4,10711.189,,,,49.5,253.38917,256.24108,8241,15.8,865,417000
2016,44497,182030,106.5287,42337.32,59.0516,4250.083,15.0128,10786.425,33769,521.743,27380.034,37.7254,227.22889,218.3721,7779,14.7586,857,398398
2015,44291,173499,95.99,39728.366,53.63,3868.014,13.98,10752.237,27860,477.635,26228.428,36.14,207.76055,201.48937,7618,15.23,853,383200
2014,44423,170299,147.2004,36382.376,46.93,3577.655,13.1728,10262.694,25555,445.372,24845.107,34.6671,190.17263,182.8632,6447,13.3351,705,404610
2013,44260,164355,74.0611,31379,39.0758,3105,13.8225,9246,23637,441,23013.0,29.2218,166.76,163.54,6022,15.1351,724,342649
2012,43876,156228,68.8482,31958.3,38.7201,2749.66,11.4774,8961.78,20825,365.88,20789.3,23.3992,145.36012,146.78027,8750,14.0435,719,303342
2011,43675,147732,62.0586,28224,33.9883,2414.44,10.7785,7751.64,17590,315.61,18010.31,16.9267,128.56014,126.75048,7927,31.2335,699,267844
2010,43382,141002,57.6799,,35.8719,1805.6,11.7353,,12192,,16139.2,11.5269,94.4,93.2,5590,7.3854,783,304505
2009,41959,137484,55.5052,,30.4955,1593.322,11.0251,,11259,,13922.755,8.4347,80.72,79.42,5260,7.4877,776,259608
2008,41156,131142,47.3613,,29.9791,,10.0877,,11451,,12449.5,1.1852,66.0111,65.36131,6114,,650,75021
2007,40601,128096,54.6477,,24.2055,,9.09,,,,,,,57.5722,,,,
2006,40088,123465,49.7779,,21.8696,,14.115,,,,,,,41.24304,,,,
2005,41588,122500,39.1439,,19.0194,,11.13,,,,,,,35.864,,,,
2004,41402,121438,42.4479,,16.8301,,12.0702,,,,,,,31.085,,,,
2003,41816,123458,32.7306,,15.4502,,9.3514,,,,,,,26.5751,,,,
2002,42516,119072,30.1792,,13.735,,9.2917,,,,,,,23.5593,,,,
2001,43379,120283,28.4497,,15.6145,,8.9462,,,,,,,21.1113,,,,
2000,45321,128420,27.6574,,14.337,,9.167,,,,,,,18.8437,,,,
