年份,艺术表演团体演出收入,国有艺术表演团体演出收入,集体艺术表演团体演出收入,其他艺术表演团体演出收入,中央艺术表演团体演出收入,省、区、市艺术表演团体演出收入,地、市艺术表演团体演出收入,县、市及以下艺术表演团体演出收入,执行事业会计制度的艺术表演团体演出收入,执行企业会计制度的艺术表演团体演出收入,文化部门艺术表演团体演出收入,其他部门艺术表演团体演出收入,话剧、儿童剧、滑稽剧团演出收入,歌剧、舞剧、歌舞剧团演出收入,歌舞团、轻音乐团演出收入,乐团、合唱团演出收入,文工团、文宣队、乌兰牧骑演出收入,戏曲剧团演出收入,京剧剧团演出收入,曲艺、杂技、木偶、皮影团演出收入,综合性艺术表演团体演出收入
2019,1267752,277940,15497,974315,25409,158185,99626,984531.5,173342,1094410,342298,925454,,,,,,,,,
2018,1522685,252694,13561,1256430,25486,138113,90891,1268195.0,162116,1360569,311436,1211249,,,,,,,,,
2017,1476786,222555.7,13254,1240976.3,25064.3,124115.9,78678.5,1248927.3,146129.9,1330656.1,282715.5,1194070.5,,,,,,,,,
2016,1308590.7,188772.1,14762.2,1105056.4,27317.4,109755,68932.8,1102585.5,139021.1,1169569.6,256877,1051713.7,,,,,,,,,
2015,939310.3,178906.7,12964.6,747439,28908,107242.1,66526.8,736633.4,138132.4,801177.9,243405.6,695904.7,,,,,,,,,
2014,757027.9,160673.1,13827.2,582527.6,24956.6,93995.6,61619,576456.7,124551.8,632476.1,220174.2,536853.7,,,,,,,,,
2013,735532,94407,6387,634738,6898,80161,47164,601309.0,133270,602262,145443,590089,,,,,,,,,
2012,641480.4,223505.3,14533.9,403441,22593.6,103650.3,94097.8,421138.8,135018.2,506462.2,224467.5,417012.8,59575.4,48327.7,123165.7,20935.3,4178.9,150692.8,12487.9,62888.0,171716.8
2011,526744.8,207712.6,15961.5,303070.7,35175.1,100079.4,93057.6,298432.7,177665.7,349079.1,224536.5,302208.3,28170.8,44982.3,129989.2,25105.6,7116.2,142893.4,12153.9,37463.7,111023.6
2010,342695.5,170355.6,15739.1,156600.8,27388.4,74699.1,72936,167672.0,,,176275.7,166419.8,21645.7,29862.1,79784.9,15790.2,6349.1,113253.5,9272.3,24292.1,51717.9
2009,288214.3,142612.8,17579.2,128022.3,21333.9,61448.4,58174.7,147257.3,,,154347.5,133866.8,12681.3,20262.4,79365.7,13707.3,5113.8,98087.9,8335.4,24841.2,34154.7
2008,133077,119101,12720,1256,20175,44484,39665,28753.0,,,,,10220.0,13281.0,30846.0,9906.0,1730.0,49441.0,6590.0,11183.0,6470.0
2007,120396.1,106338,13355.1,,,,,,,,,,10819.2,14107.5,25021.7,7648.0,1581.5,44969.7,6380.0,10972.9,5275.6
2006,109824.9,96309.3,11408.8,,,,,,,,,,8928.1,11346.1,22988.5,3830.7,6138.3,38717.0,4880.8,11692.8,6183.4
2005,98268,86304,10665,,,,,,,,,,8288.0,9481.0,19660.0,5713.0,2465.0,35747.0,4807.0,11000.0,5914.0
2004,93304,78892,9453,,,,,,,,,,8911.0,10616.0,18484.0,5338.0,1934.0,32880.0,3690.0,11112.0,
2003,71781,60674,9796,,,,,,,,,,4789.0,8427.0,15001.0,5018.0,1148.0,28231.0,3222.0,9166.0,
2002,64884,54896,9756,,,,,,,,,,5169.0,6900.0,10741.0,3191.0,1091.0,29706.0,3635.0,8085.0,
2001,57448.4,47701.2,9575.9,,,,,,,,,,4138.0,6007.0,9560.0,1205.0,2895.0,25486.0,2843.4,8162.4,
2000,51650,41369,10281,,,,,,,,,,2807.0,4001.0,8848.0,2201.0,1178.0,24224.0,2666.0,8391.0,
