年份,艺术表演场馆支出合计,国有艺术表演场馆支出合计,集体艺术表演场馆支出合计,其他艺术表演场馆支出合计_x,执行事业会计制度艺术表演场馆支出合计,执行企业会计制度艺术表演场馆支出合计,文化部门艺术表演场馆支出合计,其他部门艺术表演场馆支出合计,剧场支出合计,影剧院支出合计,书场、曲艺场支出合计,杂技、马戏场支出合计,音乐厅支出合计,综合性艺术表演场馆支出合计,其他艺术表演场馆支出合计_y,中央艺术表演场馆支出合计,省、区、市艺术表演场馆支出合计,地、市艺术表演场馆支出合计,县、市及以下艺术表演场馆支出合计
2019,1585932,480743,3209,1101980,358741,1227191,,,690447,161146,10195,70203,59098,291808,303036,2421,188850,165432,1229230
2018,1046126,395595,3257,647274,285631,760495,,,579220,140155,4701,47668,29320,186097,58966,2979,170488,158604,714055
2017,1029857.6,391175.2,2850.8,635831.6,296230.1,733627.5,,,521266.8,130338.7,4266.7,9274,32583,283132.5,48995.9,9037.4,185330.9,215595.2,619894.1
2016,776521.2,335871.5,3054.2,437595.5,250616.9,525904.3,,,391768,111006.9,1106.1,4430.6,21915.3,188159,58135.3,8057.9,159635.7,140670,468157.6
2015,776707.5,386690.2,2898.5,387118.8,285899.9,490807.6,,,429739.2,137196.5,3195.1,10715,23022,137057.3,35782.4,7593,188446.7,207063.9,373603.9
2014,396748.6,316932.3,1634.5,78181.8,235253.8,161494.8,,,212032,114030.3,1529.1,339.5,17540.4,46257.5,5019.8,4608.2,24790.7,85103.4,284474.4
2013,417103,316166,1646,99291,234739,182364,,,216282,103574,1676,312,14959,75908,4392,4136,157554,160016,95397
2012,725326.2,328851.7,825,395649.5,237138.7,488187.5,277471.7,447854.5,325617.4,161212.8,13256.8,2787.7,71895.7,121623.1,28932.8,3188.2,159605.6,177688.3,384844.1
2011,618464,301010.1,2321.4,315132.5,210473.2,407990.8,267429.9,351034.1,207119.6,113531.4,3310.1,13212.2,74614.3,147237.6,59438.8,2660,189682.4,198657.6,227464
2010,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
