年份,艺术表演场馆观众人次,国有艺术表演场馆观众人次,集体艺术表演场馆观众人次,其他艺术表演场馆观众人次_x,执行事业会计制度艺术表演场馆观众人次,执行企业会计制度艺术表演场馆观众人次,文化部门艺术表演场馆观众人次,其他部门艺术表演场馆观众人次,剧场观众人次,影剧院观众人次,书场、曲艺场观众人次,杂技、马戏场观众人次,音乐厅观众人次,综合性艺术表演场馆观众人次,其他艺术表演场馆观众人次_y,中央艺术表演场馆观众人次,省、区、市艺术表演场馆观众人次,地、市艺术表演场馆观众人次,县、市及以下艺术表演场馆观众人次
2019,125610,46050,500,79070,31547.96,94062.04,,,50060,35480,1820,2130,4010,20560,11560,840,12350,18700,93730
2018,140930,50110,510,90300,35920.0,105010.0,,,71290,33650,650,3150,2940,21150,8100,880,11630,17980,110430
2017,134537.96,52225.87,528.55,81783.54,35086.05,99451.91,,,62526.25,33667.28,510.5,1146.19,3704.94,22562.11,10420.7,863.95,13337.42,22916.4,97420.19
2016,128836.08,64866.85,498.47,63470.76,35327.42,93508.66,,,61899.2,32203.39,420.28,514.52,2969.32,22990.5,7838.87,588.48,12375.24,34644.43,81227.93
2015,107754.21,59227.4,730.71,47796.09,37566.78,70187.43,,,41440.29,36712.34,1477.57,953.02,2226.97,19126.65,5817.37,398.9,12708.7,28457.93,66188.68
2014,68443.5,53264.91,659.84,14518.77,31502.79,36940.71,,,23316.21,34132.62,153.64,87.5,1497.42,8683.15,572.98,563.54,11023.22,24740.3,32116.44
2013,77763.47,56177.48,641.18,20944.81,34890.0,42870.0,,,23324.37,41098.52,127.6,85,1654.91,10646.54,826.54,431.87,11231.9,28291.42,37808.3
2012,186044.08,110629.27,699.58,74715.26,37893.97,148150.11,60997.02,125047.09,70572.32,53627.99,1080.65,657.07,1867.71,53834.05,4404.32,393.67,12524.05,39766.51,133359.83
2011,109088.33,68753.22,1080.92,39254.22,42287.6,66800.73,69269.87,39818.46,41415.68,45593.6,998.42,2099.56,2548.15,13460.5,2972.43,417.48,21347.21,31222.45,56101.19
2010,132719,95680,2977,34062,,,89928.0,42791.0,39843,61846,970,1979,3806,19775,4500,290,24499,35231,72699
2009,123193,81670,6153,35370,,,74926.0,48267.0,38840,56560,1145,1829,2558,14448,7813,303,20060,30374,72456
2008,127443,83453,2871,41119,,,81218.0,46225.0,71682,39852,264,1526,1737,10482,1900,240,16922,54128,56153
2007,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
