年份,课本出版种数,大专及以上课本出版种数,中专、技校课本出版种数,中学课本出版种数,小学课本出版种数,业余教育课本出版种数,扫盲课本出版种数,教学用书出版种数,课本出版新出版种数,大专及以上课本新出版种数,中专、技校课本新出版种数,中学课本新出版种数,小学课本新出版种数,业余教育课本新出版种数,扫盲课本新出版种数,教学用书新出版种数,课本出版总印数,大专及以上课本出版总印数,中专、技校课本出版总印数,中学课本出版总印数,小学课本出版总印数,业余教育课本出版总印数,扫盲课本出版总印数,教学用书出版总印数,课本出版总印张,大专及以上课本出版总印张,中专、技校课本出版总印张,中学课本出版总印张,小学课本出版总印张,业余教育课本出版总印张,扫盲课本出版总印张,教学用书出版总印张,课本定价总金额,大专及以上课本定价总金额,中专、技校课本定价总金额,中学课本定价总金额,小学课本定价总金额,业余教育课本定价总金额,扫盲课本定价总金额,教学用书定价总金额
2019,87173,63501,7010,5417,4946,2074,7,4218,19890,15787,1399,688,663,630,1,722,375190,30983,6920,171472,160901,1890,1,3023,29404923.0,5619754,910526,13292806.0,8739187,363639,65,478946,4173652,1305472,186608,1407478,1055094,95073,18,123909
2018,82862,59950,6104,5715,5058,2277,1,3757,21066,16880,1387,648,687,834,,630,348116,31014,5647,158389,148330,2079,1,2656,27458388.0,5595481,750758,12151794.0,8180858,427780,16,351701,3868824,1243148,150620,1282134,986359,112451,7,94105
2017,86591,62414,5683,6015,5530,2638,4,4307,23776,19066,1417,662,856,931,3,841,325612,30303,5093,151823,133116,2415,62,2800,25818117.0,5317760,647879,11724114.0,7350399,401364,6787,369814,3565664,1134594,126391,1235633,877150,99465,2909,89522
2016,89001,63258,6580,6442,5712,3043,3,3963,27337,21846,1836,806,958,1283,,608,327691,31208,6698,153076,131365,2576,,2768,26250786.0,5487193,852523,11921868.0,7240824,409669,17,338692,3550367,1113687,159364,1243245,857361,100070,3,76637
2015,90718,62334,7644,6877,6251,3617,4,3991,30702,22757,2813,1250,1521,1585,3,773,331931,32048,7471,153674,132566,3489,67,2616,26308698.0,5611339,934275,11736558.0,7154995,518175,7283,346073,3583406,1106992,174717,1231387,858879,130351,3107,77973
2014,92370,59215,7768,8829,6783,5199,4,4572,34147,23578,2651,2162,1741,2567,,1448,349949,33218,7579,167384,134540,4053,21,3154,27398531.0,5866909,950631,12530288.0,7017374,641981,705,390643,3676175,1112414,170837,1323130,827637,157319,92,84746
2013,87509,55811,6573,8160,6461,4972,5,5527,30385,21139,1851,1852,1391,2495,5,1652,345002,32423,7585,166996,129378,3633,1,4986,26902976.0,5730861,946386,12374551.0,6673817,593929,49,583383,3537624,1051572,162683,1308818,760117,141689,10,112735
2012,81271,50270,5805,7137,5821,5655,6,6577,28363,19655,1767,1457,1078,2306,4,2096,347458,32190,6883,169956,125010,4576,13,8830,27078790.0,5600646,880433,12755821.0,6374192,728378,970,738350,3511310,989365,146904,1316655,717726,159039,139,181482
2011,78281,48126,6151,6307,5267,6288,8,6134,25944,17976,1622,954,730,3147,4,1511,343991,33207,7456,168160,121815,4228,6,9119,27294304.0,5779979,958302,12843298.0,6235323,685683,399,791320,3301730,972202,152064,1247800,651738,144168,49,133709
2010,68145,43029,5037,4656,4045,3782,5,7591,23939,16488,1612,585,521,2174,4,2555,335452,35210,6728,173995,104146,3217,7,12149,27037727.0,6116558,872683,13239343.0,5275276,449692,844,1083331,3168612,970684,131355,1247127,541682,87483,136,190145
2009,62024,37151,4173,5623,5184,5195,2,4696,22265,15196,1497,1023,881,2415,,1253,323531,27082,6130,149710,131196,4192,1,5220,25276621.0,4817044,790060,11894992.0,6641282,571866,91,561286,2793952,735239,113558,1073427,671510,106783,9,93426
2008,55853,34881,4095,4858,5172,3141,9,3697,18599,13371,1196,1026,925,1065,4,1012,330218,30634,5802,145435,136923,3576,47,7801,25803172.0,5431384,768241,11567535.0,6981875,442668,4036,607433,2736494,796206,102525,1017546,664339,65211,258,90409
2007,53997,33525,4126,5028,5399,2113,10,3796,18829,13571,1237,932,990,822,4,1273,332428,26868,5726,151841,140111,2770,23,5089,23594404.0,4955463,761467,10960399.0,6159831,344590,1960,410694,2541472,686599,95375,1004915,635488,51195,303,67597
2006,51925,30390,3294,5596,6316,2145,9,4175,17354,11813,791,1208,1266,853,7,1416,350743,24653,5382,154824,158476,2693,5,4710,25572776.0,4588231,764072,12053311.0,7424044,318284,623,424211,2582155,623493,87060,1047433,715616,45347,77,63129
2005,50028,27459,3565,5949,6668,1519,10,4858,17727,11277,875,1654,1535,706,4,1676,352949,27756,6808,156573,152227,3481,56,6048,25393488.0,4890240,913211,12420044.0,6327593,292831,2554,547015,2667702,661913,108314,1104240,672873,43871,489,76002
2004,36087,18434,2742,5017,6012,734,1,3147,11756,7688,516,1364,1158,375,,655,327141,20715,6162,140922,155550,1068,12,2712,21981123.0,3595927,838564,11267226.0,5883326,149310,939,245831,2214743,463268,95619,965135,641326,20543,63,28789
2003,28789,14355,2319,3546,4931,665,2,2971,9106,5575,509,1021,963,286,2,750,325380,16137,4716,138921,161778,700,40,3088,20922860.0,2690255,616772,11295360.0,5961980,82121,2700,273672,1960647,339872,69043,888249,625079,11678,116,26610
2002,25817,11995,2149,3530,4730,608,,2805,8163,4760,668,829,1005,251,,650,355222,15682,3820,152921,178319,1210,,3270,21780889.0,2586035,499356,12025854.0,6264818,127901,,276925,1957370,312917,53989,902325,647555,15807,,24777
2001,24236,10645,2134,3514,4410,615,1,2917,7506,4370,524,789,860,285,1,677,333633,13230,4248,141884,169603,736,34,3898,19544188.0,2049151,552960,10761069.0,5782866,72626,2373,323143,1745507,244678,55919,786062,623075,9474,100,26199
2000,23694,9250,2759,3488,4440,818,3,2936,7057,3817,857,620,705,402,1,655,355988,11469,4745,136463,198857,965,3,3486,19464771.0,1776194,581088,9993433.0,6702410,115061,241,296344,1808108,202759,58762,739591,768822,14260,10,23904
