年份,国际旅游外汇收入,长途交通国际旅游外汇收入,民航国际旅游外汇收入,铁路国际旅游外汇收入,汽车国际旅游外汇收入,轮船国际旅游外汇收入,游览国际旅游外汇收入,住宿国际旅游外汇收入,餐饮国际旅游外汇收入,商品销售国际旅游外汇收入,娱乐国际旅游外汇收入,邮电通讯国际旅游外汇收入,市内交通国际旅游外汇收入,其他服务国际旅游外汇收入
2019,1312.54,401.91,369.02,14.1,15.93,2.85,58.66,200.49,160.41,302.97,44.21,7.47,34.53,101.89
2018,1271.03014561019,366.311738261332,333.534473444496,13.5219330632828,13.7186610443319,5.53609546031295,53.7144872952421,181.08804581515,142.550837672332,327.6134732146,45.8212972433715,11.6235097398003,27.7647385219463,114.542593095328
2017,1234.17,449.46,304.87,49.52,29.43,65.65,65.04,122.08,103.07,229.95,74.16,27.57,39.2,123.64
2016,1200.0,446.5,290.6,53.2,31.6,71.0,67.1,116.3,96.2,209.5,77.1,28.9,40.4,118.0
2015,1136.5,448.5,294.8,43.2,32.5,78.0,44.8,132.9,82.6,209.0,53.9,23.9,22.4,118.6
2014,1053.8,195.95,145.79,20.9,15.68,13.59,32.54,69.5,48.28,113.28,36.74,11.04,16.04,45.77
2013,516.64,174.569534488749,134.103281211034,15.998286179561902,13.645597035508699,10.8223700626448,30.921625651036003,59.7583042589518,41.2830201027606,111.818591439354,35.913151523585,7.92435887501754,14.4353907352428,40.0114128279651
2012,500.28,172.783293105115,131.644413794373,16.4555517242967,15.5413544062802,9.14197318016482,25.5532969663379,52.1092471269395,37.4736729677695,111.543678200395,36.127653747374,7.91075788444186,16.1016771314872,40.6775721162803
2011,484.64,151.172666215464,114.697865936733,14.0625736014385,14.0625736014385,8.34965307585413,25.32,50.98,35.98,118.56,34.66,10.36,16.19,41.41
2010,458.14,130.91,98.08,12.47,10.81,9.56,21.07,51.95,41.15,115.9,31.72,10.68,14.6,40.15
2009,396.75,117.41,85.84,12.77,9.58,9.22,20.8,44.34,36.14,91.49,28.82,9.55,13.29,34.91
2008,408.43,124.87,90.47,13.46,10.47,10.47,22.02,48.6,38.73,85.34,29.7,10.02,13.55,35.6
2007,419.19,111.43,87.91,7.71,6.94,8.87,18.0,59.38,37.48,104.94,21.1,7.61,12.42,46.83
2006,339.49,73.76,66.63,2.79,3.1,1.24,9.86,48.97,35.12,112.07,12.53,5.11,12.01,30.06
2005,292.96,82.94,59.28,9.04,7.18,7.44,12.27,37.75,27.48,63.78,17.02,8.44,10.3,32.99
2004,257.39,66.88,49.52,4.63,8.1,4.63,13.07,31.24,19.42,57.98,18.25,8.81,10.87,30.86
2003,174.06,44.38,30.9,3.92,7.37,2.2,12.2,21.64,14.31,36.2,13.02,6.18,7.86,18.27
2002,203.85,52.6,36.61,4.65,8.74,2.6,14.31,25.65,16.6,42.11,15.25,7.2,8.82,21.31
2001,177.92,50.05,35.88,5.21,4.45,4.51,8.02,22.42,15.39,37.54,13.77,6.79,6.02,17.92
2000,162.24,48.8,35.02,5.96,5.96,1.86,7.51,22.05,15.23,32.31,11.93,5.03,5.34,14.04
