年份,入境游客,亚洲入境游客,朝鲜入境游客,印度入境游客,印度尼西亚入境游客,日本入境游客,马来西亚入境游客,蒙古入境游客,菲律宾入境游客,新加坡入境游客,韩国入境游客,泰国入境游客,非洲入境游客,欧洲入境游客,英国入境游客,德国入境游客,法国入境游客,意大利入境游客,荷兰入境游客,葡萄牙入境游客,瑞典入境游客,瑞士入境游客,俄罗斯入境游客,拉丁美洲入境游客,北美洲入境游客,加拿大入境游客,美国入境游客,大洋洲及太平洋岛屿入境游客,澳大利亚入境游客,新西兰入境游客,其他国家入境游客
2019,3188.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3054.29,1912.07,16.52,86.3,71.19,269.14,129.15,149.43,120.5,97.84,419.35,83.34,67.41,604.43,60.82,64.37,49.96,27.81,19.64,5.63,11.01,7.4,241.55,45.37,333.48,85.02,248.46,91.31,75.22,14.65,0.22
2017,2917.0,1818.47,22.98,82.2,68.31,268.3,123.32,186.45,116.85,94.12,386.38,77.67,62.91,591.17,59.18,63.55,49.47,28.05,19.43,5.64,11.19,7.23,235.68,42.65,311.9,80.6,231.29,89.22,73.43,14.37,0.22
2016,2815.12,1788.19,21.04,79.97,63.37,258.99,116.54,158.12,113.51,92.46,477.53,75.35,58.88,547.15,59.5,62.49,50.38,26.73,19.96,5.5,11.53,7.26,197.66,39.04,299.09,74.13,224.96,82.55,67.51,13.62,0.22
2015,2598.54,1659.47,18.83,73.05,54.48,249.77,107.55,101.41,100.4,90.53,444.44,64.15,58.02,491.67,57.96,62.34,48.69,24.61,18.18,5.34,11.84,7.27,158.23,34.98,276.56,67.98,208.58,77.64,63.73,12.54,0.21
2014,2636.08,1633.1,18.4,71.0,56.7,271.8,113.0,108.3,96.8,97.1,418.2,61.3,59.7,551.4,60.5,66.3,51.7,25.3,18.0,5.2,14.2,8.0,204.6,34.6,276.0,66.7,209.3,81.0,67.2,12.7,0.18
2013,2629.0294,1606.0,20.7,67.7,60.5,287.8,120.7,105.0,99.7,96.7,396.9,65.2,55.3,568.8,62.5,64.9,53.4,25.1,18.9,4.9,15.9,8.1,218.6,35.4,277.0,68.4,208.5,86.3,72.3,12.9,0.22
2012,2719.16,1662.22,18.06,61.02,62.2,351.82,123.55,101.05,96.2,102.77,406.99,64.76,52.49,594.82,61.84,65.96,52.48,25.2,19.55,4.86,17.16,8.28,242.61,35.31,282.64,70.83,211.81,91.49,77.43,12.83,0.19
2011,2711.2,1662.32,15.23,60.65,60.87,365.82,124.51,99.42,89.43,106.3,418.54,60.8,48.88,593.78,59.57,63.7,49.31,23.5,19.75,4.7,17.01,7.53,253.63,33.69,286.4166,74.8,211.61,85.93,72.62,12.09,0.19
2010,2612.69,1617.86,11.6382,54.93,57.3409,373.12,124.516,79.4386,82.8284,100.3658,407.6392,63.5539,46.355,569.79,57.4963,60.8621,51.2734,22.9233,18.9128,4.7678,15.4513,7.4296,237.0313,30.0472,269.4925,68.5304,200.9595,78.9331,66.1342,11.6052,0.2096
2009,2193.75,1377.93,10.56,44.89,46.9,331.75,105.9,57.67,74.89,88.95,319.75,54.18,40.12,459.11,52.88,51.85,42.48,19.14,16.69,4.36,12.58,6.26,174.3,23.1,226.01,55.03,170.98,67.24,56.15,10.04,0.22
2008,2432.53,1455.1,10.18,43.66,42.63,344.61,104.05,70.53,79.53,87.58,396.04,55.43,37.84,612.33,55.15,52.89,43.0,19.44,18.09,4.39,13.77,6.34,312.34,26.03,232.12,53.47,178.64,68.88,57.15,10.52,0.23
2007,2610.9668,1606.12,11.37,46.25,47.71,397.75,106.2,68.2,83.3,92.2,477.71,61.16,37.91,621.68,60.51,55.67,46.34,21.52,19.41,4.83,14.51,6.46,300.39,24.26,256.15,57.72,190.12,72.85,60.74,10.87,0.31
2006,2221.03,1358.82,11.01,40.51,43.3,374.59,91.06,63.12,70.42,82.79,392.4,59.2,29.38,527.96,55.26,50.06,40.22,19.53,16.78,4.45,12.96,5.79,240.51,19.58,221.0,49.91,171.03,63.86,53.81,8.86,0.430000000000248
2005,2025.5137,1249.99,12.58,35.65,37.76,339.0,89.96,64.2,65.4,75.59,354.53,58.63,23.8,479.14,49.96,45.49,37.2,19.7,14.58,4.38,11.03,5.14,222.39,16.05,198.53,42.98,155.55,57.36,48.3,7.84,0.65
2004,1693.2506,1073.14,11.2052,30.9411,34.9832,333.4255,74.1909,55.3767,54.939,63.6826,284.4862,46.4179,17.338,377.71,41.8148,36.5329,28.1108,12.2377,11.7359,3.9527,8.7174,4.0724,179.2193,13.245,165.6673,34.8046,130.8627,45.19,37.6308,6.4567,0.96
2003,1140.2855,726.08,7.714,21.9097,23.1838,225.48,43.0137,41.8257,45.7725,37.8074,194.5484,27.5429,10.4226,260.0,28.8326,22.2022,15.6063,6.5834,6.7921,3.0097,5.0043,2.3702,138.065,8.01,105.29,23.0326,82.2511,29.98,24.5417,4.3428,0.51
2002,1343.9497,851.89,7.93,21.36,27.47,292.56,59.24,45.31,50.86,49.71,212.43,38.63,9.85,294.86,34.3,28.18,22.21,9.17,10.04,3.61,6.28,3.24,127.16,9.66,141.26,29.13,112.12,35.32,29.13,5.02,1.11
