年份,外国人入境游客,男性外国人入境游客,女性外国人入境游客,14岁以下外国人入境游客,15-24岁外国人入境游客,25-44岁外国人入境游客,45-64岁外国人入境游客,65岁以上外国人入境游客,会议/商务外国人入境游客,观光休闲外国人入境游客,探亲访友外国人入境游客,服务员工外国人入境游客,其他外国人入境游客
2019,3188.34,2881.29,2030.07,184.92,686.2,2439.71,1365.75,234.77,628.47,1740.31,143.17,714.01,1685.4
2018,3054.2938,2859.7113,1935.3938,161.1797,656.7135,2394.6929,1363.2403,219.2787,614.6963,1608.5692,132.2393,744.8634,1694.7369
2017,2916.53,2607.98,1686.32,134.75,568.82,2143.34,1256.03,191.36,569.68,1593.04,110.28,633.91,1387.4
2016,2815.12,1982.04,1166.33,114.73,303.32,1473.56,1078.39,178.37,579.74,1051.15,96.19,471.75,949.55
2015,2598.54,1681.19,917.35,101.43,205.03,1184.25,949.76,158.07,537.66,824.88,79.75,349.69,806.56
2014,2636.08,1709.5113,926.5718,103.9237,204.7848,1210.24,961.0014,156.1332,539.5682,892.9903,60.332,328.5369,814.6557
2013,2629.0294,1702.0665,926.9629,107.8866,206.6541,1209.1632,950.5407,154.7848,619.3998,1012.2985,19.9119,319.5303,657.8889
2012,2719.16,1737.7591,981.4,111.7885,215.872,1229.7225,988.7022,173.0739,628.0185,1162.9026,10.7722,286.4734,630.9924
2011,2711.2,1745.4102,965.7869,111.9409,212.4373,1227.6183,992.2843,166.9163,632.6416,1221.8189,10.9923,269.3903,576.354
2010,2612.69,1678.8818,933.8077,109.4373,203.0903,1171.3082,965.2027,163.651,619.6744,1238.2019,9.1046,246.2722,499.4364
2009,2193.75,1430.15,763.6,92.05,171.9,1004.28,796.56,128.95,523.72,1013.27,8.01,227.37,421.38
2008,2432.53,1560.8954,871.6383,98.5212,206.1263,1129.098,871.7018,127.0864,567.7694,1203.9585,6.791,243.1908,410.824
2007,2610.9668,1656.9911,953.9757,107.7706,209.4332,1192.5356,948.3949,152.8325,696.0548,1314.084,7.9551,233.3458,359.5271
2006,2221.03,1435.41,785.62,88.29,173.24,1031.99,804.46,123.05,554.84,1133.19,17.03,209.24,306.73
2005,2025.5137,1321.15,704.36,79.93,164.46,979.74,703.84,97.55,459.81,934.46,40.54,201.16,389.54
2004,1693.2506,1120.3963,572.8543,64.1471,131.9684,828.8153,588.2716,80.0482,386.1359,741.212,37.6233,175.4815,352.7979
2003,1140.2855,778.58,361.71,37.72,86.72,591.32,380.8,43.73,290.2,430.67,24.73,152.51,242.17
2002,1343.9497,877.51,466.44,48.16,101.77,651.28,464.96,77.78,322.04,556.05,41.25,153.33,271.28
2001,1122.6384,728.83,393.81,40.49,87.56,545.42,384.84,64.33,198.48,492.35,39.26,128.92,263.63
2000,1016.0432,655.97,360.07,35.71,82.43,494.44,343.53,59.93,,,,,
