年份,国家监督抽查产品种类,国家监督抽查食品种类,国家监督抽查日用消费品种类,国家监督抽查建筑与装饰装修材料种类,国家监督抽查农业生产资料种类,国家监督抽查工业生产资料种类,国家监督抽查企业,国家监督抽查食品企业,国家监督抽查日用消费品企业,国家监督抽查建筑与装饰装修材料企业,国家监督抽查农业生产资料企业,国家监督抽查工业生产资料企业,国家监督抽查产品批次,国家监督抽查食品批次,国家监督抽查日用消费品批次,国家监督抽查建筑与装饰装修材料批次,国家监督抽查农业生产资料批次,国家监督抽查工业生产资料批次,国家监督抽查不合格产品,国家监督抽查食品不合格产品,国家监督抽查日用消费品不合格产品,国家监督抽查建筑与装饰装修材料不合格产品,国家监督抽查农业生产资料不合格产品,国家监督抽查工业生产资料不合格产品,国家监督抽查无不合格品企业数,国家监督抽查抽查产品(类),国家监督抽查合格产品,国家监督抽查样品合格率
2019,,,,,,,25748,3091,4195,5172,1491,,27495,3104,4375,5232,1552,,2942,152,479,669,149,,,,,
2018,,,,,,,25856,2218,3142,6054,3000,,28771,2304,3300,6505,3343,,2952,102,549,597,269,,,,,
2017,164.0,,,,,,19124,2370,2209,3377,1459,,20192,2507,2245,3417,1463,,1713,86,323,267,76,,,,,
2016,176.0,,,,,,23152,2413,3007,4591,2331,,23851,2919,3058,4592,2331,,2017,71,284,344,161,,,,,
2015,191.0,,,,,,24415,3891,2984,5120,1699,,25345,4338,3067,5226,1703,,2266,139,399,408,111,,,,,
2014,159.0,5.0,64.0,28.0,11.0,51.0,24245,6695,7288,4591,1851,3833.0,25672,7451,7639,4596,1854,4132.0,1985,113,974,349,164,385.0,,,,
2013,139.0,4.0,60.0,24.0,16.0,35.0,16021,796,5296,3599,3504,2826.0,17020,796,5625,3600,3738,3261.0,1895,29,723,370,328,445.0,,,,
2012,149.0,23.0,55.0,22.0,11.0,38.0,18791,3353,6204,2803,2448,3983.0,20355,3473,6835,3258,2512,4277.0,2072,161,732,435,234,510.0,,,,
2011,156.0,29.0,55.0,24.0,11.0,37.0,19328,3889,4951,5820,1094,3574.0,20965,4154,5434,5858,1110,4409.0,2621,203,736,700,142,840.0,,,,
2010,132.0,23.0,42.0,22.0,10.0,35.0,15336,3593,5548,3859,824,1512.0,16357,3857,6167,3925,842,1566.0,2028,209,894,560,83,282.0,,,,
2009,149.0,30.0,60.0,19.0,17.0,23.0,18248,4876,5585,2439,3471,1877.0,21382,5791,7014,2625,4004,1948.0,2599,506,861,405,521,306.0,,,,
2008,237.0,48.0,68.0,28.0,22.0,60.0,20881,6707,4703,3998,1755,3288.0,23423,7981,5213,4269,2027,3495.0,3633,1016,950,603,307,673.0,,,,
2007,259.0,,,,,,13826,,,,,,,,,,,,,,,,,,10863.0,259.0,13496.0,81.0
2006,264.0,,,,,,14843,,,,,,,,,,,,,,,,,,11102.0,264.0,13625.0,77.4
2005,249.0,,,,,,11359,,,,,,,,,,,,,,,,,,8427.0,249.0,9478.0,75.6
2004,240.0,,,,,,10919,,,,,,,,,,,,,,,,,,8225.0,240.0,9497.0,76.9
2003,249.0,,,,,,10134,,,,,,,,,,,,,,,,,,7809.0,249.0,8738.0,78.4
2002,222.0,,,,,,7892,,,,,,,,,,,,,,,,,,6033.0,222.0,6942.0,78.4
2001,207.0,,,,,,8076,,,,,,,,,,,,,,,,,,5992.0,207.0,7513.0,75.8
2000,237.0,,,,,,8142,,,,,,9705,,,,,,,,,,,,6254.0,235.0,7655.0,78.9
