年份,产品质量优等品率,产品质量一等品率,产品质量合格品率,质量损失率,产品质量合格率
2019,,,,,93.8617367635348
2018,51.34,,,2.11,93.93
2017,57.1,,,2.03,93.77
2016,64.8,,,1.9,93.42
2015,67.3,,,0.98,92.9
2014,68.19,22.06,9.75,0.19,
2013,75.03,19.21,5.76,0.09,
2012,53.37,34.41,12.22,0.18,
2011,57.64,32.9,9.46,0.25,
2010,70.75,20.42,8.83,0.25,
2009,58.42,29.9,11.68,0.35,
2008,54.59,33.32,12.09,0.25,
2007,48.46,37.2,14.34,0.25,
2006,50.41,35.17,14.42,0.36,
2005,39.0,36.42,24.56,0.38,
2004,27.76,41.71,30.82,0.37,
2003,31.49,49.39,19.12,0.46,
2002,24.64,43.81,30.9,0.33,
2001,27.75,45.73,27.13,0.58,
2000,21.81,42.67,34.39,0.62,
