年份,产品质量监督检验企业数,农用产品质量监督检验企业数,拖拉机产品质量监督检验企业数,农用化肥产品质量监督检验企业数,化学农药产品质量监督检验企业数,饲料产品质量监督检验企业数,农用薄膜产品质量监督检验企业数,种子产品质量监督检验企业数,其它农用产品质量监督检验企业数,加工食品和饮料产品质量监督检验企业数,食用植物油产品质量监督检验企业数,糕点糖果产品质量监督检验企业数,乳制品产品质量监督检验企业数,罐头产品质量监督检验企业数,白酒产品质量监督检验企业数,啤酒产品质量监督检验企业数,冷冻饮料产品质量监督检验企业数,其它加工食品和饮料产品质量监督检验企业数,家用电器产品质量监督检验企业数,收录机、音响设备产品质量监督检验企业数,电视机、录像机产品质量监督检验企业数,洗衣机产品质量监督检验企业数,电风扇产品质量监督检验企业数,电话机产品质量监督检验企业数,冰箱、冷藏冷冻箱产品质量监督检验企业数,电热器具产品质量监督检验企业数,厨房电器具产品质量监督检验企业数,抽油烟机产品质量监督检验企业数,其它家用电器产品质量监督检验企业数,轻工产品质量监督检验企业数,纸产品质量监督检验企业数,纸制品产品质量监督检验企业数,玩具产品质量监督检验企业数,家具产品质量监督检验企业数,铝制品压力锅产品质量监督检验企业数,眼镜(架、片)产品质量监督检验企业数,灯泡灯管产品质量监督检验企业数,镇流器产品质量监督检验企业数,电热、燃气热水器产品质量监督检验企业数,其它轻工产品质量监督检验企业数,纺织、鞋类产品质量监督检验企业数,布(印染、色织、坯布)产品质量监督检验企业数,毛织品产品质量监督检验企业数,丝麻织品产品质量监督检验企业数,针织品产品质量监督检验企业数,鞋产品质量监督检验企业数,其它纺织、鞋类产品质量监督检验企业数,化工产品质量监督检验企业数,涂料、油漆产品质量监督检验企业数,化学试剂产品质量监督检验企业数,其它化工产品质量监督检验企业数,建材产品质量监督检验企业数,水泥产品质量监督检验企业数,水泥预制构件产品质量监督检验企业数,砖瓦产品质量监督检验企业数,油毡油纸产品质量监督检验企业数,平板玻璃产品质量监督检验企业数,水暖管件产品质量监督检验企业数,其它建材产品质量监督检验企业数,机械、电器产品质量监督检验企业数,轴承产品质量监督检验企业数,阀门、泵产品质量监督检验企业数,电线产品质量监督检验企业数,低压电器元件产品质量监督检验企业数,电动工具产品质量监督检验企业数,消防器材产品质量监督检验企业数,电动机柴油机产品质量监督检验企业数,其它机械、电器产品质量监督检验企业数,冶金产品及金属制品产品质量监督检验企业数,线材产品质量监督检验企业数,型材产品质量监督检验企业数,其它冶金产品及金属制品产品质量监督检验企业数,其他产品产品质量监督检验企业数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,337613.0,13616.0,378.0,7666.0,1569.0,2556.0,579.0,16.0,852.0,90751.0,8342.0,18335.0,2351.0,1483.0,11128.0,761.0,2655.0,45696.0,7553.0,551.0,168.0,122.0,499.0,348.0,138.0,852.0,1635.0,278.0,2962.0,32913.0,1000.0,5212.0,1846.0,7297.0,217.0,7521.0,998.0,359.0,713.0,7750.0,12024.0,750.0,547.0,389.0,3758.0,3891.0,2689.0,7041.0,4266.0,908.0,1867.0,37810.0,6856.0,6398.0,15223.0,291.0,357.0,1951.0,6734.0,15042.0,516.0,1553.0,4725.0,3372.0,665.0,856.0,1176.0,2179.0,4172.0,1569.0,2019.0,584.0,116691.0
