年份,出入境货物检验检疫批次,出入境货物检验检疫不合格批次,出入境货物检验检疫货值,出入境货物检验检疫不合格货值,出入境工业品检验检疫批次,出入境工业品检验检疫不合格批次,出入境工业品检验检疫货值,出入境工业品检验检疫不合格货值,出入境动物及动物产品检验检疫批次,出入境动物及动物产品检验检疫不合格批次,出入境动物及动物产品检验检疫货值,出入境动物及动物产品检验检疫不合格货值,出入境植物及植物产品检验检疫批次,出入境植物及植物产品检验检疫不合格批次,出入境植物及植物产品检验检疫货值,出入境植物及植物产品检验检疫不合格货值,出入境食品及化妆品检验检疫批次,出入境食品及化妆品检验检疫不合格批次,出入境食品及化妆品检验检疫货值,出入境食品及化妆品检验检疫不合格货值
2019,,,,,,,,,,,,,,,,,,,,
2018,8942228.0,162593.0,111656302.2472,10966515.3878,,,,,,,,,,,,,,,,
2017,9065132.0,594876.0,84140107.0,11038637.0,,,,,,,,,,,,,,,,
2016,9064018.0,594831.0,84122847.0,11038455.0,,,,,,,,,,,,,,,,
2015,9422612.0,535301.0,96321837.0,12073094.0,,,,,,,,,,,,,,,,
2014,9931941.0,417722.0,120323744.0,13359359.0,,,,,,,,,,,,,,,,
2013,15950333.0,207626.0,147365786.146618,11834833.6385511,,,,,,,,,,,,,,,,
2012,22097297.0,187646.0,164031207.0,10112059.0,,,,,,,,,,,,,,,,
2011,18170715.0,167246.0,153866465.973551,9801808.65124422,14248265.0,68200.0,131263190.180367,5534521.17025672,685057.0,19003.0,4588622.104829,265707.342998371,1826963.0,67992.0,11093409.4240538,3896503.10189029,1410430.0,12051.0,6921244.26430119,105077.036098833
2010,17490631.0,144251.0,122391733.8993,8075559.2058,13851466.0,59523.0,104650748.2998,4416533.3383,641109.0,18779.0,3555615.7035,262919.3506,1644324.0,57028.0,8871277.0187,3331102.271,1348170.0,8921.0,5314092.8773,65004.2459
2009,14640231.0,113012.0,91148843.244,5185286.4692,12229389.0,53988.0,78769120.0103,2841812.7949,288668.0,10304.0,1045486.6767,89698.1094,1150846.0,29983.0,4721076.7442,1955863.3014,1367248.0,19454.0,5933679.0937,292528.0157
2008,16416100.0,108530.0,116056001.1811,6042792.3365,13166776.0,50446.0,100885709.4115,3266031.4682,598714.0,12207.0,3094301.3232,154984.4679,1584432.0,39720.0,7339403.8818,2525439.0788,1181848.0,6233.0,4578857.1286,96114.9126
2007,16902547.0,103489.0,97215457.0256,3300696.4579,15173686.0,75044.0,89656530.6562,2103953.0937,811493.0,13339.0,3535878.314,134839.6003,2640975.0,46913.0,9290965.6703,1498823.4371,1587728.0,25715.0,7139084.5269,1210537.3295
2006,15614231.0,89662.0,80497739.5824,2329434.6496,14002400.0,63789.0,74534900.3472,1436387.2086,801176.0,9696.0,3138103.7873,65709.6309,2505761.0,39786.0,7390906.4947,1193844.0878,1458139.0,22899.0,5500244.6298,841907.5852
2005,14686108.0,88480.0,70098962.8827,2194108.1115,13127828.0,68041.0,64566050.7,1219081.7248,802361.0,7397.0,3022995.2204,48844.6205,2329638.0,29973.0,6363329.0008,1154710.8452,1405540.0,16987.0,5048562.691,926133.6539
2004,12695774.0,71870.0,57354387.3545,1685237.425,11327683.0,55766.0,52608407.5656,780595.614,735407.0,6951.0,2609242.1335,44525.3085,2012626.0,25716.0,5635456.5195,1136929.7362,1221464.0,13491.0,4321505.4254,879197.4046
2003,11021963.0,69383.0,43584787.0,857650.0,,,,,613811.0,6413.0,1947663.0,95320.0,1729514.0,23200.0,4198347.0,501794.0,1034267.0,9373.0,3590340.0,449564.0
2002,9049088.0,76347.0,32164748.0,413779.0,,,,,406436.0,236.0,1182880.0,491.0,1009011.0,2116.0,2013827.0,420709.0,492358.0,2666.0,1197012.0,48671.0
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
