年份,日本专利申请受理数,马来西亚专利申请受理数,新加坡专利申请受理数,泰国专利申请受理数,韩国专利申请受理数,塞普路斯专利申请受理数,印度专利申请受理数,摩纳哥专利申请受理数,南非专利申请受理数,德国专利申请受理数,荷兰专利申请受理数,英国专利申请受理数,瑞士专利申请受理数,丹麦专利申请受理数,匈牙利专利申请受理数,奥地利专利申请受理数,比利时专利申请受理数,法国专利申请受理数,挪威专利申请受理数,俄罗斯联邦专利申请受理数,卢森堡专利申请受理数,列支敦士登专利申请受理数,西班牙专利申请受理数,捷克专利申请受理数,波兰专利申请受理数,爱尔兰专利申请受理数,芬兰专利申请受理数,意大利专利申请受理数,瑞典专利申请受理数,以色列专利申请受理数,巴西专利申请受理数,美国专利申请受理数,加拿大专利申请受理数,新西兰专利申请受理数,澳大利亚专利申请受理数
2019,55328,130,1772,146,20000,36,372,13,69,19049,3871,3675,4796,1263,47,1113,939,6230,324,345,411,218,610,139,112,473,1049,2834,3035,1172,162,45557,1384,219,1158
2018,51832,121,2277,177,17283,48,402,8,75,18108,3842,3694,4818,1157,45,1136,979,6060,324,261,388,174,579,141,114,434,1012,2662,2457,1134,152,45249,1345,250,1096
2017,46734,107,1683,141,16581,33,330,8,86,16860,3708,3121,4402,993,41,924,828,5890,238,221,427,180,601,170,96,286,1084,2408,2262,992,154,42922,1186,263,958
2016,45151,111,1103,70,17560,31,334,16,74,16641,3551,3113,4450,1051,42,1054,805,5775,223,199,348,176,541,143,82,242,1148,2430,2461,919,183,41736,1157,232,927
2015,46606,135,875,41,16397,23,280,18,87,16245,3395,3032,4438,1012,48,1070,745,5654,257,197,313,154,515,153,89,204,1225,2116,2211,777,170,43278,1153,215,888
2014,47547,165,696,31,13994,33,307,10,94,16026,3324,2674,4276,1025,32,1062,732,5460,271,211,324,112,497,92,99,244,1333,1978,2337,764,234,38997,1183,191,919
2013,48537,113,680,34,12916,28,302,8,90,15925,2888,2455,3926,1061,33,951,698,5126,268,233,227,105,533,74,81,213,1222,1992,2119,669,165,34421,1237,157,876
2012,49678,135,651,32,10793,36,264,7,94,14552,3035,2273,3545,884,36,759,693,5128,262,183,187,135,548,154,72,213,1255,2020,1988,686,159,33556,1352,132,957
2011,45228,141,645,25,9860,34,228,7,82,13096,3473,2275,3293,937,55,697,669,4575,275,170,215,155,525,72,58,176,1076,1815,1963,634,203,32023,1191,111,867
2010,38241,129,437,31,8782,29,189,7,99,11297,3329,2087,3067,857,36,550,611,3994,261,147,136,83,480,68,50,157,1215,1627,1996,511,166,28636,1137,127,822
2009,34381,114,304,36,7113,17,146,4,99,9694,3372,1911,2823,739,40,413,516,3624,211,122,101,111,416,67,24,171,1049,1423,1844,366,121,24629,989,92,720
2008,38408,129,363,27,9320,32,197,19,102,10145,3624,2233,2830,765,43,447,561,3854,216,107,100,207,491,96,26,168,1201,1761,2068,464,122,27656,1016,141,864
2007,38188,84,416,,9601,,175,,82,9388,3760,2012,2800,637,,422,562,3697,248,78,98,109,520,127,,139,1065,1852,1726,428,88,25908,953,118,816
2006,37848,76,417,44,10596,23,183,12,85,8676,3721,1813,2370,558,45,309,465,3614,184,85,69,85,391,70,13,121,988,1699,1492,338,77,23494,821,96,753
2005,36221,46,208,25,9300,17,217,4,84,7502,3988,1613,2106,478,33,284,380,3190,168,50,53,84,373,77,22,82,851,1632,1101,237,82,20395,724,84,707
2004,30444,66,156,51,6660,9,171,4,69,5917,2960,1401,1744,406,33,223,275,2465,159,65,28,87,213,25,12,77,817,1167,899,251,63,16187,607,44,637
2003,24241,32,142,61,5015,14,118,6,56,4522,1376,1314,1374,315,12,185,189,1941,120,57,42,79,164,13,6,54,598,765,694,163,58,12221,407,43,450
2002,18275,32,106,42,3626,4,64,8,52,4015,2147,1025,1110,254,31,176,156,1932,92,56,32,69,134,10,10,34,596,627,952,147,44,10012,356,41,477
2001,13736,32,84,33,2498,9,64,7,32,3454,1397,913,1020,273,14,178,160,1521,109,43,27,71,95,,5,28,475,495,967,133,43,8994,308,52,308
2000,9888,13,54,26,1861,4,19,6,37,2787,993,802,867,229,19,122,126,1387,75,42,54,32,62,1,1,22,378,382,768,162,27,8418,235,33,232
