年份,日本发明专利申请受理数,马来西亚发明专利申请受理数,新加坡发明专利申请受理数,泰国发明专利申请受理数,韩国发明专利申请受理数,塞普路斯发明专利申请受理数,印度发明专利申请受理数,摩纳哥发明专利申请受理数,南非发明专利申请受理数,德国发明专利申请受理数,荷兰发明专利申请受理数,英国发明专利申请受理数,瑞士发明专利申请受理数,丹麦发明专利申请受理数,匈牙利发明专利申请受理数,奥地利发明专利申请受理数,比利时发明专利申请受理数,法国发明专利申请受理数,挪威发明专利申请受理数,俄罗斯联邦发明专利申请受理数,卢森堡发明专利申请受理数,列支敦士登发明专利申请受理数,西班牙发明专利申请受理数,捷克发明专利申请受理数,波兰发明专利申请受理数,爱尔兰发明专利申请受理数,芬兰发明专利申请受理数,意大利发明专利申请受理数,瑞典发明专利申请受理数,以色列发明专利申请受理数,巴西发明专利申请受理数,美国发明专利申请受理数,加拿大发明专利申请受理数,新西兰发明专利申请受理数,澳大利亚发明专利申请受理数
2019,48867,74,1089,77,16019,22,321,11,55,16421,3348,2957,3820,1037,37,1032,799,4826,285,220,264,180,421,65,77,430,912,1845,2638,1018,105,39450,1168,146,757
2018,45284,66,1372,92,13875,30,327,4,57,15427,3412,2836,3768,935,40,1029,831,4784,279,195,293,144,405,59,90,391,839,1827,2090,977,96,38859,1105,146,700
2017,40908,65,1015,86,13180,19,277,8,61,14342,3267,2296,3431,871,28,828,708,4926,211,154,345,138,378,44,68,251,877,1695,1842,884,133,36980,984,197,675
2016,39207,57,769,46,13764,15,288,15,61,14158,3155,2372,3453,858,39,946,700,4631,194,135,252,137,393,65,57,223,1007,1610,1919,800,134,35895,985,143,624
2015,40078,92,714,20,12907,17,235,15,68,13851,3032,2221,3432,845,43,982,638,4702,224,148,231,114,342,41,81,189,1041,1430,1948,700,134,37216,1025,164,635
2014,40460,87,574,22,11528,31,267,10,79,13597,2924,2050,3338,847,32,944,657,4575,223,130,240,92,340,42,73,210,1165,1361,2020,656,137,33963,1009,125,664
2013,41193,57,512,15,10866,17,279,7,67,13712,2546,1849,3212,840,30,811,642,4143,237,152,139,79,378,33,77,193,1039,1318,1795,530,115,29992,1037,116,641
2012,42278,75,497,18,8985,27,248,7,75,12659,2629,1874,2924,732,33,664,595,4315,234,139,140,110,410,26,50,208,1069,1288,1663,532,107,29510,1111,94,657
2011,39231,87,476,14,8129,25,202,6,75,11422,2999,1876,2665,781,40,598,592,3973,234,120,156,110,388,24,23,155,964,1245,1730,532,130,28457,1033,95,621
2010,33882,75,358,15,7178,8,168,7,91,9867,2998,1737,2644,734,36,475,563,3506,235,111,101,55,327,40,30,140,1089,1184,1780,450,117,25380,940,95,608
2009,30293,38,214,10,5907,15,122,4,93,8264,3089,1624,2362,584,39,357,486,3011,192,91,67,68,256,25,14,163,902,998,1653,330,73,21799,807,72,525
2008,33264,43,264,14,8022,32,184,10,91,8686,3261,1795,2337,631,43,379,535,3170,187,85,76,85,343,31,9,143,979,1194,1766,440,74,24527,896,101,609
2007,32870,29,324,,8467,,146,,77,8066,3481,1628,2366,520,,346,525,2991,218,66,74,65,301,18,,119,973,1228,1527,379,80,22887,817,90,617
2006,32801,50,306,13,9187,23,172,11,76,7502,3503,1478,1932,438,43,263,413,2954,163,72,59,48,260,19,11,87,898,1163,1318,307,69,20536,756,81,562
2005,30976,24,129,10,8131,17,198,3,81,6411,3735,1331,1776,379,31,260,340,2644,142,46,48,52,179,12,18,66,752,1046,1015,220,61,18000,665,77,546
2004,25542,28,111,23,5858,8,121,3,66,5182,2789,1127,1455,310,33,206,249,2098,148,54,27,52,133,18,7,52,720,852,806,238,50,14562,555,40,499
2003,20092,21,83,13,4328,13,82,6,52,3993,1270,1040,1193,251,12,173,173,1695,113,54,42,53,104,11,6,29,510,563,636,152,46,10682,362,39,394
2002,15511,13,77,11,2930,4,50,8,49,3652,2033,848,921,223,31,154,143,1589,84,54,31,34,102,10,5,33,512,480,907,135,32,8821,337,37,397
2001,11794,13,61,1,2072,7,52,3,31,3247,1283,816,876,228,14,134,150,1343,105,42,27,66,66,,5,28,415,374,905,115,27,8139,282,49,246
2000,8300,6,27,7,1579,4,14,5,35,2578,900,697,753,195,15,91,118,1195,68,41,34,32,33,1,1,20,357,332,708,152,19,7503,216,26,204
