年份,大中型工业企业有效发明专利数,国有及国有控股大中型工业企业有效发明专利数,内资大中型工业企业有效发明专利数,国有大中型工业企业有效发明专利数,集体大中型工业企业有效发明专利数,股份合作大中型工业企业有效发明专利数,联营大中型工业企业有效发明专利数,国有联营大中型工业企业有效发明专利数,有限责任公司大中型工业企业有效发明专利数,国有独资公司大中型工业企业有效发明专利数,股份有限公司大中型工业企业有效发明专利数,私营大中型工业企业有效发明专利数,其他大中型工业企业有效发明专利数,港、澳、台商投资大中型工业企业有效发明专利数,合资经营大中型工业企业有效发明专利数,合作经营大中型工业企业有效发明专利数,独资经营大中型工业企业有效发明专利数,投资股份有限公司大中型工业企业有效发明专利数,外商投资大中型工业企业有效发明专利数,中外合资经营大中型工业企业有效发明专利数,中外合作经营大中型工业企业有效发明专利数,外资大中型工业企业有效发明专利数,外商投资股份有限公司大中型工业企业有效发明专利数
2019,760471,,,,,,,,,,,,,,,,,,,,,,
2018,692288,,,,,,,,,,,,,,,,,,,,,,
2017,632727,,,,,,,,,,,,,,,,,,,,,,
2016,528006,,,,,,,,,,,,,,,,,,,,,,
2015,403292,,,,,,,,,,,,,,,,,,,,,,
2014,313626,,,,,,,,,,,,,,,,,,,,,,
2013,244175,,,,,,,,,,,,,,,,,,,,,,
2012,204636,,,,,,,,,,,,,,,,,,,,,,
2011,146469,,,,,,,,,,,,,,,,,,,,,,
2010,113074,31594.0,81734.0,7067.0,667.0,239.0,53.0,22.0,34620.0,3476.0,26339.0,12605.0,144.0,12897.0,5157.0,377.0,6555.0,808.0,18443.0,7128.0,95.0,10006.0,1214.0
2009,81592,23787.0,59516.0,5732.0,495.0,178.0,43.0,21.0,25204.0,2853.0,18588.0,9049.0,227.0,8553.0,2754.0,87.0,4875.0,837.0,13523.0,5569.0,87.0,6141.0,1726.0
2008,55723,18354.0,39332.0,3757.0,435.0,135.0,41.0,10.0,14919.0,2016.0,12270.0,7668.0,107.0,6712.0,2036.0,45.0,4013.0,618.0,9679.0,5575.0,44.0,3465.0,595.0
2007,43652,14277.0,29556.0,3077.0,1985.0,172.0,54.0,24.0,11269.0,1799.0,7621.0,5154.0,224.0,6197.0,1830.0,154.0,3864.0,349.0,7899.0,4402.0,89.0,3017.0,391.0
2006,29176,9178.0,21232.0,2257.0,1451.0,117.0,14.0,12.0,7008.0,1546.0,5714.0,4613.0,58.0,2960.0,1421.0,44.0,1255.0,240.0,4984.0,2262.0,66.0,2341.0,315.0
2005,22971,,,,,,,,,,,,,,,,,,,,,,
2004,17988,,,,,,,,,,,,,,,,,,,,,,
2003,15409,,,,,,,,,,,,,,,,,,,,,,
2002,9388,,,,,,,,,,,,,,,,,,,,,,
2001,8103,,,,,,,,,,,,,,,,,,,,,,
2000,6394,,,,,,,,,,,,,,,,,,,,,,
