年份,大中型工业企业开发新产品经费,国有及国有控股大中型工业企业开发新产品经费,内资大中型工业企业开发新产品经费,国有大中型工业企业开发新产品经费,集体大中型工业企业开发新产品经费,股份合作大中型工业企业开发新产品经费,联营大中型工业企业开发新产品经费,国有联营大中型工业企业开发新产品经费,有限责任公司大中型工业企业开发新产品经费,国有独资公司大中型工业企业开发新产品经费,股份有限公司大中型工业企业开发新产品经费,私营大中型工业企业开发新产品经费,其他大中型工业企业开发新产品经费,港、澳、台商投资大中型工业企业开发新产品经费,合资经营大中型工业企业开发新产品经费,合作经营大中型工业企业开发新产品经费,独资经营大中型工业企业开发新产品经费,投资股份有限公司大中型工业企业开发新产品经费,外商投资大中型工业企业开发新产品经费,中外合资经营大中型工业企业开发新产品经费,中外合作经营大中型工业企业开发新产品经费,外资大中型工业企业开发新产品经费,外商投资股份有限公司大中型工业企业开发新产品经费
2019,120324780.5,,,,,,,,,,,,,,,,,,,,,,
2018,108744998.8,,,,,,,,,,,,,,,,,,,,,,
2017,100640517.1,,,,,,,,,,,,,,,,,,,,,,
2016,89037617.1,,,,,,,,,,,,,,,,,,,,,,
2015,79788542.3,,,,,,,,,,,,,,,,,,,,,,
2014,79532787.9,,,,,,,,,,,,,,,,,,,,,,
2013,74406399.3,,,,,,,,,,,,,,,,,,,,,,
2012,65718382.0,,,,,,,,,,,,,,,,,,,,,,
2011,56971680.7,,,,,,,,,,,,,,,,,,,,,,
2010,44206917.4,18949775.0,31116014.6,3620425.0,344969.5,188318.5,74189.0,61594.7,12921264.5,3861292.8,8770748.3,5133794.3,62305.5,4597698.5,1831254.0,66326.5,2226591.6,473526.4,8493204.3,4376969.1,81626.9,3359747.3,674861.0
2009,36546131.0,16112297.9,26067196.6,3531958.1,346178.8,113994.7,65690.5,56586.9,11627343.4,3288438.4,6562517.6,3717470.6,102042.9,3703540.6,1559167.6,41752.2,1792949.0,309671.8,6775393.5,3726029.4,77225.1,2478301.6,493837.4
2008,30955692.2,12762782.0,21425968.0,2778631.4,317371.5,114446.7,60931.9,56317.3,9326823.0,2470491.8,5548073.5,3197317.4,82372.6,2972431.7,1260546.2,20687.6,1459034.0,232163.9,6559792.5,3777553.6,40888.9,2328424.8,412925.2
2007,24533447.9,,,,,,,,,,,,,,,,,,,,,,
2006,18629418.0,,,,,,,,,,,,,,,,,,,,,,
2005,14571954.7,,,,,,,,,,,,,,,,,,,,,,
2004,8209592.0,,,,,,,,,,,,,,,,,,,,,,
2003,6389593.0,,,,,,,,,,,,,,,,,,,,,,
2002,5092038.0,,,,,,,,,,,,,,,,,,,,,,
2001,4220419.0,,,,,,,,,,,,,,,,,,,,,,
2000,3888539.2,,,,,,,,,,,,,,,,,,,,,,
