年份,大中型工业企业新产品产值,煤炭开采和洗选业中型工业企业新产品产值,石油和天然气开采业中型工业企业新产品产值,黑色金属矿采选业中型工业企业新产品产值,有色金属矿采选业中型工业企业新产品产值,非金属矿采选业中型工业企业新产品产值,农副食品加工业中型工业企业新产品产值,食品制造业中型工业企业新产品产值,饮料制造业中型工业企业新产品产值,烟草制品业中型工业企业新产品产值,纺织业中型工业企业新产品产值,纺织服装、鞋、帽制造业中型工业企业新产品产值,皮革、毛皮、羽毛(绒)及其制品业中型工业企业新产品产值,木材加工及木、竹、藤、棕、草制品业中型工业企业新产品产值,家具制造业中型工业企业新产品产值,造纸及纸制品业中型工业企业新产品产值,印刷业和记录媒介的复制中型工业企业新产品产值,文教体育用品制造业中型工业企业新产品产值,石油加工、炼焦及核燃料加工业中型工业企业新产品产值,化学原料及化学制品制造业中型工业企业新产品产值,医药制造业中型工业企业新产品产值,化学纤维制造业中型工业企业新产品产值,橡胶制品业中型工业企业新产品产值,塑料制品业中型工业企业新产品产值,非金属矿物制品业中型工业企业新产品产值,黑色金属冶炼及压延加工业中型工业企业新产品产值,有色金属冶炼及压延加工业中型工业企业新产品产值,金属制品业中型工业企业新产品产值,通用设备制造业中型工业企业新产品产值,专用设备制造业中型工业企业新产品产值,交通运输设备制造业中型工业企业新产品产值,电气机械及器材制造业中型工业企业新产品产值,通信设备、计算机及其他电子设备制造业中型工业企业新产品产值,仪器仪表及文化、办公用机械制造业中型工业企业新产品产值,工艺品及其他制造业中型工业企业新产品产值,电力、热力的生产和供应业中型工业企业新产品产值,燃气生产和供应业中型工业企业新产品产值,水的生产和供应业中型工业企业新产品产值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,885826552.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,736062822.4,4487545.2,298153.3,128352.6,319331.5,207398.9,7578982.5,6072676.9,5931424.5,7746158.1,23625118.7,5457619.4,2994879.8,1759032.2,1285393.6,7152184.5,1388118.8,1243585.8,7758311.2,36706782.8,17722063.4,7245039.8,8153162.7,5169436.7,11013998.3,56028121.1,22461993.3,9478370.0,40732532.4,33276251.7,167349903.7,89322981.0,133569301.8,9427242.7,2007564.7,863828.8,28067.0,20440.7
2009,587144048.6,7014747.1,144778.1,79342.1,619313.4,238915.1,6912026.4,4898534.8,4360427.4,6859209.1,18165830.5,4552441.0,2719906.8,1554049.4,1040644.2,5729127.4,1260113.5,1128779.8,5900797.9,28352878.9,13440842.8,5638440.3,6300020.2,4757223.9,8786609.8,46658913.4,13205905.2,6997184.7,33717043.6,25849579.3,144801820.5,64694733.4,102177760.7,6572842.9,1634353.7,358023.5,,2819.5
2008,523942671.7,6386350.5,5583962.3,124703.0,509090.4,185838.6,6793716.4,4112563.8,4219385.9,3459330.3,10457916.2,2735841.5,2248565.8,1266079.7,917900.0,5638903.1,896907.7,890306.2,8989952.6,23941513.2,10196335.7,6252793.6,5225482.8,3901172.9,6988501.7,55643445.8,15018710.6,7117643.4,29403964.9,20306466.3,104629333.8,53094123.4,109232812.0,6146725.3,1130964.8,245156.8,31515.2,22267.3
2007,427637650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,322619625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,253823290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,205625718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,79973698.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
