年份,大中型工业企业研究与试验发展人员全时当量,国有及国有控股大中型工业企业研究与试验发展人员全时当量,内资大中型工业企业研究与试验发展人员全时当量,国有大中型工业企业研究与试验发展人员全时当量,集体大中型工业企业研究与试验发展人员全时当量,股份合作大中型工业企业研究与试验发展人员全时当量,联营大中型工业企业研究与试验发展人员全时当量,国有联营大中型工业企业研究与试验发展人员全时当量,有限责任公司大中型工业企业研究与试验发展人员全时当量,国有独资公司大中型工业企业研究与试验发展人员全时当量,股份有限公司大中型工业企业研究与试验发展人员全时当量,私营大中型工业企业研究与试验发展人员全时当量,其他大中型工业企业研究与试验发展人员全时当量,港、澳、台商投资大中型工业企业研究与试验发展人员全时当量,合资经营大中型工业企业研究与试验发展人员全时当量,合作经营大中型工业企业研究与试验发展人员全时当量,独资经营大中型工业企业研究与试验发展人员全时当量,投资股份有限公司大中型工业企业研究与试验发展人员全时当量,外商投资大中型工业企业研究与试验发展人员全时当量,中外合资经营大中型工业企业研究与试验发展人员全时当量,中外合作经营大中型工业企业研究与试验发展人员全时当量,外资大中型工业企业研究与试验发展人员全时当量,外商投资股份有限公司大中型工业企业研究与试验发展人员全时当量
2019,1996171,,,,,,,,,,,,,,,,,,,,,,
2018,2016465,,,,,,,,,,,,,,,,,,,,,,
2017,1931419,,,,,,,,,,,,,,,,,,,,,,
2016,1964441,,,,,,,,,,,,,,,,,,,,,,
2015,1985983,,,,,,,,,,,,,,,,,,,,,,
2014,2037661.2,,,,,,,,,,,,,,,,,,,,,,
2013,1976735.7,,,,,,,,,,,,,,,,,,,,,,
2012,1818585,,,,,,,,,,,,,,,,,,,,,,
2011,1587164.6,,,,,,,,,,,,,,,,,,,,,,
2010,1369908.313,566158.0,970604.844,138539.442,7256.466,5119.962,2729.592,1781.986,423950.961,111267.609,235925.86,154404.257,2678.304,149553.679,61466.088,1993.702,74146.708,11947.181,249749.79,100614.07,1995.19,130258.899,16881.631
2009,1158839,508923.7,843377.9,120444.6,8941.1,3816.3,1734.4,1499.8,371886.9,102553.3,212114.0,121934.3,2506.3,122667.0,50985.9,1764.3,59848.7,10068.1,192794.1,84809.5,1433.9,88395.8,18154.9
2008,1014223.11,477582.33,767295.69,115427.16,8157.46,3111.39,1423.04,1261.56,349231.41,89298.88,190748.01,97150.21,2047.01,85512.08,36766.46,945.58,40330.89,7469.15,161415.34,74980.1,1192.15,67818.34,17424.75
2007,857649.74,426523.83,657374.0,101793.0,8127.0,3506.0,1793.0,1414.0,312422.0,96537.0,156206.0,68324.0,5204.0,71602.0,27856.0,1968.0,35125.0,6654.0,128673.0,57537.0,1149.0,56353.0,13633.0
2006,695668.23,374435.0,553558.0,93889.0,8206.0,3220.0,2394.0,1921.0,273193.0,98853.0,119909.0,52040.0,707.0,49583.0,20177.0,1481.0,22991.0,4934.0,92527.0,39863.0,760.0,39507.0,12397.0
2005,606376.22,,,,,,,,,,,,,,,,,,,,,,
2004,438164.94,,,,,,,,,,,,,,,,,,,,,,
2003,478066,,,,,,,,,,,,,,,,,,,,,,
2002,424259,,,,,,,,,,,,,,,,,,,,,,
2001,379321,,,,,,,,,,,,,,,,,,,,,,
2000,329413,,,,,,,,,,,,,,,,,,,,,,
