年份,大中型工业企业研究与试验发展项目数,煤炭开采和洗选业中型工业企业研究与试验发展项目数,石油和天然气开采业中型工业企业研究与试验发展项目数,黑色金属矿采选业中型工业企业研究与试验发展项目数,有色金属矿采选业中型工业企业研究与试验发展项目数,非金属矿采选业中型工业企业研究与试验发展项目数,农副食品加工业中型工业企业研究与试验发展项目数,食品制造业中型工业企业研究与试验发展项目数,饮料制造业中型工业企业研究与试验发展项目数,烟草制品业中型工业企业研究与试验发展项目数,纺织业中型工业企业研究与试验发展项目数,纺织服装、鞋、帽制造业中型工业企业研究与试验发展项目数,皮革、毛皮、羽毛(绒)及其制品业中型工业企业研究与试验发展项目数,木材加工及木、竹、藤、棕、草制品业中型工业企业研究与试验发展项目数,家具制造业中型工业企业研究与试验发展项目数,造纸及纸制品业中型工业企业研究与试验发展项目数,印刷业和记录媒介的复制中型工业企业研究与试验发展项目数,文教体育用品制造业中型工业企业研究与试验发展项目数,石油加工、炼焦及核燃料加工业中型工业企业研究与试验发展项目数,化学原料及化学制品制造业中型工业企业研究与试验发展项目数,医药制造业中型工业企业研究与试验发展项目数,化学纤维制造业中型工业企业研究与试验发展项目数,橡胶制品业中型工业企业研究与试验发展项目数,塑料制品业中型工业企业研究与试验发展项目数,非金属矿物制品业中型工业企业研究与试验发展项目数,黑色金属冶炼及压延加工业中型工业企业研究与试验发展项目数,有色金属冶炼及压延加工业中型工业企业研究与试验发展项目数,金属制品业中型工业企业研究与试验发展项目数,通用设备制造业中型工业企业研究与试验发展项目数,专用设备制造业中型工业企业研究与试验发展项目数,交通运输设备制造业中型工业企业研究与试验发展项目数,电气机械及器材制造业中型工业企业研究与试验发展项目数,通信设备、计算机及其他电子设备制造业中型工业企业研究与试验发展项目数,仪器仪表及文化、办公用机械制造业中型工业企业研究与试验发展项目数,工艺品及其他制造业中型工业企业研究与试验发展项目数,电力、热力的生产和供应业中型工业企业研究与试验发展项目数,燃气生产和供应业中型工业企业研究与试验发展项目数,水的生产和供应业中型工业企业研究与试验发展项目数
2019,242806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,213215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,215506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,187100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,173298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,210997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,205146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,192755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,161226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,145589,3978.0,3523.0,113.0,276.0,179.0,1622.0,1826.0,1665.0,689.0,3398.0,607.0,399.0,222.0,505.0,939.0,519.0,1009.0,1203.0,7694.0,8754.0,931.0,2119.0,1342.0,2845.0,6510.0,2763.0,2675.0,13479.0,10669.0,17024.0,16416.0,23141.0,3524.0,730.0,2094.0,71.0,129.0
2009,133852,3424.0,2914.0,157.0,308.0,180.0,1405.0,1616.0,2452.0,1206.0,4373.0,641.0,607.0,401.0,221.0,764.0,483.0,578.0,1203.0,7727.0,8272.0,753.0,1674.0,1282.0,2580.0,5287.0,2556.0,2182.0,12647.0,10030.0,15031.0,16168.0,18037.0,3449.0,882.0,2226.0,23.0,111.0
2008,103234,2520.0,2871.0,174.0,225.0,165.0,817.0,1051.0,1253.0,934.0,2450.0,370.0,396.0,174.0,140.0,593.0,478.0,895.0,1058.0,5362.0,5762.0,556.0,1354.0,735.0,2134.0,5096.0,2306.0,1718.0,9845.0,9342.0,12926.0,10699.0,13618.0,2468.0,613.0,2004.0,56.0,74.0
2007,92913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,87207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,70580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
