年份,研究与试验发展全时人员,农、林、牧、渔业研究与试验发展全时人员,采矿业研究与试验发展全时人员,制造业研究与试验发展全时人员,电力、燃气及水的生产和供应业研究与试验发展全时人员,建筑业研究与试验发展全时人员,交通运输、仓储和邮政业研究与试验发展全时人员,信息传输、计算机服务和软件业研究与试验发展全时人员,金融业研究与试验发展全时人员,租赁和商务服务业研究与试验发展全时人员,科学研究、技术服务和地质勘查业研究与试验发展全时人员,水利、环境和公共设施管理业研究与试验发展全时人员,教育研究与试验发展全时人员,卫生、社会保障和社会福利业研究与试验发展全时人员,文化、体育和娱乐业研究与试验发展全时人员
2019,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,
2011,2522764.0,,,,,,,,,,,,,,
2010,2197609.0,,,,,,,,,,,,,,
2009,1954957.0,8982.0,54366.0,1167617.0,8810.0,47172.0,3682.0,67195.0,413.0,17773.0,287829.0,1723.0,218237.0,70235.0,923.0
2008,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,
